SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0.32
1	0	0	0	7.3e-06	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0.32
2	0.33	0	0	0	0	0	0	0.33	0	0.00055	0	0	0	0.33	0	0	0	0	0	7	0.57	0.44	0.3	0.41
3	0.33	0	0	0	0	0	0	0.33	0	0	0	0	0	0.33	5.1e-05	0	0	0	0	7	0.57	0.44	0.3	0.41
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0.43	0.29	0.3	0.41
5	0	0	0	0.0011	2.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0.32
6	0.31	0	0	0	0	0	0	0.31	0	0	0.01	0.034	0.021	0.31	0	0.00017	0	0	0	7	0.57	0.44	0.3	0.41
7	0.31	0	0	0	0	0	0.041	0.31	0	0	0	0	0	0.31	0.022	4.3e-05	0	0	0	7	0.57	0.44	0.3	0.41
8	0.25	0	0	0	0	0	0	0.25	0	0	0	0.25	0.014	0.25	0	0	0	0	0	11	0.57	0.56	0.3	0.41
9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.57	0.44	0.3	0
10	0.33	0	0	0	0	0	0	0.33	0	8.3e-05	0	0	0	0.33	0.0037	0	0	0	0	7	0.57	0.44	0.3	0.41
11	0.33	0	0	0	0	0	0	0.33	0	2.3e-06	0	0	0	0.33	0.00031	0	0	0	0	7	0.57	0.44	0.3	0.41
12	0.31	0	0	0	0	0	0	0.31	0	0	0.00036	0.055	0.024	0.31	0	0	0	0	0	7	0.57	0.44	0.3	0.41
13	0.33	0	0	0	0	0	0	0.33	0	0	0	0	0	0.33	2.4e-06	0	0	0	0	7	0.57	0.44	0.3	0.41
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0.2	0.046
15	0.33	0	0	0	0	0	0	0.33	0	0.00067	0	0	0	0.33	0.0012	0	0	0	0	7	0.57	0.44	0.3	0.41
16	0.33	0	0	0	0	0	0	0.33	0	0	0	0	0	0.33	1.1e-05	0	0	0	0	7	0.57	0.44	0.3	0.41
17	0.33	0	0	0	0	0	0	0.33	0	0	2.2e-06	0.00041	0.017	0.33	0	0	0	0	0	7	0.57	0.44	0.3	0.41
18	0.33	0	0	0	0	0	0	0.33	0	0	0	0.00035	0.0027	0.33	0	0	0	0	0	7	0.57	0.44	0.3	0.41
19	0.33	0	0	0	0	0	0	0.33	0	0	0	0.002	0.01	0.33	0	0	0	0	0	7	0.57	0.44	0.3	0.41
20	0.07	0	0	0	0	0	0	0.07	0	0	0.00024	0.21	0.58	0.07	0	0	0	0	0	12	0.67	0.44	0.3	0.41
21	0.33	0	0	0	0	0	1.7e-06	0.33	0	0.0029	0	0	0	0.33	0.00026	0	0	0	0	7	0.57	0.44	0.3	0.41
22	0.33	0	0	0	0	0	0	0.33	0	0	0	0.00034	0.00072	0.33	0.0095	0	0	0	0	7	0.57	0.44	0.3	0.41
23	0.33	0	0	0	0	0	0	0.33	0	0	0	2.1e-05	0.00077	0.33	0	0	0	0	0	7	0.57	0.44	0.3	0.41
