k	loglikelihood	observations	parameters	BIC
1	-31587.3	32004	8	63257.6
2	-19873.4	32004	12	39871.2
3	-18973.2	32004	16	38112.3
4	-18645.8	32004	20	37499.2
5	-18195.1	32004	24	36639.2
6	-16870.7	32004	28	34031.9
7	-16115.4	32004	32	32562.8
8	-16107.5	32004	36	32588.4
9	-16144.8	32004	40	32704.6
10	-15388	32004	44	31232.5
11	-15139.8	32004	48	30777.6
12	-15210.2	32004	52	30959.8
13	-15044	32004	56	30668.8
14	-15300.7	32004	60	31223.8
15	-14839.7	32004	64	30343.3
16	-15107.5	32004	68	30920.4
17	-14996.1	32004	72	30739.2
18	-14718.2	32004	76	30224.8
19	-14701	32004	80	30231.9
20	-14542.1	32004	84	29955.6
