k	loglikelihood	observations	parameters	BIC
1	-24633.5	14356	4	49305.3
2	-15768.6	14356	6	31594.7
3	-12142.9	14356	8	24362.4
4	-10888.8	14356	10	21873.3
5	-9694.31	14356	12	19503.5
6	-9528.97	14356	14	19191.9
7	-9484.82	14356	16	19122.8
8	-9250.76	14356	18	18673.8
9	-9157.33	14356	20	18506.1
10	-9031.84	14356	22	18274.3
11	-9002.86	14356	24	18235.4
12	-9006.74	14356	26	18262.3
13	-8762.91	14356	28	17793.8
14	-8854.45	14356	30	17996
15	-8776.54	14356	32	17859.4
16	-8654.42	14356	34	17634.3
17	-8571.53	14356	36	17487.6
18	-8634.2	14356	38	17632.1
19	-8630.79	14356	40	17644.5
20	-8657.43	14356	42	17716.9
