SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.16	0.7	0.063	0.00011	0	0	0	0	0	0	0.063	0.018	0	0	1	0.23	0.16
1	0.51	0.087	0.2	0.00021	0	0	0	0	0	0	0.2	0	0	0	0	0.23	0.21
2	0.49	0.12	0.19	0.00074	0	0	0	0	0	0	0.19	0	0	0	0	0.23	0.21
3	0.45	0.19	0.18	0	0	0	0	0	0	0	0.18	0	0	0	0	0.23	0.21
4	0.056	0.0022	0.022	1.7e-06	0	0	0	0	0.9	0	0.022	0	0	0	8	0.026	0.21
5	0.13	0.21	0.052	0	0	0	0.1	0	0.00065	0	0.052	0	0.45	0	12	0	0.19
6	0.36	0.36	0.14	7.2e-06	0	0	0	0	0	0	0.14	0	0	0	1	0.23	0.16
7	0.17	0.69	0.068	0	0	0	0	0	0	0	0.068	0	0	0	1	0.23	0.16
8	0.43	0.019	0.17	0.22	0	0	0	0	0	0	0.17	0	0	0	0	0.23	0.21
9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0.026	0.21
10	0.34	0.38	0.14	0.0034	0	0	0	0	0	0	0.14	0	0	0	1	0.23	0.16
11	0.24	0.38	0.094	0	0	0	0.039	0	0.0014	0	0.094	0	0.16	0	1	0.23	0.16
12	0.56	0	0.22	0	0	0	0	0	0	0	0.22	0	0	0.00011	0	0.23	0.21
13	0.49	0.0012	0.19	0.12	0	0	0	0	0	0	0.19	0	0	0.0026	0	0.23	0.21
14	0.55	0.0051	0.22	0.0022	0	0	0	0	0	0	0.22	0	0	0.0052	0	0.23	0.21
15	0.0027	0.051	0.0011	0.94	0	0	0	0	0	0	0.0011	0.0069	0	0	3	0.35	0.27
16	0.39	0.3	0.15	1.1e-05	0	0	0	0	0	0	0.15	0	0	0	0	0.23	0.21
17	0.45	0	0.18	0	0.0018	0.00091	0	0.18	0	0	0.18	0.0048	0	0	0	0.23	0.21
18	0.017	0.29	0.0067	0	0	0	0.45	0	0.0001	0	0.0067	0	0.24	0	6	0	0.14
19	0.43	0.23	0.17	0	0	0	0	0	8.7e-05	0	0.17	0	0	0	0	0.23	0.21
20	0.55	0	0.22	0.0038	0	0	0	0	0	0	0.22	0	0	0.00064	0	0.23	0.21
21	0.049	0.88	0.019	0	0	0	0	0	0.03	0	0.019	0	0	0	1	0.23	0.16
22	0	0	0	0	0	0	0.03	0	0.0024	0	0	0	0.97	0	12	0	0.19
23	0.14	0.012	0.054	6.3e-05	0	0	0	0	0.75	0	0.054	0	0	0	8	0.026	0.21
24	0.56	0	0.22	0.0002	0	0	0	0	0	0	0.22	0	0	0	0	0.23	0.21
25	0	0	0	0	0	0	0.5	0	0.011	0	0	0	0.49	0	6	0	0.14
26	0.36	0	0.14	0.35	0	0	0	0	0	0	0.14	0	0	0	0	0.23	0.21
27	0.56	0	0.22	0.0011	0	0	0	0	0	0	0.22	0	0	0	0	0.23	0.21
28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0.2	0.023
29	0	0	0	0	0	0	0.041	0	0.0053	0	0	0	0.95	0	12	0	0.19
30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0.026	0.21
31	0.4	0.29	0.16	0	0	0	0	0	3e-05	0	0.16	0	0	0	0	0.23	0.21
32	0	0	0	0	0	0	0.2	0	8.6e-06	0	0	0	0.8	0	12	0	0.19
33	0	0	0	0	0	0	0.36	0	8e-05	0	0	0	0.64	0	12	0	0.19
34	0	0	0	0	0	0	0.15	0	6.5e-05	0	0	0	0.85	0	12	0	0.19
35	0	0	0	0	0	0	0.025	0	0.015	0	0	0	0.96	0	12	0	0.19
36	0.56	0	0.22	0.0021	0	0	0	0	0	0	0.22	0	0	0	0	0.23	0.21
37	0.52	0.073	0.21	1.5e-06	0	0	0	0	0.00012	0	0.21	0	0	0	0	0.23	0.21
38	0	0	0	3.2e-06	0	0	0	0	0	0	0	1	0	0	11	0.2	0.023
39	0.54	0.027	0.22	9.5e-06	0	0	0	0	0	0	0.22	0	0	0	0	0.23	0.21
40	0.42	0.24	0.17	0	0	0	0	0	0.00055	0	0.17	0	0	0	0	0.23	0.21
41	1.4e-05	3e-06	5.4e-06	0	0	0	0.038	0	0.15	0	5.4e-06	0	0.81	0	12	0	0.19
42	0	0	0	0	0	0	0.58	0	7.3e-05	0	0	0	0.42	0	6	0	0.14
43	0.0013	0	0.00053	1	0	0	0	0	0	0	0.00053	0	0	0	3	0.35	0.27
44	0	0	0	0	0	0	1	0	0	0	0	0	7.8e-06	0	6	0	0.14
45	0	0	0	0	0	1	0	2.7e-05	0	0	0	0	0	0	5	0.1	0
46	0.21	4.4e-06	0.084	0.62	0	0	0	0	0	0	0.084	0	0	0	3	0.35	0.27
47	0.3	0.45	0.12	0.0029	0	0	0	0	0	0	0.12	3.5e-05	0	0	1	0.23	0.16
48	0.019	0.63	0.0077	0	0	0	0	0	0	0	0.0077	0.34	0	0	1	0.23	0.16
49	0	0	0	0	0	0.93	0	0.051	0	0	0	0.015	0	0	5	0.1	0
