SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0	0.28	0.0013	0.033	0	0.68	0	6	0.23	0.16
1	0	0	0.91	0.0017	0	0	0.085	0	2	0.23	0.21
2	0	0	0.88	0.003	0	0	0.12	0	2	0.23	0.21
3	0	0	0.81	0	0	0	0.19	0	2	0.23	0.21
4	0.89	0	0.11	0	0	0	0.0023	0	0	0.026	0.21
5	0.00056	0.082	0.21	0	0	0.52	0.19	0	5	0	0.16
6	0	0	0.65	6.4e-05	0	0	0.35	0	2	0.23	0.21
7	0	0	0.31	2.3e-05	0	0	0.69	0	6	0.23	0.16
8	0	0	0.84	0.14	0	0	0.02	0	2	0.23	0.21
9	1	0	0	0	0	0	0	0	0	0.026	0.21
10	0	0	0.61	0.014	0	0	0.37	0	2	0.23	0.21
11	0.0013	0.041	0.43	0	0	0.17	0.37	0	2	0.23	0.21
12	0	0	1	0	0	0	0	0	2	0.23	0.21
13	0	0	0.85	0.15	0	0	0.0011	0	2	0.23	0.21
14	0	0	0.99	0.00033	0	0	0.005	0	2	0.23	0.21
15	2.2e-05	0	0.056	0.012	0.35	0	0.59	0	6	0.23	0.16
16	0	0	0.7	8.1e-05	0	0	0.3	0	2	0.23	0.21
17	0	0	0.99	0.0057	0.0092	0	0	0	2	0.23	0.21
18	8.8e-05	0.019	0.028	0	0	0.7	0.25	0	5	0	0.16
19	8.4e-05	0	0.78	0	0	0	0.22	0	2	0.23	0.21
20	0	0	0.97	0.028	0	0	0	0	2	0.23	0.21
21	0.03	0	0.09	0	0	0	0.88	0	6	0.23	0.16
22	0.0028	0.44	0	0	0	0.55	0	0	5	0	0.16
23	0.74	0	0.25	1.6e-05	0	0	0.012	0	0	0.026	0.21
24	0	0	1	0.00014	0	0	0	0	2	0.23	0.21
25	0.01	0.081	0	0	0	0.91	0	0	5	0	0.16
26	0	0	1	0.00015	0	0	0	0	2	0.23	0.21
27	0	0	1	9.4e-06	0	0	0	0	2	0.23	0.21
28	0	0	0	0	1	0	0	0	4	0.18	0.023
29	0.0056	0.44	0	0	0	0.55	0	0	5	0	0.16
30	1	0	0	0	0	0	0	0	0	0.026	0.21
31	2.8e-05	0	0.71	0	0	0	0.29	0	2	0.23	0.21
32	5.4e-06	0.032	0	0	0	0.97	0	0	5	0	0.16
33	5.3e-05	0.035	0	0	0	0.96	0	0	5	0	0.16
34	5e-05	0.077	0	0	0	0.92	0	0	5	0	0.16
35	0.014	0.61	0	0	0	0.38	0	0	1	0	0.21
36	0	0	1	0.00056	0	0	0	0	2	0.23	0.21
37	0.00012	0	0.93	1.4e-06	0	0	0.071	0	2	0.23	0.21
38	0	0	0	0	1	0	0	0	4	0.18	0.023
39	0	0	0.97	0.0001	0	0	0.026	0	2	0.23	0.21
40	0.00053	0	0.76	0	0	0	0.24	0	2	0.23	0.21
41	0.13	0.56	2.2e-05	0	0	0.31	2.7e-06	0	1	0	0.21
42	5e-05	0.016	0	0	0	0.98	0	0	5	0	0.16
43	0	0	0.15	0.85	0	0	0	0	3	0.35	0.21
44	0	0	0	0	0	1	0	0	5	0	0.16
45	0	0	0	1	8.6e-05	0	0	0	3	0.35	0.21
46	0	0	0.99	0.0087	0	0	1.1e-05	0	2	0.23	0.21
47	0	0	0.55	0.0087	5.7e-05	0	0.44	0	2	0.23	0.21
48	0	0	0.031	0.00013	0.42	0	0.55	0	6	0.23	0.16
49	0	0	0	0	1	0	0	0	4	0.18	0.023
50	0	0	0.93	0.069	0	0	0	0	2	0.23	0.21
51	0	0	0.11	0.00025	0.0029	0	0.88	0	6	0.23	0.16
52	0	0	0.29	0	0	0	0.71	0	6	0.23	0.16
53	0	0	1	0.00015	0	0	0	0	2	0.23	0.21
54	0	0	0.91	1.8e-05	0	0	0.092	0	2	0.23	0.21
55	0.15	0	0.021	0	7.5e-05	0	0.82	0	6	0.23	0.16
56	0.00014	0.0027	0	0	0	1	0	0	5	0	0.16
57	0.0022	0.054	0	0	0	0.94	0	0	5	0	0.16
58	0	0	0.17	0	0	0	0.83	0	6	0.23	0.16
59	0	0	0.29	0.00027	0	0	0.71	0	6	0.23	0.16
60	0	0	0.99	0.00057	0	0	0.013	0	2	0.23	0.21
61	0	0	0.23	0	0	0	0.77	0	6	0.23	0.16
62	0	0	0	0	1	0	0	0	4	0.18	0.023
63	0.011	0.39	0	0	0	0.6	0	0	5	0	0.16
64	0	0	0.51	0.0057	0	0	0.48	0	2	0.23	0.21
65	0	0	0.94	0.0081	0	0	0.055	0	2	0.23	0.21
66	0	0	0.98	0	0	0	0.022	0	2	0.23	0.21
67	0.00081	0.1	0	0	0	0.9	0	0	5	0	0.16
68	0.0074	0.2	0	0	0	0.79	0	0	5	0	0.16
69	0	0	0.6	0.0025	0	0	0.4	0	2	0.23	0.21
70	0.00029	0.014	0	0	0	0.99	0	0	5	0	0.16
71	0.0058	0	0.69	2.6e-05	0	0	0.31	0	2	0.23	0.21
72	0.98	0	0.0092	0	0	0	0.0062	0	0	0.026	0.21
73	0	0	0.27	1.6e-05	0	0	0.73	0	6	0.23	0.16
74	0.016	0	0.36	4.7e-06	0	0	0.63	0	6	0.23	0.16
75	0	0	0.77	0	0	0	0.23	0	2	0.23	0.21
76	0	0	0.19	0.00034	0	0	0.81	0	6	0.23	0.16
77	0	0	0.78	0.016	0	0	0.21	0	2	0.23	0.21
78	0	0	0.75	0.0016	0	0	0.25	0	2	0.23	0.21
79	0.00031	0.0046	0	0	0	1	0	0	5	0	0.16
80	0	0.018	0	0	0	0.98	0	0	5	0	0.16
81	0.0017	0.56	0	0	0	0.44	0	0	1	0	0.21
82	0	0	0	0	1	0	0	0	4	0.18	0.023
83	0	0	0.95	0.00093	0	0	0.045	0	2	0.23	0.21
84	0.18	0.72	6.8e-05	0	0	0.092	1.8e-06	0	1	0	0.21
85	0.00043	0	0.84	0.01	0	0	0.15	0	2	0.23	0.21
86	0	0	0.66	0.00071	0	0	0.33	0	2	0.23	0.21
87	0	0	0.94	5.8e-06	0	0	0.065	0	2	0.23	0.21
88	0	0	0.83	5.6e-06	0	0	0.17	0	2	0.23	0.21
89	0	0	0	0	1	0	0	0	4	0.18	0.023
90	0.0062	0.5	0	0	0	0.5	0	0	5	0	0.16
91	0	0	0.37	1.5e-05	0	0	0.63	0	6	0.23	0.16
92	0.0011	0	0.42	0.00066	9.2e-05	0	0.58	0	6	0.23	0.16
93	0.0016	0.054	0	0	0	0.94	0	0	5	0	0.16
94	0	0	0.92	0.00044	0	0	0.076	0	2	0.23	0.21
95	0	0	0.17	7.6e-05	0	0	0.83	0	6	0.23	0.16
96	0	0	0	0	1	0	0	0	4	0.18	0.023
97	0	0	0.097	0	0	0	0.9	0	6	0.23	0.16
98	0	0	0.78	0	0	0	0.22	0	2	0.23	0.21
99	0	0	0.011	9.7e-05	0	0	0.99	0	6	0.23	0.16
100	0	0	0.77	1.8e-05	0	0	0.23	0	2	0.23	0.21
101	0	0	0.84	7.2e-06	0	0	0.16	0	2	0.23	0.21
102	0	0	0.16	0	0	0	0.84	0	6	0.23	0.16
103	0	0	0.079	1.6e-05	0	0	0.92	0	6	0.23	0.16
104	0	0	1	0	0	0	0.0042	0	2	0.23	0.21
105	0	0	0.36	0.00015	0	0	0.64	0	6	0.23	0.16
106	0	0	0.33	0	0	0	0.67	0	6	0.23	0.16
107	0.0032	0.72	0	0	0	0.28	0	0	1	0	0.21
108	0	2.6e-05	0	0	0	1	0	0	5	0	0.16
109	0	0	0.013	0	0	0	0.99	0	6	0.23	0.16
110	0	0	0.25	0.011	0	0	0.74	0	6	0.23	0.16
111	0	0	0.48	0.024	0	0	0.49	0	6	0.23	0.16
112	0	0.0035	0	0	0	1	0	0	5	0	0.16
113	0	0	0.16	0	0	0	0.84	0	6	0.23	0.16
114	0	0	0.99	0	0	0	0.012	0	2	0.23	0.21
115	0	0	0.62	0.26	0	0	0.11	0	2	0.23	0.21
116	0	0	0.94	0	0	0	0.06	0	2	0.23	0.21
117	0	0	0.84	0.00071	0	0	0.16	0	2	0.23	0.21
118	0	0	0.28	0.00061	0	0	0.72	0	6	0.23	0.16
119	0	0	0.24	0.0041	0.00085	0	0.75	0	6	0.23	0.16
120	1.7e-06	0	0.62	2.9e-05	0	0	0.38	0	2	0.23	0.21
121	0.02	0.23	0	0	0	0.75	0	0	5	0	0.16
122	0	0	0.19	0	0	0	0.81	0	6	0.23	0.16
123	0	0	0.54	0.00015	0	0	0.46	0	2	0.23	0.21
124	0	0	0.81	0.0039	0	0	0.19	0	2	0.23	0.21
125	0	0	0.74	1.5e-05	0	0	0.26	0	2	0.23	0.21
126	0	0	0.57	3.6e-05	0	0	0.43	0	2	0.23	0.21
127	0.0037	0.56	0	0	0	0.44	0	0	1	0	0.21
128	0	0	0.26	0	0	0	0.74	0	6	0.23	0.16
129	0	0	0	0	1	0	0	0	4	0.18	0.023
130	0.0057	0.87	0	0	0	0.12	0	0	1	0	0.21
131	0	0	0.98	0.0036	0	0	0.016	0	2	0.23	0.21
132	0	0	0.69	9.7e-05	0	0	0.31	0	2	0.23	0.21
133	0	0	0.92	9.6e-06	0	0	0.083	0	2	0.23	0.21
134	0	0	0.83	0.00014	0	0	0.17	0	2	0.23	0.21
135	0	0	0.058	0	0	0	0.94	0	6	0.23	0.16
136	0.015	0.31	0	0	0	0.67	0	0	5	0	0.16
137	0	0	0.23	0	0	0	0.77	0	6	0.23	0.16
138	0	0	0.8	3.9e-05	0	0	0.2	0	2	0.23	0.21
139	0	0	0.41	0.0042	1.2e-05	0	0.59	0	6	0.23	0.16
