SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0.34	0.19	0.32	0.25
1	1	0	0.34	0.19	0.32	0.25
2	1	0	0.34	0.19	0.32	0.25
3	1	0	0.34	0.19	0.32	0.25
4	1	0	0.34	0.19	0.32	0.25
5	1	0	0.34	0.19	0.32	0.25
6	1	0	0.34	0.19	0.32	0.25
7	1	0	0.34	0.19	0.32	0.25
8	1	0	0.34	0.19	0.32	0.25
9	1	0	0.34	0.19	0.32	0.25
10	1	0	0.34	0.19	0.32	0.25
11	1	0	0.34	0.19	0.32	0.25
12	1	0	0.34	0.19	0.32	0.25
13	1	0	0.34	0.19	0.32	0.25
14	1	0	0.34	0.19	0.32	0.25
15	1	0	0.34	0.19	0.32	0.25
16	1	0	0.34	0.19	0.32	0.25
17	1	0	0.34	0.19	0.32	0.25
18	1	0	0.34	0.19	0.32	0.25
19	1	0	0.34	0.19	0.32	0.25
20	1	0	0.34	0.19	0.32	0.25
21	1	0	0.34	0.19	0.32	0.25
22	1	0	0.34	0.19	0.32	0.25
23	1	0	0.34	0.19	0.32	0.25
24	1	0	0.34	0.19	0.32	0.25
25	1	0	0.34	0.19	0.32	0.25
26	1	0	0.34	0.19	0.32	0.25
27	1	0	0.34	0.19	0.32	0.25
28	1	0	0.34	0.19	0.32	0.25
29	1	0	0.34	0.19	0.32	0.25
30	1	0	0.34	0.19	0.32	0.25
31	1	0	0.34	0.19	0.32	0.25
32	1	0	0.34	0.19	0.32	0.25
33	1	0	0.34	0.19	0.32	0.25
34	1	0	0.34	0.19	0.32	0.25
35	1	0	0.34	0.19	0.32	0.25
36	1	0	0.34	0.19	0.32	0.25
37	1	0	0.34	0.19	0.32	0.25
38	1	0	0.34	0.19	0.32	0.25
39	1	0	0.34	0.19	0.32	0.25
40	1	0	0.34	0.19	0.32	0.25
41	1	0	0.34	0.19	0.32	0.25
42	1	0	0.34	0.19	0.32	0.25
43	1	0	0.34	0.19	0.32	0.25
44	1	0	0.34	0.19	0.32	0.25
45	1	0	0.34	0.19	0.32	0.25
46	1	0	0.34	0.19	0.32	0.25
47	1	0	0.34	0.19	0.32	0.25
48	1	0	0.34	0.19	0.32	0.25
49	1	0	0.34	0.19	0.32	0.25
50	1	0	0.34	0.19	0.32	0.25
51	1	0	0.34	0.19	0.32	0.25
52	1	0	0.34	0.19	0.32	0.25
53	1	0	0.34	0.19	0.32	0.25
54	1	0	0.34	0.19	0.32	0.25
55	1	0	0.34	0.19	0.32	0.25
56	1	0	0.34	0.19	0.32	0.25
57	1	0	0.34	0.19	0.32	0.25
58	1	0	0.34	0.19	0.32	0.25
59	1	0	0.34	0.19	0.32	0.25
60	1	0	0.34	0.19	0.32	0.25
61	1	0	0.34	0.19	0.32	0.25
62	1	0	0.34	0.19	0.32	0.25
63	1	0	0.34	0.19	0.32	0.25
64	1	0	0.34	0.19	0.32	0.25
65	1	0	0.34	0.19	0.32	0.25
66	1	0	0.34	0.19	0.32	0.25
67	1	0	0.34	0.19	0.32	0.25
68	1	0	0.34	0.19	0.32	0.25
69	1	0	0.34	0.19	0.32	0.25
70	1	0	0.34	0.19	0.32	0.25
71	1	0	0.34	0.19	0.32	0.25
72	1	0	0.34	0.19	0.32	0.25
73	1	0	0.34	0.19	0.32	0.25
74	1	0	0.34	0.19	0.32	0.25
75	1	0	0.34	0.19	0.32	0.25
76	1	0	0.34	0.19	0.32	0.25
77	1	0	0.34	0.19	0.32	0.25
78	1	0	0.34	0.19	0.32	0.25
79	1	0	0.34	0.19	0.32	0.25
80	1	0	0.34	0.19	0.32	0.25
81	1	0	0.34	0.19	0.32	0.25
82	1	0	0.34	0.19	0.32	0.25
83	1	0	0.34	0.19	0.32	0.25
84	1	0	0.34	0.19	0.32	0.25
85	1	0	0.34	0.19	0.32	0.25
86	1	0	0.34	0.19	0.32	0.25
87	1	0	0.34	0.19	0.32	0.25
88	1	0	0.34	0.19	0.32	0.25
89	1	0	0.34	0.19	0.32	0.25
90	1	0	0.34	0.19	0.32	0.25
91	1	0	0.34	0.19	0.32	0.25
92	1	0	0.34	0.19	0.32	0.25
93	1	0	0.34	0.19	0.32	0.25
94	1	0	0.34	0.19	0.32	0.25
95	1	0	0.34	0.19	0.32	0.25
96	1	0	0.34	0.19	0.32	0.25
97	1	0	0.34	0.19	0.32	0.25
98	1	0	0.34	0.19	0.32	0.25
99	1	0	0.34	0.19	0.32	0.25
100	1	0	0.34	0.19	0.32	0.25
101	1	0	0.34	0.19	0.32	0.25
102	1	0	0.34	0.19	0.32	0.25
103	1	0	0.34	0.19	0.32	0.25
104	1	0	0.34	0.19	0.32	0.25
105	1	0	0.34	0.19	0.32	0.25
106	1	0	0.34	0.19	0.32	0.25
107	1	0	0.34	0.19	0.32	0.25
108	1	0	0.34	0.19	0.32	0.25
109	1	0	0.34	0.19	0.32	0.25
110	1	0	0.34	0.19	0.32	0.25
111	1	0	0.34	0.19	0.32	0.25
112	1	0	0.34	0.19	0.32	0.25
113	1	0	0.34	0.19	0.32	0.25
114	1	0	0.34	0.19	0.32	0.25
115	1	0	0.34	0.19	0.32	0.25
116	1	0	0.34	0.19	0.32	0.25
117	1	0	0.34	0.19	0.32	0.25
118	1	0	0.34	0.19	0.32	0.25
119	1	0	0.34	0.19	0.32	0.25
120	1	0	0.34	0.19	0.32	0.25
121	1	0	0.34	0.19	0.32	0.25
122	1	0	0.34	0.19	0.32	0.25
123	1	0	0.34	0.19	0.32	0.25
124	1	0	0.34	0.19	0.32	0.25
125	1	0	0.34	0.19	0.32	0.25
126	1	0	0.34	0.19	0.32	0.25
127	1	0	0.34	0.19	0.32	0.25
128	1	0	0.34	0.19	0.32	0.25
129	1	0	0.34	0.19	0.32	0.25
130	1	0	0.34	0.19	0.32	0.25
131	1	0	0.34	0.19	0.32	0.25
132	1	0	0.34	0.19	0.32	0.25
133	1	0	0.34	0.19	0.32	0.25
134	1	0	0.34	0.19	0.32	0.25
135	1	0	0.34	0.19	0.32	0.25
136	1	0	0.34	0.19	0.32	0.25
137	1	0	0.34	0.19	0.32	0.25
