SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0.54	0	0	0	0	0	0.46	0	3.6e-06	0	0	0.34	0.19	0.23	0.31
1	0.38	0	0.48	0	0	0.014	0.049	0	0.071	0	2	0.59	0.19	0.32	0.31
2	0	0	0.00056	0	0	0.8	0.2	0	0	0	5	0.34	0.33	0.48	0.53
3	1.3e-05	0	0.0056	0	0	0.027	0.97	0	9.1e-05	0	6	0.66	0.33	0.4	0.42
4	0	1	0	0	0	0	0	0.00015	0	0	1	0	0.084	0.071	0.028
5	0.99	0	0.0055	0	0	0	0	0	0.00021	0	0	0.34	0.19	0.23	0.31
6	0.23	0	0.35	0	0	0.13	0.032	0	0.26	0	2	0.59	0.19	0.32	0.31
7	0	0	0.012	0	0	0	0.98	0	0.0029	0	6	0.66	0.33	0.4	0.42
8	0.00069	0	0.023	0	0	0.41	0.57	0	0.00037	0	6	0.66	0.33	0.4	0.42
9	0	0.21	0	0.66	0	0	0	0.12	0	0	3	0	0.15	0.25	0.11
10	0	0	0	1	0	0	0	0.00013	0	0	3	0	0.15	0.25	0.11
11	0	0	0	0	1	0	0	0	0	0	4	0.34	0	0	0.17
12	0	0.34	0	0.51	0	0	0	0.15	0	0	3	0	0.15	0.25	0.11
13	0.022	0	0.0037	0	0	0.14	0.83	0	0.003	0	6	0.66	0.33	0.4	0.42
14	0	0	0	0	1	0	0	0	0	0	4	0.34	0	0	0.17
15	0.66	0	0.3	0	0	1.3e-06	0.00016	0	0.034	0	0	0.34	0.19	0.23	0.31
16	0	0.00028	0	1	0	0	0	0.0032	0	0	3	0	0.15	0.25	0.11
17	0.27	0	0.043	0	0	0.00038	0.097	0	0.59	0	8	0.34	0.26	0.23	0.36
18	0	0	0	0	0	0.084	0.92	0	0	0	6	0.66	0.33	0.4	0.42
19	0.78	0	0.22	0	0	0	0	0	0.0018	0	0	0.34	0.19	0.23	0.31
20	0	0	0	1	0	0	0	0	0	0	3	0	0.15	0.25	0.11
21	1	0	0	0	0	0	0	0	0.00037	0	0	0.34	0.19	0.23	0.31
22	0.98	0	0.0013	0	0	0	0	0	0.022	0	0	0.34	0.19	0.23	0.31
