SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	2.1e-05	0.00012	0	0	0	0	0.34	0.13	0.21	0.25
1	0.0018	0	0	0.23	0.015	0.18	0	0.58	7	0.66	0.26	0.36	0.42
2	0	0	0	0	1	0.0015	0	0.0014	4	0.59	0.33	0.56	0.53
3	0	0	0	5.6e-05	0.00016	0.013	0	0.99	7	0.66	0.26	0.36	0.42
4	0	1	0	0	0	0	0	0	1	0	0.063	0.071	0.028
5	0	0	0	1	0	0.0033	0	0	3	0.34	0.26	0.23	0.31
6	0	0	0	0.031	2.6e-05	0.97	0	0.0035	5	0.38	0.26	0.32	0.25
7	0	0	0	6.9e-05	0	0.00015	0	1	7	0.66	0.26	0.36	0.42
8	0	0	0	0.001	0.26	0.11	0	0.63	7	0.66	0.26	0.36	0.42
9	0	0.015	0.99	0	0	0	0	0	2	0	0.19	0.25	0.11
10	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
11	0	0	0	0	0	0	1	0	6	0.34	0	0	0.17
12	0	0.0011	1	0	0	0	0	0	2	0	0.19	0.25	0.11
13	0	0	0	0.016	0.022	0.74	0	0.22	5	0.38	0.26	0.32	0.25
14	0	0	0	0	0	0	1	0	6	0.34	0	0	0.17
15	0	0	0	0.28	0	0.013	0	0.71	7	0.66	0.26	0.36	0.42
16	0	1.6e-06	1	0	0	0	0	0	2	0	0.19	0.25	0.11
17	0	0	0	0.6	0	0.32	0	0.085	3	0.34	0.26	0.23	0.31
18	0	0	0	0	0.013	0.97	0	0.019	5	0.38	0.26	0.32	0.25
19	0	0	0	0.6	0	0.4	0	0.00033	3	0.34	0.26	0.23	0.31
20	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
21	0.17	0	0	0.83	0	2.4e-06	0	0	3	0.34	0.26	0.23	0.31
22	0	0	0	1	0	4.3e-05	0	0.00037	3	0.34	0.26	0.23	0.31
23	0	0	0	0.009	4.3e-05	4.8e-05	0	0.99	7	0.66	0.26	0.36	0.42
24	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
25	0	1	0	0	0	0	0	0	1	0	0.063	0.071	0.028
26	0	0	0	0.0098	0	0.98	0	0.015	5	0.38	0.26	0.32	0.25
27	0	0	0	0	0.0016	0.078	0	0.92	7	0.66	0.26	0.36	0.42
28	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
29	0	1	5e-05	0	0	0	0	0	1	0	0.063	0.071	0.028
30	0	0	0	5.6e-05	0.0018	0.46	0	0.54	7	0.66	0.26	0.36	0.42
31	0	0.37	0.63	0	0	0	0	0	2	0	0.19	0.25	0.11
32	0	0	0	0.82	0	2e-05	0	0.18	3	0.34	0.26	0.23	0.31
33	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
34	0	0	0	0.5	0	0.25	0	0.26	3	0.34	0.26	0.23	0.31
35	0	0	0	0.039	0	0.12	0	0.84	7	0.66	0.26	0.36	0.42
36	1	0	0	0	0	0	0	0	0	0.34	0.13	0.21	0.25
37	0	0	0	0.99	0	0.001	0	0.0067	3	0.34	0.26	0.23	0.31
38	0	0	0	0	0	0.45	0	0.55	7	0.66	0.26	0.36	0.42
39	0	0	0	0	0	0	0	1	7	0.66	0.26	0.36	0.42
40	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
41	0	0	0	0.95	0	0.045	0	9e-06	3	0.34	0.26	0.23	0.31
42	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
43	0	0	1	0	0	0	0	0	2	0	0.19	0.25	0.11
44	0.017	0	0	0.98	0	0.0029	0	0.00047	3	0.34	0.26	0.23	0.31
45	0.9	0	0	0.1	0	0	0	0	0	0.34	0.13	0.21	0.25
46	0	0	0	0.98	0	0.013	0	0.0098	3	0.34	0.26	0.23	0.31
47	0	0	0	0	0	0	1	0	6	0.34	0	0	0.17
48	0.47	0	0	0.4	0	0.13	0	1.8e-05	0	0.34	0.13	0.21	0.25
49	0	0.089	0.91	0	0	0	0	0	2	0	0.19	0.25	0.11
50	2e-06	0	0	0.67	0	0.21	0	0.12	3	0.34	0.26	0.23	0.31
51	0.018	0	0	4.4e-05	0.0063	0.32	0	0.66	7	0.66	0.26	0.36	0.42
52	1.9e-06	2.1e-06	1	0	0	0	0	0	2	0	0.19	0.25	0.11
