k	loglikelihood	observations	parameters	BIC
1	-30128.5	24144	8	60337.7
2	-18801.8	24144	12	37724.7
3	-16286.4	24144	16	32734.2
4	-15436.5	24144	20	31074.8
5	-13947.4	24144	24	28137.1
6	-13660.7	24144	28	27603.9
7	-13082.1	24144	32	26487.2
8	-13191.5	24144	36	26746.3
9	-12273.4	24144	40	24950.5
10	-12197.3	24144	44	24838.6
11	-12414.8	24144	48	25314.1
12	-11136.4	24144	52	22797.5
13	-11251.5	24144	56	23068.1
14	-11430.2	24144	60	23465.9
15	-11763.6	24144	64	24173
16	-11163.3	24144	68	23012.8
17	-10667	24144	72	22060.6
18	-11119.3	24144	76	23005.6
19	-10715.9	24144	80	22239.1
20	-10625.6	24144	84	22098.8
