SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	1	0	0	0	0	0.00071	0	0	0	0	0	0	0	0	2	0.34	0.19	0.25	0.25
1	0.2	7.3e-06	0.28	0	0.16	0.032	0	0.0035	0	0.12	6.5e-05	0	0	0	0	0.21	2	0.34	0.19	0.25	0.25
2	0.0057	0.00019	1e-06	0	0.99	1.1e-05	0	0	0	0	0	0	0	0	0	0	4	0.34	0.19	0.4	0.25
3	0.73	0	0.0004	0	0.23	0.032	0	0	0	0.00018	0	0	0	0	0	0.0052	0	0.62	0.26	0.36	0.36
4	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0.019	0	3	0	0.084	0.036	0.028
5	0	0	0.96	0	0	1e-05	0	0.0001	0	0.0009	0	0	0	0	0	0.04	2	0.34	0.19	0.25	0.25
6	0.038	0	0.051	0	0.54	0.33	0	0.0015	0	0.041	0	0	0	0	0	0	4	0.34	0.19	0.4	0.25
7	0.99	0	5.8e-06	0	1.2e-05	0.011	0	0	0	0.0001	0	0	0	0	0	6.9e-06	0	0.62	0.26	0.36	0.36
8	0.22	2.1e-05	0.0073	0	0.76	0.0078	0	2.9e-05	0	0.00063	0	0	0	0	0	0.0044	4	0.34	0.19	0.4	0.25
9	0	0	0	0	0	0	3.1e-05	0	0	0	0	0	0.0082	0	0.99	0	14	0	0.13	0.21	0.083
10	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	1	0	14	0	0.13	0.21	0.083
11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0.34	0	0	0.17
12	0	0	0	0	0	0	0	0	0	0	0	0	0.00032	0	1	0	14	0	0.13	0.21	0.083
13	0.056	0	0.086	0	0.85	0.0051	0	0.00082	0	0.0021	0	0	0	0	0	9.8e-05	4	0.34	0.19	0.4	0.25
14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.26	0	0	0
15	0.062	0	0.068	0	0.02	0.016	0	9.1e-05	0	0.082	0	0	0	0	0	0.75	15	0.66	0.18	0.32	0.31
16	0	0	0	1.1e-06	0	0	0.051	0	0	0	0	0	0.055	0	0.89	0	14	0	0.13	0.21	0.083
17	0.032	0	0.59	0	0.019	0.057	0	0.011	0	0.29	0	0	0	0	0	0.00069	2	0.34	0.19	0.25	0.25
18	1.6e-05	0	9.2e-06	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.34	0.19	0.4	0.25
