SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.21	0.48	0.47
1	1	0	0.21	0.48	0.47
2	1	0	0.21	0.48	0.47
3	1	0	0.21	0.48	0.47
4	1	0	0.21	0.48	0.47
5	1	0	0.21	0.48	0.47
6	1	0	0.21	0.48	0.47
7	1	0	0.21	0.48	0.47
8	1	0	0.21	0.48	0.47
9	1	0	0.21	0.48	0.47
10	1	0	0.21	0.48	0.47
11	1	0	0.21	0.48	0.47
12	1	0	0.21	0.48	0.47
13	1	0	0.21	0.48	0.47
14	1	0	0.21	0.48	0.47
15	1	0	0.21	0.48	0.47
16	1	0	0.21	0.48	0.47
17	1	0	0.21	0.48	0.47
18	1	0	0.21	0.48	0.47
19	1	0	0.21	0.48	0.47
20	1	0	0.21	0.48	0.47
21	1	0	0.21	0.48	0.47
22	1	0	0.21	0.48	0.47
23	1	0	0.21	0.48	0.47
24	1	0	0.21	0.48	0.47
25	1	0	0.21	0.48	0.47
26	1	0	0.21	0.48	0.47
27	1	0	0.21	0.48	0.47
28	1	0	0.21	0.48	0.47
29	1	0	0.21	0.48	0.47
30	1	0	0.21	0.48	0.47
31	1	0	0.21	0.48	0.47
32	1	0	0.21	0.48	0.47
33	1	0	0.21	0.48	0.47
34	1	0	0.21	0.48	0.47
35	1	0	0.21	0.48	0.47
36	1	0	0.21	0.48	0.47
37	1	0	0.21	0.48	0.47
38	1	0	0.21	0.48	0.47
39	1	0	0.21	0.48	0.47
40	1	0	0.21	0.48	0.47
41	1	0	0.21	0.48	0.47
42	1	0	0.21	0.48	0.47
43	1	0	0.21	0.48	0.47
44	1	0	0.21	0.48	0.47
45	1	0	0.21	0.48	0.47
46	1	0	0.21	0.48	0.47
47	1	0	0.21	0.48	0.47
48	1	0	0.21	0.48	0.47
49	1	0	0.21	0.48	0.47
50	1	0	0.21	0.48	0.47
51	1	0	0.21	0.48	0.47
52	1	0	0.21	0.48	0.47
53	1	0	0.21	0.48	0.47
54	1	0	0.21	0.48	0.47
55	1	0	0.21	0.48	0.47
56	1	0	0.21	0.48	0.47
57	1	0	0.21	0.48	0.47
58	1	0	0.21	0.48	0.47
59	1	0	0.21	0.48	0.47
60	1	0	0.21	0.48	0.47
61	1	0	0.21	0.48	0.47
62	1	0	0.21	0.48	0.47
63	1	0	0.21	0.48	0.47
64	1	0	0.21	0.48	0.47
65	1	0	0.21	0.48	0.47
66	1	0	0.21	0.48	0.47
67	1	0	0.21	0.48	0.47
68	1	0	0.21	0.48	0.47
69	1	0	0.21	0.48	0.47
70	1	0	0.21	0.48	0.47
71	1	0	0.21	0.48	0.47
72	1	0	0.21	0.48	0.47
73	1	0	0.21	0.48	0.47
74	1	0	0.21	0.48	0.47
75	1	0	0.21	0.48	0.47
76	1	0	0.21	0.48	0.47
77	1	0	0.21	0.48	0.47
78	1	0	0.21	0.48	0.47
79	1	0	0.21	0.48	0.47
80	1	0	0.21	0.48	0.47
81	1	0	0.21	0.48	0.47
82	1	0	0.21	0.48	0.47
83	1	0	0.21	0.48	0.47
84	1	0	0.21	0.48	0.47
85	1	0	0.21	0.48	0.47
86	1	0	0.21	0.48	0.47
87	1	0	0.21	0.48	0.47
88	1	0	0.21	0.48	0.47
89	1	0	0.21	0.48	0.47
90	1	0	0.21	0.48	0.47
91	1	0	0.21	0.48	0.47
92	1	0	0.21	0.48	0.47
93	1	0	0.21	0.48	0.47
94	1	0	0.21	0.48	0.47
95	1	0	0.21	0.48	0.47
96	1	0	0.21	0.48	0.47
97	1	0	0.21	0.48	0.47
98	1	0	0.21	0.48	0.47
99	1	0	0.21	0.48	0.47
100	1	0	0.21	0.48	0.47
101	1	0	0.21	0.48	0.47
102	1	0	0.21	0.48	0.47
103	1	0	0.21	0.48	0.47
104	1	0	0.21	0.48	0.47
105	1	0	0.21	0.48	0.47
106	1	0	0.21	0.48	0.47
107	1	0	0.21	0.48	0.47
108	1	0	0.21	0.48	0.47
109	1	0	0.21	0.48	0.47
110	1	0	0.21	0.48	0.47
111	1	0	0.21	0.48	0.47
112	1	0	0.21	0.48	0.47
113	1	0	0.21	0.48	0.47
114	1	0	0.21	0.48	0.47
115	1	0	0.21	0.48	0.47
116	1	0	0.21	0.48	0.47
117	1	0	0.21	0.48	0.47
118	1	0	0.21	0.48	0.47
119	1	0	0.21	0.48	0.47
120	1	0	0.21	0.48	0.47
121	1	0	0.21	0.48	0.47
122	1	0	0.21	0.48	0.47
123	1	0	0.21	0.48	0.47
124	1	0	0.21	0.48	0.47
125	1	0	0.21	0.48	0.47
126	1	0	0.21	0.48	0.47
127	1	0	0.21	0.48	0.47
128	1	0	0.21	0.48	0.47
129	1	0	0.21	0.48	0.47
130	1	0	0.21	0.48	0.47
131	1	0	0.21	0.48	0.47
132	1	0	0.21	0.48	0.47
133	1	0	0.21	0.48	0.47
134	1	0	0.21	0.48	0.47
135	1	0	0.21	0.48	0.47
136	1	0	0.21	0.48	0.47
137	1	0	0.21	0.48	0.47
138	1	0	0.21	0.48	0.47
139	1	0	0.21	0.48	0.47
140	1	0	0.21	0.48	0.47
141	1	0	0.21	0.48	0.47
142	1	0	0.21	0.48	0.47
143	1	0	0.21	0.48	0.47
144	1	0	0.21	0.48	0.47
145	1	0	0.21	0.48	0.47
146	1	0	0.21	0.48	0.47
147	1	0	0.21	0.48	0.47
148	1	0	0.21	0.48	0.47
149	1	0	0.21	0.48	0.47
150	1	0	0.21	0.48	0.47
151	1	0	0.21	0.48	0.47
152	1	0	0.21	0.48	0.47
153	1	0	0.21	0.48	0.47
154	1	0	0.21	0.48	0.47
155	1	0	0.21	0.48	0.47
156	1	0	0.21	0.48	0.47
157	1	0	0.21	0.48	0.47
158	1	0	0.21	0.48	0.47
159	1	0	0.21	0.48	0.47
160	1	0	0.21	0.48	0.47
161	1	0	0.21	0.48	0.47
162	1	0	0.21	0.48	0.47
163	1	0	0.21	0.48	0.47
164	1	0	0.21	0.48	0.47
165	1	0	0.21	0.48	0.47
166	1	0	0.21	0.48	0.47
167	1	0	0.21	0.48	0.47
168	1	0	0.21	0.48	0.47
169	1	0	0.21	0.48	0.47
170	1	0	0.21	0.48	0.47
171	1	0	0.21	0.48	0.47
172	1	0	0.21	0.48	0.47
173	1	0	0.21	0.48	0.47
174	1	0	0.21	0.48	0.47
175	1	0	0.21	0.48	0.47
176	1	0	0.21	0.48	0.47
177	1	0	0.21	0.48	0.47
178	1	0	0.21	0.48	0.47
179	1	0	0.21	0.48	0.47
180	1	0	0.21	0.48	0.47
181	1	0	0.21	0.48	0.47
182	1	0	0.21	0.48	0.47
183	1	0	0.21	0.48	0.47
184	1	0	0.21	0.48	0.47
185	1	0	0.21	0.48	0.47
186	1	0	0.21	0.48	0.47
187	1	0	0.21	0.48	0.47
