k	loglikelihood	observations	parameters	BIC
1	-21111.5	13479	6	42280
2	-11260.2	13479	9	22606
3	-9345.59	13479	12	18805.3
4	-8992.33	13479	15	18127.3
5	-8729.28	13479	18	17629.7
6	-8575.82	13479	21	17351.3
7	-8579.58	13479	24	17387.4
8	-8298.87	13479	27	16854.5
9	-8321.15	13479	30	16927.6
10	-8296.3	13479	33	16906.4
11	-8290.22	13479	36	16922.8
12	-8254.59	13479	39	16880
13	-8203.56	13479	42	16806.5
14	-8267.15	13479	45	16962.2
15	-8190.15	13479	48	16836.7
16	-8169.26	13479	51	16823.5
17	-8186.1	13479	54	16885.7
18	-8190.34	13479	57	16922.7
19	-8210.77	13479	60	16992.1
20	-8165.9	13479	63	16930.9
