SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0	dcf1	dcf2
0	0.95	0	0	0	0.048	0	0.21	0.48	0.47
1	1	0	0	0	5.1e-05	0	0.21	0.48	0.47
2	0.99	0	0	0	0.014	0	0.21	0.48	0.47
3	1	0	0	0	0.0013	0	0.21	0.48	0.47
4	1	0	0	0	0	0	0.21	0.48	0.47
5	1	0	0	0	6.3e-05	0	0.21	0.48	0.47
6	1	0	0	0	2.2e-05	0	0.21	0.48	0.47
7	0.63	0	0	0	0.37	0	0.21	0.48	0.47
8	0.98	0	0	0	0.016	0	0.21	0.48	0.47
9	1	0	0	0	0	0	0.21	0.48	0.47
10	1	0	0	0	0.00011	0	0.21	0.48	0.47
11	1	0	0	0	0.00092	0	0.21	0.48	0.47
12	0.66	0	0.34	0	0	0	0.21	0.48	0.47
13	0.84	0	0	0	0.16	0	0.21	0.48	0.47
14	0	0	1	0	0	2	0.047	0.32	0.31
15	1	0	0	0	1.5e-06	0	0.21	0.48	0.47
16	0.97	0	0	0	0.026	0	0.21	0.48	0.47
17	1	0	0	0	0	0	0.21	0.48	0.47
18	0.98	0	0	0	0.017	0	0.21	0.48	0.47
19	0.79	0	0	0	0.21	0	0.21	0.48	0.47
20	0.016	0	0	0	0.98	4	0.21	0.54	0.59
21	0	0	0	1	0	3	0.093	0	0
22	0.58	0	0	0	0.42	0	0.21	0.48	0.47
23	0	0	1	0	0	2	0.047	0.32	0.31
24	1	0	0	0	0.00024	0	0.21	0.48	0.47
25	0.12	0	0	0	0.88	4	0.21	0.54	0.59
26	0.44	0	0	0	0.56	4	0.21	0.54	0.59
27	0.69	0	0	0	0.31	0	0.21	0.48	0.47
28	0.55	0	0	0	0.45	0	0.21	0.48	0.47
29	7.8e-05	0	0	0	1	4	0.21	0.54	0.59
30	1	0	0	0	0	0	0.21	0.48	0.47
31	0.047	0	0	0	0.95	4	0.21	0.54	0.59
32	1	0	0	0	0.0015	0	0.21	0.48	0.47
33	0.006	0	0	0	0.99	4	0.21	0.54	0.59
34	0.86	0	0	0	0.14	0	0.21	0.48	0.47
35	1	0	0	0	0	0	0.21	0.48	0.47
36	1	0	0	0	5.1e-06	0	0.21	0.48	0.47
37	0	0	1	0	0	2	0.047	0.32	0.31
38	1	0	0	0	2.4e-06	0	0.21	0.48	0.47
39	1	0	0	0	0.0021	0	0.21	0.48	0.47
40	0.97	0	0	0	0.029	0	0.21	0.48	0.47
41	0.99	0	0	0	0.0088	0	0.21	0.48	0.47
42	0.99	0	0	0	0.0094	0	0.21	0.48	0.47
43	1	0	0	0	8.5e-05	0	0.21	0.48	0.47
44	0	0	0	1	0	3	0.093	0	0
45	1	0	0	0	0.0004	0	0.21	0.48	0.47
46	6.6e-05	0	0	0	1	4	0.21	0.54	0.59
47	1	0	0	0	4.2e-05	0	0.21	0.48	0.47
48	1	0	0	0	0	0	0.21	0.48	0.47
49	0	0	0	1	0	3	0.093	0	0
50	0	1	0	0	0	1	0.12	0.053	0.052
51	1	0	0	0	0.00054	0	0.21	0.48	0.47
52	0.96	0	0	0	0.039	0	0.21	0.48	0.47
53	0	0	0	1	0	3	0.093	0	0
54	0.06	0	0	0	0.94	4	0.21	0.54	0.59
55	0.0016	0	0	0	1	4	0.21	0.54	0.59
56	0	0	1	0	0	2	0.047	0.32	0.31
57	1	0	0	0	0.00015	0	0.21	0.48	0.47
58	1	0	0	0	0.00041	0	0.21	0.48	0.47
59	0	0	1	0	0	2	0.047	0.32	0.31
60	1	0	0.00031	0	2.3e-05	0	0.21	0.48	0.47
61	1	0	0	0	2.6e-05	0	0.21	0.48	0.47
