SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0.029	0	5.2e-06	0.42	0	0.04	0.42	0	0	0.082	6	0.21	0.48	0.47
1	3.4e-05	0	0	0.49	0	6.6e-06	0.49	0	0	0.011	6	0.21	0.48	0.47
2	0.0096	0	0	0.49	0	0.00013	0.49	0	0	0.008	6	0.21	0.48	0.47
3	0.00084	0	0	0.49	0	0.0003	0.49	0	0	0.026	6	0.21	0.48	0.47
4	0	0	0	0.5	0	0	0.5	0	0	0.0033	6	0.21	0.48	0.47
5	4.3e-05	0	0	0.5	0	0	0.5	0	0	0.00079	6	0.21	0.48	0.47
6	1.4e-05	0	0	0.48	0	4.2e-05	0.48	0	0	0.039	6	0.21	0.48	0.47
7	0.23	0	1e-06	0.29	0	0.13	0.29	0	0	0.068	6	0.21	0.48	0.47
8	0.011	0	0	0.49	0	3.1e-05	0.49	0	0	0.005	6	0.21	0.48	0.47
9	0	0	0	0.5	0	0.0053	0.5	0	0	0.00017	6	0.21	0.48	0.47
10	6.4e-05	0	0	0.45	0	0.00052	0.45	0	0	0.099	6	0.21	0.48	0.47
11	0.00057	0	0	0.46	0	0.0012	0.46	0	0	0.083	6	0.21	0.48	0.47
12	0	0	0	0.16	0	1.3e-06	0.16	0.69	0	0.00026	7	0.047	0.32	0.37
13	0.11	0	0	0.43	0	0.0031	0.43	0	0	0.021	6	0.21	0.48	0.47
14	0	0	0	0	0	0	0	1	0	0	7	0.047	0.32	0.37
15	1e-06	0	0	0.5	0	0	0.5	0	0	8.6e-06	6	0.21	0.48	0.47
16	0.017	0	0	0.46	0	0.0095	0.46	0	0	0.053	6	0.21	0.48	0.47
17	0	0	0	0.5	0	0	0.5	0	0	0.0025	6	0.21	0.48	0.47
18	0.012	0	0	0.49	0	0.00054	0.49	0	0	0.015	6	0.21	0.48	0.47
19	0.13	0	0	0.35	0	0.079	0.35	0	0	0.1	6	0.21	0.48	0.47
20	0.9	0	0	0.011	0	0.076	0.011	0	0	0.00011	0	0.21	0.54	0.59
21	0	0	0	0	0	0	0	0	1	0	8	0.093	0	0
22	0.28	0	0	0.29	0	0.11	0.29	0	0	0.021	6	0.21	0.48	0.47
23	0	0	0	0	0	0	0	1	0	0	7	0.047	0.32	0.37
24	0.00016	0	1e-05	0.48	0	0.00025	0.48	0	0	0.031	6	0.21	0.48	0.47
