SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0.01	1.7e-05	0.00075	0.46	0.52	0.0034	0	0	0	0	0	0	0	0	0	0	0	2.4e-06	0	4	0.2	0.21	0.17	0.36
1	0.17	0.0021	0.28	0.45	0.041	0.00098	0	0	0	0	0.051	0	0	0	0	0	0	0.00034	0	3	0.12	0.21	0.17	0.36
2	0.00012	0	0	4.9e-05	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0.2	0.21	0.17	0.36
3	0.42	0.0085	0.05	0.41	0.0056	0.0027	0	0	0	0	0.099	0	0	0	0	1.3e-05	0	0.0022	0	0	0.12	0.21	0.17	0.45
4	0.01	7e-05	0.082	0.41	0.5	7.2e-05	0	0	7e-05	0	0.001	0	0	0	0	0	0	1.2e-05	0	4	0.2	0.21	0.17	0.36
5	0.1	0	0.13	0.75	0.011	0.0012	0	0	0.0013	0	0.0067	0	4.5e-06	0	0	0	0	5.4e-05	0	3	0.12	0.21	0.17	0.36
6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0.11	0
7	0.37	0	0.16	0.43	0.00063	0.0084	0	0	0.00016	0	0.033	0	1.1e-06	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
8	0.13	0.0043	0.036	0.8	0.019	0.0011	0	0	0	2.8e-05	0.016	0	0	0	0	2.5e-05	0	0.00023	0	3	0.12	0.21	0.17	0.36
9	0.3	4.6e-05	0.042	0.35	0.0098	0.076	0	0	0.2	0	0.024	0	0.00079	0	7.9e-05	3.9e-06	0	0.0035	0.0015	3	0.12	0.21	0.17	0.36
10	0.017	0.0013	0.26	0.72	3.4e-05	0	0	0	0	0	0.0017	0	0	0	0	0.00093	0	0	0	3	0.12	0.21	0.17	0.36
11	0.014	0	0.014	0.069	0.00015	0.00014	0	0	0.85	0	0.054	0	0.0022	0	1e-05	0	0	0.00038	0.0001	8	0.098	0.4	0.32	0.64
12	0.0028	0.00012	0.46	0.38	0.00028	0	0	0	0	0	0.15	0	0	0	0	0.00041	0	3.2e-06	0	2	0.12	0.27	0.17	0.36
13	0.15	0	0.05	0.75	0.041	0.0078	0	0	1.9e-05	0	0.0043	0	0	0	0	3e-05	0	0	0	3	0.12	0.21	0.17	0.36
14	0.063	0	0.13	0.66	0.1	0.00012	0	0	0	0	0.044	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
15	0.094	5.6e-06	0.036	0.8	0.047	0.0024	0	0	0.003	0	0.023	0	0	0	0	4e-05	0	0.00025	0	3	0.12	0.21	0.17	0.36
16	0.33	0.003	0.059	0.46	0.11	0.028	0	0	1.6e-05	0	0.0073	0	0	0	0	0	0	0.0004	0	3	0.12	0.21	0.17	0.36
17	0.1	0	0.067	0.48	0.28	0.00088	0	0	0	0	0.067	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
18	0.055	0	0.065	0.77	0.071	8.1e-05	0	0	0	0	0.034	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
19	0.13	0	0.0043	0.83	0.028	2.1e-05	0	0	0	0	8.6e-06	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0.12	0	0
21	0.017	0.00065	0.28	0.6	0.0037	4.8e-05	0	0	5.6e-05	0	0.1	0	0	0	0	0.00089	0	0.00042	0	3	0.12	0.21	0.17	0.36
22	0.025	0.00033	0.037	0.79	0.014	1.7e-05	0	0	0	0	0.13	0	0	0	0	0	0	4.8e-05	0	3	0.12	0.21	0.17	0.36
23	0.041	0	0.0047	0.26	0.7	1.8e-05	0	0	0	0	6.6e-05	0	0	0	0	0	0	0	0	4	0.2	0.21	0.17	0.36
24	0.1	0.0015	0.066	0.81	0.019	0.0011	0	0	0	0	0.0041	0	0	0	0	2.3e-06	0	3.3e-05	0	3	0.12	0.21	0.17	0.36
25	0.014	0.00069	0.36	0.62	1e-05	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
26	0.0058	0	0.021	0.11	0.87	5.3e-06	0	0	0	0	0.0004	0	0	0	0	0	0	0	0	4	0.2	0.21	0.17	0.36
27	0.0022	0.0007	0.031	0.97	0	0	0	0	0	0	0.00048	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
28	0.067	0.0016	0.041	0.79	0.082	0.00018	0	0	0	0	0.02	0	0	0	0	4.2e-06	0	5.2e-05	0	3	0.12	0.21	0.17	0.36
29	0.21	0.0059	0.078	0.58	0.068	0.016	0	0	0.018	0	0.022	0	0.0001	0	1.9e-06	0.0003	0	0.0029	2.1e-05	3	0.12	0.21	0.17	0.36
30	0.028	0	0.0072	0.021	0.043	0.013	0	0	0	0	0.024	0	0	0	0.1	0	0	0	0.76	18	0.2	0.4	0.39	0.86
31	0.083	0.0083	0.12	0.79	4.8e-06	3.2e-05	0	0	0	0	0.00025	0	0	0	0	0.00044	0	0	0	3	0.12	0.21	0.17	0.36
32	0.21	0	0.043	0.5	0.21	0.0025	0	0	0	0	0.029	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
33	0.028	0	0.028	0.33	0.6	0.00014	0	0	0	0	0.014	0	0	0	0	0	0	0	0.00025	4	0.2	0.21	0.17	0.36
34	0.41	0.02	0.018	0.51	0.00026	0.02	0	0	0	0	0.004	0	0	0	0	0.016	0	0.0011	0	3	0.12	0.21	0.17	0.36
35	0.075	0.0045	0.0014	0.92	0	0	0	0	0	0	3.1e-05	0	0	0	0	0	0	0	0	3	0.12	0.21	0.17	0.36
36	0.13	0.003	0.0057	0.3	0.0067	0.35	0	0	0.038	0	0.0036	0	0	0	0	0	0	0.15	0	5	0.12	0.21	0.17	0.58
37	0.073	0	0.093	0.71	0.067	0.00048	0	0	0	0	0.054	0	0	0	0	0	0	0	0.00059	3	0.12	0.21	0.17	0.36
38	0.0085	0.00022	0.52	0.39	0.00096	4.9e-06	0	0	0	0	0.081	0	0	0	0	1.7e-05	0	4e-05	0	2	0.12	0.27	0.17	0.36
