SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0.12	0.21	0.17	0.36
1	1	0	0.12	0.21	0.17	0.36
2	1	0	0.12	0.21	0.17	0.36
3	1	0	0.12	0.21	0.17	0.36
4	1	0	0.12	0.21	0.17	0.36
5	1	0	0.12	0.21	0.17	0.36
6	1	0	0.12	0.21	0.17	0.36
7	1	0	0.12	0.21	0.17	0.36
8	1	0	0.12	0.21	0.17	0.36
9	1	0	0.12	0.21	0.17	0.36
10	1	0	0.12	0.21	0.17	0.36
11	1	0	0.12	0.21	0.17	0.36
12	1	0	0.12	0.21	0.17	0.36
13	1	0	0.12	0.21	0.17	0.36
14	1	0	0.12	0.21	0.17	0.36
15	1	0	0.12	0.21	0.17	0.36
16	1	0	0.12	0.21	0.17	0.36
17	1	0	0.12	0.21	0.17	0.36
18	1	0	0.12	0.21	0.17	0.36
19	1	0	0.12	0.21	0.17	0.36
20	1	0	0.12	0.21	0.17	0.36
21	1	0	0.12	0.21	0.17	0.36
22	1	0	0.12	0.21	0.17	0.36
23	1	0	0.12	0.21	0.17	0.36
24	1	0	0.12	0.21	0.17	0.36
25	1	0	0.12	0.21	0.17	0.36
26	1	0	0.12	0.21	0.17	0.36
27	1	0	0.12	0.21	0.17	0.36
28	1	0	0.12	0.21	0.17	0.36
29	1	0	0.12	0.21	0.17	0.36
30	1	0	0.12	0.21	0.17	0.36
31	1	0	0.12	0.21	0.17	0.36
32	1	0	0.12	0.21	0.17	0.36
33	1	0	0.12	0.21	0.17	0.36
34	1	0	0.12	0.21	0.17	0.36
35	1	0	0.12	0.21	0.17	0.36
36	1	0	0.12	0.21	0.17	0.36
37	1	0	0.12	0.21	0.17	0.36
38	1	0	0.12	0.21	0.17	0.36
39	1	0	0.12	0.21	0.17	0.36
40	1	0	0.12	0.21	0.17	0.36
41	1	0	0.12	0.21	0.17	0.36
42	1	0	0.12	0.21	0.17	0.36
43	1	0	0.12	0.21	0.17	0.36
44	1	0	0.12	0.21	0.17	0.36
45	1	0	0.12	0.21	0.17	0.36
46	1	0	0.12	0.21	0.17	0.36
47	1	0	0.12	0.21	0.17	0.36
48	1	0	0.12	0.21	0.17	0.36
49	1	0	0.12	0.21	0.17	0.36
50	1	0	0.12	0.21	0.17	0.36
51	1	0	0.12	0.21	0.17	0.36
52	1	0	0.12	0.21	0.17	0.36
53	1	0	0.12	0.21	0.17	0.36
54	1	0	0.12	0.21	0.17	0.36
55	1	0	0.12	0.21	0.17	0.36
56	1	0	0.12	0.21	0.17	0.36
57	1	0	0.12	0.21	0.17	0.36
58	1	0	0.12	0.21	0.17	0.36
59	1	0	0.12	0.21	0.17	0.36
60	1	0	0.12	0.21	0.17	0.36
61	1	0	0.12	0.21	0.17	0.36
62	1	0	0.12	0.21	0.17	0.36
63	1	0	0.12	0.21	0.17	0.36
64	1	0	0.12	0.21	0.17	0.36
65	1	0	0.12	0.21	0.17	0.36
66	1	0	0.12	0.21	0.17	0.36
67	1	0	0.12	0.21	0.17	0.36
68	1	0	0.12	0.21	0.17	0.36
69	1	0	0.12	0.21	0.17	0.36
70	1	0	0.12	0.21	0.17	0.36
71	1	0	0.12	0.21	0.17	0.36
72	1	0	0.12	0.21	0.17	0.36
73	1	0	0.12	0.21	0.17	0.36
74	1	0	0.12	0.21	0.17	0.36
75	1	0	0.12	0.21	0.17	0.36
76	1	0	0.12	0.21	0.17	0.36
77	1	0	0.12	0.21	0.17	0.36
78	1	0	0.12	0.21	0.17	0.36
79	1	0	0.12	0.21	0.17	0.36
80	1	0	0.12	0.21	0.17	0.36
81	1	0	0.12	0.21	0.17	0.36
82	1	0	0.12	0.21	0.17	0.36
83	1	0	0.12	0.21	0.17	0.36
84	1	0	0.12	0.21	0.17	0.36
85	1	0	0.12	0.21	0.17	0.36
86	1	0	0.12	0.21	0.17	0.36
87	1	0	0.12	0.21	0.17	0.36
88	1	0	0.12	0.21	0.17	0.36
89	1	0	0.12	0.21	0.17	0.36
90	1	0	0.12	0.21	0.17	0.36
91	1	0	0.12	0.21	0.17	0.36
92	1	0	0.12	0.21	0.17	0.36
93	1	0	0.12	0.21	0.17	0.36
94	1	0	0.12	0.21	0.17	0.36
95	1	0	0.12	0.21	0.17	0.36
96	1	0	0.12	0.21	0.17	0.36
97	1	0	0.12	0.21	0.17	0.36
98	1	0	0.12	0.21	0.17	0.36
99	1	0	0.12	0.21	0.17	0.36
100	1	0	0.12	0.21	0.17	0.36
101	1	0	0.12	0.21	0.17	0.36
