SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0.45	0.00015	0.31	0	1.4e-05	0	0.24	0.0017	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
1	0	0	0.76	0.012	0.042	0	0.057	5.2e-06	3.6e-05	0.12	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
2	0	0	8.2e-05	0	1	0	0.0032	0	0	0.00011	0	0	0	0	0	0	4	0.2	0.21	0.17	0.36
3	0	3.9e-05	0.63	0.036	0.0052	0	0.00087	0.00013	3.4e-06	0.33	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
4	0.00038	0	0.56	0.0007	0.4	0	0.029	0	0.0081	0.0032	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
5	0.0051	0	0.91	0	0.0077	0	0.0012	5.4e-06	0.024	0.049	2.6e-06	0	0	0	0	0	2	0.12	0.21	0.17	0.36
6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0.11	0
7	0.0009	0	0.65	0	0.00057	0	0.00071	0	0.0017	0.35	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
8	0	0.0079	0.9	0.02	0.013	0	0.00012	2.4e-05	0	0.058	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
9	0.27	0	0.38	3.2e-05	0.0065	0	0.0018	0.0043	0.053	0.28	0.0056	0	0	0	0	0	2	0.12	0.21	0.17	0.36
10	0	0	0.98	0.017	2.8e-05	0	0	0	0	0.0032	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
11	0.95	0	0.037	0	4.8e-05	0	8.1e-06	0.00024	0.0043	0.0033	0.0027	0	0	0	0	0	0	0.12	0.4	0.32	0.64
12	0	0	0.99	0.0041	0.00043	0	0.00016	0	0	0.00078	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
13	4.7e-05	0	0.86	0	0.028	0	0.0035	0	0.00034	0.1	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
14	8.4e-05	0	0.81	0	0.074	0	0.087	0	8.2e-06	0.025	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
15	0.0035	0	0.91	2.1e-05	0.032	0	0.0018	0.0014	4e-05	0.055	0.00082	0	0	0	0	0	2	0.12	0.21	0.17	0.36
16	6.3e-05	4.5e-05	0.59	0.0091	0.084	0	0.017	4e-05	0.00069	0.3	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
17	1.1e-05	0	0.67	0	0.24	0	0.023	0	9.4e-06	0.064	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
18	0	0	0.93	0	0.051	0	0.00058	0	0	0.019	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
19	0	0	0.95	0	0.019	0	0	0	0	0.036	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0.12	0	0.08
21	5.2e-05	0	0.98	0.0059	0.0036	0	0.0036	0.0001	0	0.0084	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
22	0	0.0032	0.98	0.0026	0.011	0	8.4e-05	1e-05	0	0.0072	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
23	0	0	0.38	0	0.61	0	0.00042	0	0	0.016	0	0	0	0	0	0	4	0.2	0.21	0.17	0.36
24	0	9.6e-06	0.93	0.0064	0.013	0	0.00075	0	5.3e-06	0.051	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
25	0	0	0.99	0.012	9.9e-06	0	0	0	0	0.0022	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
26	0	0	0.16	0	0.79	0	0.048	0	0	0.0023	0	0	6.5e-05	0	0	0	4	0.2	0.21	0.17	0.36
27	0	0	0.98	0.023	0	0	0	0	0	5.6e-05	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
28	0	0.00074	0.91	0.0093	0.057	0	0.00036	3.6e-06	0	0.025	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
29	0.022	0	0.73	0.021	0.05	0	0.0092	0.0011	0.009	0.16	0.00036	0	0	0	0	0	2	0.12	0.21	0.17	0.36
30	0.91	0	0.0086	0	0.011	0	0.03	0	0.0065	0.012	0	0	0.022	0	0	0.0004	0	0.12	0.4	0.32	0.64
31	0	0	0.92	0.051	3.4e-06	0	0	0	0	0.025	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
32	0	0	0.67	0	0.17	0	0.0077	0	6.5e-06	0.15	0	0	0.0004	0	0	0	2	0.12	0.21	0.17	0.36
33	5.5e-06	0	0.46	0	0.5	0	0.011	0	0	0.014	0	0	0.019	0	0	3.4e-05	4	0.2	0.21	0.17	0.36
34	0	0.00012	0.61	0.052	0.00019	0	6.5e-06	3.8e-05	2.5e-05	0.34	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
35	0	0	0.95	0.039	0	0	0	0	0	0.0088	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
36	0.059	0	0.38	0.0032	0.005	0	0.0013	0.027	0.16	0.37	0.00011	0	0	0	0	0	2	0.12	0.21	0.17	0.36
37	3.9e-05	0	0.9	0	0.051	0	0.0034	0	6.9e-06	0.035	0	0	0.0077	0	0	0.00039	2	0.12	0.21	0.17	0.36
38	0	0	0.99	0.004	0.0014	0	0.0024	1.3e-06	0	0.0047	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
39	6.2e-06	1.4e-05	0.74	0.021	0.0044	0	0.0015	2.6e-05	9.4e-05	0.23	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
40	0	0	1	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
41	2.6e-06	0	0.012	0	0.18	0	0.8	0	5.8e-06	0.0016	0	0	0.00026	0	0	0	6	0.2	0.34	0.17	0.42
42	0.41	0.00085	0.2	0.013	0.012	0	0.0088	0.14	0.003	0.15	0.068	0	0	0	0	0	0	0.12	0.4	0.32	0.64
43	0	0.0001	0.87	0.0026	0.095	0	0.0007	0	0	0.033	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
