SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0.2	0.8	0	0	0	0	0.0023	3.3e-05	0	2	0.12	0.21	0.17	0.36
1	0	0.035	0.78	0	0	0	0	0.18	0.011	0	2	0.12	0.21	0.17	0.36
2	0	3e-06	0.00033	0	0	0	0	1	0	0	7	0.2	0.27	0.17	0.39
3	0	0.026	0.9	0	1.1e-05	0	0	0.0093	0.067	0	2	0.12	0.21	0.17	0.36
4	0.0013	0.012	0.74	0	2.3e-05	0	0	0.25	0.00021	0	2	0.12	0.21	0.17	0.36
5	0.0024	0.018	0.97	0	0.00042	0	0	0.0056	1.2e-05	0	2	0.12	0.21	0.17	0.36
6	0	0	0	0	0	0.5	0.5	0	0	0	5	0	0	0.11	0
7	0.00022	0.15	0.85	0	1.5e-05	0	0	0.0023	0	0	2	0.12	0.21	0.17	0.36
8	0	0.0015	0.98	0	3e-06	0	0	0.0027	0.016	0	2	0.12	0.21	0.17	0.36
9	0.035	0.18	0.57	0	0.2	0	0	0.0081	0.0014	0	2	0.12	0.21	0.17	0.36
10	0	3.9e-05	1	0	0	0	0	3.1e-05	0.0018	0	2	0.12	0.21	0.17	0.36
11	0.39	0.004	0.2	0	0.4	0	0	0.00024	0	0	4	0.098	0.34	0.32	0.64
12	0	2.3e-05	1	0	0	0	0	0.00099	0.00024	0	2	0.12	0.21	0.17	0.36
13	1.1e-05	0.018	0.96	0	1.6e-05	0	0	0.018	0	0	2	0.12	0.21	0.17	0.36
14	3.1e-05	0.0015	0.93	0	0	0	0	0.066	0	0	2	0.12	0.21	0.17	0.36
15	0.00097	0.0048	0.98	0	0.0029	0	0	0.014	2.5e-05	0	2	0.12	0.21	0.17	0.36
16	4.3e-05	0.086	0.79	0	5.9e-05	0	0	0.1	0.026	0	2	0.12	0.21	0.17	0.36
17	1.5e-05	0.0058	0.8	0	0	0	0	0.19	0	0	2	0.12	0.21	0.17	0.36
18	0	0.00039	0.98	0	0	0	0	0.016	0	0	2	0.12	0.21	0.17	0.36
19	0	1.4e-05	1	0	0	0	0	0.00058	0	0	2	0.12	0.21	0.17	0.36
20	0	0	0	0	0	0	0	0	0	1	9	0	0.093	0	0.08
21	0	0.0024	0.99	0	7.7e-05	0	0	0.0099	0.0024	0	2	0.12	0.21	0.17	0.36
22	0	7.8e-05	1	0	0	0	0	0.0023	0.00071	0	2	0.12	0.21	0.17	0.36
23	0	8.4e-05	0.87	0	0	0	0	0.13	0	0	2	0.12	0.21	0.17	0.36
24	0	0.004	0.98	0	0	0	0	0.0079	0.0057	0	2	0.12	0.21	0.17	0.36
25	0	1.7e-05	1	0	0	0	0	4e-05	0.00075	0	2	0.12	0.21	0.17	0.36
26	0	0.00012	0.25	0	0	0	0	0.75	0	0	7	0.2	0.27	0.17	0.39
27	0	0	1	0	0	0	0	0	0.00013	0	2	0.12	0.21	0.17	0.36
28	0	0.00041	0.98	0	0	0	0	0.012	0.0046	0	2	0.12	0.21	0.17	0.36
29	0.0062	0.055	0.84	0	0.015	0	0	0.041	0.039	0	2	0.12	0.21	0.17	0.36
30	0.99	0.0039	0.0021	0	0	0	0	0.0073	0	0	0	0.2	0.4	0.32	0.64
31	0	0.00067	0.98	0	0	0	0	4.6e-06	0.019	0	2	0.12	0.21	0.17	0.36
32	0	0.01	0.87	0	0	0	0	0.12	0	0	2	0.12	0.21	0.17	0.36
33	3.5e-05	0.0008	0.77	0	0	0	0	0.23	0	0	2	0.12	0.21	0.17	0.36
34	0	0.03	0.81	0	7.8e-06	0	0	0.00012	0.16	0	2	0.12	0.21	0.17	0.36
35	0	0	1	0	0	0	0	0	0.004	0	2	0.12	0.21	0.17	0.36
36	0.001	0.8	0.14	0	0.04	0	0	0.00027	0.022	0	1	0.12	0.27	0.17	0.55
37	2.8e-05	0.0024	0.97	0	0	0	0	0.025	0	0	2	0.12	0.21	0.17	0.36
38	0	0.0013	0.99	0	0	0	0	0.0076	0.0009	0	2	0.12	0.21	0.17	0.36
39	0	0.045	0.9	0	1.4e-05	0	0	0.0076	0.043	0	2	0.12	0.21	0.17	0.36
40	0	0	1	0	0	0	0	0	0	0	2	0.12	0.21	0.17	0.36
41	0.00014	0.0008	0.012	0	0	0	0	0.99	0	0	7	0.2	0.27	0.17	0.39
42	0.099	0.083	0.22	0	0.53	0	0	0.019	0.044	0	4	0.098	0.34	0.32	0.64
