k	loglikelihood	observations	parameters	BIC
1	-32880.9	45608	8	65847.6
2	-24230.9	45608	12	48590.6
3	-24152.9	45608	16	48477.4
4	-24107.1	45608	20	48428.8
5	-24520.6	45608	24	49298.7
6	-21924.8	45608	28	44150.1
7	-21816.7	45608	32	43976.8
8	-21933.9	45608	36	44254
9	-21085.4	45608	40	42599.8
10	-20655.3	45608	44	41782.6
11	-21300.5	45608	48	43116
12	-21766.6	45608	52	44091
13	-20806.7	45608	56	42214.2
14	-20537.3	45608	60	41718.3
15	-22732	45608	64	46150.5
16	-19993.2	45608	68	40715.9
17	-20270.5	45608	72	41313.4
18	-20834.4	45608	76	42484.2
19	-21639	45608	80	44136.2
20	-20239.1	45608	84	41379.4
