SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3
0	2.4e-06	0	0	0.0002	0.56	0	2.5e-06	0	0	0	0.42	0	0	0	0	0.024	0	0	0	0	4	0.2	0.21	0.17	0.36
1	0.059	0	0.00062	0.032	0.087	0	0.014	0	4.1e-06	0	7.2e-05	0	0	0	0	0.81	0	0	2.8e-05	0	15	0.12	0.21	0.17	0.45
2	0.00039	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00027	4.2e-05	0	0	0	4	0.2	0.21	0.17	0.36
3	0.00021	0	0.0007	0.078	0.0054	0	0.0018	0	4.4e-05	0	3.4e-06	0	0	0	0	0.91	0	0	0.00058	0	15	0.12	0.21	0.17	0.45
4	0.13	0.0024	3.9e-06	0.0079	0.8	0	0.0017	0	0	0	0.016	9e-05	0	0	0	0.037	4.8e-05	0	1.2e-06	0	4	0.2	0.21	0.17	0.36
5	0.0053	0.014	0.00017	0	0.039	0	0	2.6e-05	6e-05	0	0.12	0	0	0	0	0.82	0	0	0	0	15	0.12	0.21	0.17	0.45
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	17	0	0	0.11	0
7	0.00028	0.00027	0.00014	0	0.00075	0	0	0	0	0	0.0022	0	0	0	0	1	0	0	0	0	15	0.12	0.21	0.17	0.45
8	0.00033	0	0.00027	0.45	0.035	0	0.0043	0	3.4e-05	0	2.1e-06	0	0	0	0	0.51	0	0	0.0037	0	15	0.12	0.21	0.17	0.45
9	0.0011	0.052	0.0021	1.6e-05	0.012	0	0	0.02	0.023	0.0004	0.092	0	0	0	0	0.8	1.8e-06	0	0	0	15	0.12	0.21	0.17	0.45
10	3.6e-06	0	0	0.95	2.3e-05	0	0.025	0	0	0	0	0	0	0	0	0.026	0	0	0	0	3	0.08	0.21	0.17	0.36
11	6.3e-05	0.81	0.011	0	0.00043	0	0	0.048	0.0065	2.6e-06	0.037	0	0	0	0	0.089	0	0	0	0	1	0.2	0.4	0.32	0.64
12	0.002	0	0.011	0.86	0.00081	0	0.11	0	0	0	0	0	0	0	0	0.018	0	0	0.0017	0	3	0.08	0.21	0.17	0.36
13	0.0077	4.2e-05	0.00016	0.14	0.093	0	0	6.7e-06	0	0	0.0011	0	0	0	0	0.76	1.9e-05	0	0	0	15	0.12	0.21	0.17	0.45
14	0.37	0.00011	0.062	0	0.23	0	0	0	0	8.7e-05	2.5e-05	0	0	0	0	0.33	0.00021	0	0	0	0	0.2	0.34	0.17	0.36
15	0.0061	0.0044	0.061	0.21	0.13	0	5.3e-05	0.0065	0.0041	0	0.00015	0	0	0	0	0.57	1.8e-05	0	0.0075	0	15	0.12	0.21	0.17	0.45
16	0.0094	5.9e-05	9.9e-05	0.024	0.12	0	0.0011	0	5.7e-05	0	0.00098	0	0	0	0	0.84	3.6e-05	0	2.7e-05	0	15	0.12	0.21	0.17	0.45
17	0.041	3.7e-05	0.0037	0	0.53	0	0	0	0	0	2e-05	0	0	0	0	0.43	0.002	0	0	0	4	0.2	0.21	0.17	0.36
18	0.0069	0	0.0011	0	0.36	0	0	0	0	0	0	0	0	0	0	0.63	1.9e-05	0	0	0	15	0.12	0.21	0.17	0.45
19	1.6e-06	0	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0.91	0	0	0	0	15	0.12	0.21	0.17	0.45
20	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00052	0	0	0	0	0	0	12	0	0.12	0	0.12
21	0.019	4.2e-06	0.049	0.78	0.009	0	0.049	8.1e-06	0.0001	0	6.2e-06	0	0	0	0	0.093	0	0	0.006	0	3	0.08	0.21	0.17	0.36
22	0.0013	0	0.027	0.49	0.075	0	0.0049	0	1.8e-05	0	0	0	0	0	0	0.29	0	0	0.11	0	3	0.08	0.21	0.17	0.36
23	0.00051	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	4	0.2	0.21	0.17	0.36
24	0.0027	0	3.1e-05	0.32	0.053	0	0.005	0	1.3e-06	0	2e-05	0	0	0	0	0.62	0	0	3.2e-05	0	15	0.12	0.21	0.17	0.45
25	4.6e-06	0	0	0.89	1.8e-05	0	0.057	0	0	0	0	0	0	0	0	0.056	0	0	0	0	3	0.08	0.21	0.17	0.36
26	0.11	0	0	0	0.88	0	0	0	0	0	0	0	0	0	3.5e-05	0.013	0.00027	0	0	0	4	0.2	0.21	0.17	0.36
27	0	0	0	1	0	0	0.001	0	0	0	0	0	0	0	0	0.00027	0	0	0	0	3	0.08	0.21	0.17	0.36
28	0.0022	0	0.00038	0.34	0.23	0	0.0051	0	5.4e-06	0	0	0	0	0	0	0.42	3.8e-06	0	0.0043	0	15	0.12	0.21	0.17	0.45
29	0.011	0.013	0.0015	0.2	0.096	0	0.006	0.0014	0.0034	2.2e-06	0.016	0.00068	0	0	0	0.65	3.7e-05	0	0.0011	0	15	0.12	0.21	0.17	0.45
30	0.0016	0.99	0.0017	0	0.0021	0	0	0	0	0.0032	0.0012	0	0	0	0.0019	0.0031	0.0003	0	0	0	1	0.2	0.4	0.32	0.64
31	0	0	0	0.94	0	0	0.0066	0	0	0	0	0	0	0	0	0.055	0	0	0	0	3	0.08	0.21	0.17	0.36
32	0.0068	0	0.00015	0	0.31	0	0	0	0	6.7e-06	1.1e-05	0	0	0	0.00015	0.69	0	0	0	0	15	0.12	0.21	0.17	0.45
33	0.031	4.8e-05	0.00088	0	0.87	0	0	0	0	0.0017	1.2e-06	0	0	0	0.0085	0.09	0.00058	0	0	0	4	0.2	0.21	0.17	0.36
34	0	0	3.8e-06	0.43	0.00016	0	0.00099	0	2.4e-05	0	2.1e-05	0	0	0	0	0.56	0	0	3.8e-05	0	15	0.12	0.21	0.17	0.45
35	0	0	0	0.79	0	0	0.00019	0	0	0	0	0	0	0	0	0.21	0	0	0	0	3	0.08	0.21	0.17	0.36
