SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1	dcf2	dcf3
0	0.0058	0.25	0	0	0.25	0.5	0	0	5	0.2	0.21	0.17	0.36
1	0.37	0.29	0.00021	0	0.29	0.048	0	0	0	0.12	0.27	0.17	0.48
2	7.8e-06	2.7e-05	0	0	2.7e-05	1	0	0	5	0.2	0.21	0.17	0.36
3	0.27	0.35	0.03	0	0.35	0.0086	2.5e-06	0	4	0.12	0.21	0.17	0.36
4	0.01	0.24	3.5e-05	0	0.24	0.52	0.00044	0	5	0.2	0.21	0.17	0.36
5	0.057	0.46	0	0	0.46	0.012	0.0071	0	4	0.12	0.21	0.17	0.36
6	0	0	0	0	0	0	0	1	7	0	0	0.11	0
7	0.55	0.23	0	0	0.23	0.0006	0.00087	0	0	0.12	0.27	0.17	0.48
8	0.016	0.46	0.051	0	0.46	0.02	0	0	4	0.12	0.21	0.17	0.36
9	0.22	0.2	1e-05	0	0.2	0.01	0.38	0	6	0.12	0.4	0.32	0.64
10	0.003	0.2	0.59	0	0.2	1.8e-05	0	0	2	0.053	0.21	0.17	0.36
11	0.0029	0.014	0	0	0.014	5.3e-05	0.97	0	6	0.12	0.4	0.32	0.64
12	0.0041	0.35	0.29	0	0.35	0.00047	0	0	4	0.12	0.21	0.17	0.36
13	0.073	0.44	0.013	0	0.44	0.043	6.5e-05	0	4	0.12	0.21	0.17	0.36
14	0.032	0.43	0	0	0.43	0.12	0.00012	0	4	0.12	0.21	0.17	0.36
15	0.029	0.45	0.017	0	0.45	0.048	0.0048	0	4	0.12	0.21	0.17	0.36
16	0.25	0.31	0.002	0	0.31	0.13	9.1e-05	0	4	0.12	0.21	0.17	0.36
17	0.05	0.31	0	0	0.31	0.33	1.4e-05	0	5	0.2	0.21	0.17	0.36
18	0.0098	0.46	0	0	0.46	0.076	0	0	4	0.12	0.21	0.17	0.36
19	0.0012	0.48	0	0	0.48	0.029	0	0	4	0.12	0.21	0.17	0.36
20	0	0	0.00034	1	0	0	0	0	3	0.027	0.07	0.17	0.04
21	0.039	0.4	0.16	0	0.4	0.0044	5.9e-05	0	4	0.12	0.21	0.17	0.36
22	0.003	0.49	0.0097	0	0.49	0.016	0	0	4	0.12	0.21	0.17	0.36
23	0.0014	0.15	0	0	0.15	0.71	0	0	5	0.2	0.21	0.17	0.36
