SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	1	0	2	0.12	0.21	0.17	0.36
1	8.8e-05	0	1	0	2	0.12	0.21	0.17	0.36
2	0	0	1	0	2	0.12	0.21	0.17	0.36
3	0.00047	0	1	0	2	0.12	0.21	0.17	0.36
4	0.00019	0	1	0	2	0.12	0.21	0.17	0.36
5	0.00093	0	1	0	2	0.12	0.21	0.17	0.36
6	0	0	0	1	3	0	0.047	0.076	0.04
7	0.00027	0	1	0	2	0.12	0.21	0.17	0.36
8	2.4e-05	0	1	0	2	0.12	0.21	0.17	0.36
9	0.16	0	0.84	0	2	0.12	0.21	0.17	0.36
10	0	0	1	0	2	0.12	0.21	0.17	0.36
11	0.6	0	0.4	0	0	0.12	0.34	0.32	0.58
12	0	0	1	0	2	0.12	0.21	0.17	0.36
13	0.00013	0	1	0	2	0.12	0.21	0.17	0.36
14	0.0008	0	1	0	2	0.12	0.21	0.17	0.36
15	0.015	0	0.99	0	2	0.12	0.21	0.17	0.36
16	0.00067	0	1	0	2	0.12	0.21	0.17	0.36
17	0.00066	0	1	0	2	0.12	0.21	0.17	0.36
18	3.6e-06	0	1	0	2	0.12	0.21	0.17	0.36
19	0	0	1	0	2	0.12	0.21	0.17	0.36
20	0	0	0	1	3	0	0.047	0.076	0.04
21	0.00073	0	1	0	2	0.12	0.21	0.17	0.36
22	2.8e-05	0	1	0	2	0.12	0.21	0.17	0.36
23	0	0	1	0	2	0.12	0.21	0.17	0.36
24	2.6e-06	0	1	0	2	0.12	0.21	0.17	0.36
25	0	0	1	0	2	0.12	0.21	0.17	0.36
26	0	0	1	0	2	0.12	0.21	0.17	0.36
27	0	0	1	0	2	0.12	0.21	0.17	0.36
28	4.5e-06	0	1	0	2	0.12	0.21	0.17	0.36
29	0.013	0	0.99	0	2	0.12	0.21	0.17	0.36
30	0.98	0	0.018	0	0	0.12	0.34	0.32	0.58
31	0	0	1	0	2	0.12	0.21	0.17	0.36
32	6.9e-05	0	1	0	2	0.12	0.21	0.17	0.36
33	9.6e-05	0	1	0	2	0.12	0.21	0.17	0.36
34	3.1e-05	0	1	0	2	0.12	0.21	0.17	0.36
35	0	0	1	0	2	0.12	0.21	0.17	0.36
36	0.35	0	0.65	0	2	0.12	0.21	0.17	0.36
37	0.00076	0	1	0	2	0.12	0.21	0.17	0.36
38	1.8e-05	0	1	0	2	0.12	0.21	0.17	0.36
39	0.00016	0	1	0	2	0.12	0.21	0.17	0.36
40	0	0	1	0	2	0.12	0.21	0.17	0.36
41	0.0029	0	1	0	2	0.12	0.21	0.17	0.36
42	0.78	0	0.22	0	0	0.12	0.34	0.32	0.58
43	0	0	1	0	2	0.12	0.21	0.17	0.36
44	9.1e-06	0	1	0	2	0.12	0.21	0.17	0.36
45	0.00056	0	1	0	2	0.12	0.21	0.17	0.36
46	0	0	1	0	2	0.12	0.21	0.17	0.36
47	0.052	0	0.95	0	2	0.12	0.21	0.17	0.36
48	0	0	1	0	2	0.12	0.21	0.17	0.36
49	0.00061	0	1	0	2	0.12	0.21	0.17	0.36
50	0	0	1	0	2	0.12	0.21	0.17	0.36
51	0	0	1	0	2	0.12	0.21	0.17	0.36
52	0	0	1	0	2	0.12	0.21	0.17	0.36
53	0	0	1	0	2	0.12	0.21	0.17	0.36
54	0	0	1	0	2	0.12	0.21	0.17	0.36
55	0	0	1	0	2	0.12	0.21	0.17	0.36
56	0	0	1	0	2	0.12	0.21	0.17	0.36
57	0	0	1	0	2	0.12	0.21	0.17	0.36
58	0.00045	0	1	0	2	0.12	0.21	0.17	0.36
59	0	0	1	0	2	0.12	0.21	0.17	0.36
60	4e-05	0	1	0	2	0.12	0.21	0.17	0.36
61	0	0	0	1	3	0	0.047	0.076	0.04
62	0	0	1	0	2	0.12	0.21	0.17	0.36
63	0	0	1	0	2	0.12	0.21	0.17	0.36
64	0	0	1	0	2	0.12	0.21	0.17	0.36
65	0	0	1	0	2	0.12	0.21	0.17	0.36
66	0	0	1	0	2	0.12	0.21	0.17	0.36
67	0.18	0	0.82	0	2	0.12	0.21	0.17	0.36
68	0.017	0	0.98	0	2	0.12	0.21	0.17	0.36
69	0.00011	0	1	0	2	0.12	0.21	0.17	0.36
70	2.8e-06	0	1	0	2	0.12	0.21	0.17	0.36
71	0	0	1	0	2	0.12	0.21	0.17	0.36
72	0	0	1	0	2	0.12	0.21	0.17	0.36
73	0	0	1	0	2	0.12	0.21	0.17	0.36
74	0	0	1	0	2	0.12	0.21	0.17	0.36
75	0	0	1	0	2	0.12	0.21	0.17	0.36
76	0	0	1	0	2	0.12	0.21	0.17	0.36
77	0	0	0	1	3	0	0.047	0.076	0.04
78	0.0022	0	1	0	2	0.12	0.21	0.17	0.36
79	0	0	1	0	2	0.12	0.21	0.17	0.36
80	0	0	1	0	2	0.12	0.21	0.17	0.36
81	0.013	0	0.99	0	2	0.12	0.21	0.17	0.36
82	0	0	1	0	2	0.12	0.21	0.17	0.36
83	0	0	0	1	3	0	0.047	0.076	0.04
84	0.0031	0	1	0	2	0.12	0.21	0.17	0.36
85	0.47	0	0.53	0	2	0.12	0.21	0.17	0.36
86	0	0	1	0	2	0.12	0.21	0.17	0.36
87	0	0	1	0	2	0.12	0.21	0.17	0.36
88	4.4e-06	0	1	0	2	0.12	0.21	0.17	0.36
89	9.5e-05	0	1	0	2	0.12	0.21	0.17	0.36
90	0	0	0	1	3	0	0.047	0.076	0.04
91	0	0	1	0	2	0.12	0.21	0.17	0.36
92	0	0	0	1	3	0	0.047	0.076	0.04
93	0	0	1	0	2	0.12	0.21	0.17	0.36
94	0	0	1	0	2	0.12	0.21	0.17	0.36
95	0	0	1	0	2	0.12	0.21	0.17	0.36
96	0	0	1	0	2	0.12	0.21	0.17	0.36
97	0	0	1	0	2	0.12	0.21	0.17	0.36
98	0.28	0	0.72	0	2	0.12	0.21	0.17	0.36
99	0	0	1	0	2	0.12	0.21	0.17	0.36
100	0.06	0	0.94	0	2	0.12	0.21	0.17	0.36
101	0.0001	0	1	0	2	0.12	0.21	0.17	0.36
102	0	0	0	1	3	0	0.047	0.076	0.04
103	0	0	1	0	2	0.12	0.21	0.17	0.36
104	0	0	1	0	2	0.12	0.21	0.17	0.36
105	0.027	0	0.97	0	2	0.12	0.21	0.17	0.36
106	6.5e-06	0	1	0	2	0.12	0.21	0.17	0.36
107	0	0	1	0	2	0.12	0.21	0.17	0.36
108	0	0.77	0	0.23	1	0.12	0.07	0	0.36
109	4.2e-05	0	1	0	2	0.12	0.21	0.17	0.36
110	0.027	0	0.97	0	2	0.12	0.21	0.17	0.36
111	0	0	1	0	2	0.12	0.21	0.17	0.36
112	0	0	1	0	2	0.12	0.21	0.17	0.36
113	0	0	1	0	2	0.12	0.21	0.17	0.36
114	0.0012	0	1	0	2	0.12	0.21	0.17	0.36
115	0.00028	0	1	0	2	0.12	0.21	0.17	0.36
116	0.0015	0	1	0	2	0.12	0.21	0.17	0.36
117	0	0	1	0	2	0.12	0.21	0.17	0.36
118	0.01	0	0.99	0	2	0.12	0.21	0.17	0.36
119	0	0	0	1	3	0	0.047	0.076	0.04
120	0.0013	0	1	0	2	0.12	0.21	0.17	0.36
121	0	1	0	0	1	0.12	0.07	0	0.36
122	0	0	1	0	2	0.12	0.21	0.17	0.36
123	0	0	1	0	2	0.12	0.21	0.17	0.36
124	0	0	1	0	2	0.12	0.21	0.17	0.36
125	0.0091	0	0.99	0	2	0.12	0.21	0.17	0.36
126	0	0	1	0	2	0.12	0.21	0.17	0.36
127	0	0	0	1	3	0	0.047	0.076	0.04
128	1.5e-05	0	1	0	2	0.12	0.21	0.17	0.36
129	0.011	0	0.99	0	2	0.12	0.21	0.17	0.36
130	0.00049	0	1	0	2	0.12	0.21	0.17	0.36
131	0.00023	0	1	0	2	0.12	0.21	0.17	0.36
132	0.11	0	0.89	0	2	0.12	0.21	0.17	0.36
133	6.9e-06	0	1	0	2	0.12	0.21	0.17	0.36
134	0.89	0	0.11	0	0	0.12	0.34	0.32	0.58
135	0.0061	0	0.99	0	2	0.12	0.21	0.17	0.36
136	0	0	1	0	2	0.12	0.21	0.17	0.36
137	0.00058	0	1	0	2	0.12	0.21	0.17	0.36
138	0	0	1	0	2	0.12	0.21	0.17	0.36
139	0	0	1	0	2	0.12	0.21	0.17	0.36
140	0.022	0	0.98	0	2	0.12	0.21	0.17	0.36
141	1.5e-05	0	1	0	2	0.12	0.21	0.17	0.36
142	0	0	1	0	2	0.12	0.21	0.17	0.36
143	0	0	1	0	2	0.12	0.21	0.17	0.36
144	0.49	0	0.51	0	2	0.12	0.21	0.17	0.36
145	0	0	1	0	2	0.12	0.21	0.17	0.36
146	0.25	0	0.75	0	2	0.12	0.21	0.17	0.36
147	0	1	0	0	1	0.12	0.07	0	0.36
148	0	0	1	0	2	0.12	0.21	0.17	0.36
149	0	0	0	1	3	0	0.047	0.076	0.04
150	3.9e-06	0	1	0	2	0.12	0.21	0.17	0.36
151	0.0055	0	0.99	0	2	0.12	0.21	0.17	0.36
152	0	0	1	0	2	0.12	0.21	0.17	0.36
153	0.09	0	0.91	0	2	0.12	0.21	0.17	0.36
154	0	0	1	0	2	0.12	0.21	0.17	0.36
155	0	0	1	0	2	0.12	0.21	0.17	0.36
156	4.8e-05	0	1	0	2	0.12	0.21	0.17	0.36
157	0	1	0	0	1	0.12	0.07	0	0.36
158	0	0	1	0	2	0.12	0.21	0.17	0.36
159	0	0	1	0	2	0.12	0.21	0.17	0.36
160	0	0	1	0	2	0.12	0.21	0.17	0.36
161	0.00028	0	1	0	2	0.12	0.21	0.17	0.36
162	0.02	0	0.98	0	2	0.12	0.21	0.17	0.36
163	0.0032	0	1	0	2	0.12	0.21	0.17	0.36
164	0.19	0	0.81	0	2	0.12	0.21	0.17	0.36
165	0.025	0	0.97	0	2	0.12	0.21	0.17	0.36
166	0	0	1	0	2	0.12	0.21	0.17	0.36
167	0.01	0	0.99	0	2	0.12	0.21	0.17	0.36
168	0.61	0	0.39	0	0	0.12	0.34	0.32	0.58
169	0	1	0	0	1	0.12	0.07	0	0.36
170	0	0	1	0	2	0.12	0.21	0.17	0.36
171	0	0	1	0	2	0.12	0.21	0.17	0.36
172	0	0	1	0	2	0.12	0.21	0.17	0.36
173	0	0	1	0	2	0.12	0.21	0.17	0.36
174	0.063	0	0.94	0	2	0.12	0.21	0.17	0.36
175	0	0	0	1	3	0	0.047	0.076	0.04
176	0	1	0	0	1	0.12	0.07	0	0.36
177	1e-05	0	1	0	2	0.12	0.21	0.17	0.36
178	1	0	0.002	0	0	0.12	0.34	0.32	0.58
179	0.0015	0	1	0	2	0.12	0.21	0.17	0.36
180	0.057	0	0.94	0	2	0.12	0.21	0.17	0.36
181	0.0095	0	0.99	0	2	0.12	0.21	0.17	0.36
182	0.00018	0	1	0	2	0.12	0.21	0.17	0.36
183	0.31	0	0.69	0	2	0.12	0.21	0.17	0.36
184	1.3e-05	0	1	0	2	0.12	0.21	0.17	0.36
185	0.14	0	0.86	0	2	0.12	0.21	0.17	0.36
186	3.2e-06	0	1	0	2	0.12	0.21	0.17	0.36
187	0.058	0	0.94	0	2	0.12	0.21	0.17	0.36
