SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	1	0	2	0.43	0.44	1	0.37	0.35
1	0	0	1	0	2	0.43	0.44	1	0.37	0.35
2	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
3	0	0	1	0	2	0.43	0.44	1	0.37	0.35
4	1	0	0	0	0	0.43	0.36	0.72	0.4	0.35
5	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
6	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
7	0	0	1	0	2	0.43	0.44	1	0.37	0.35
8	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
9	0	0	0	1	3	0	0.036	0.16	0	0
10	1	0	0.0047	0	0	0.43	0.36	0.72	0.4	0.35
11	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
12	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
13	1	0	5.7e-05	0	0	0.43	0.36	0.72	0.4	0.35
14	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
15	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
16	0	0	1	0	2	0.43	0.44	1	0.37	0.35
17	0	0	1	0	2	0.43	0.44	1	0.37	0.35
18	0	0	1	0	2	0.43	0.44	1	0.37	0.35
19	0.99	0	0.0087	0	0	0.43	0.36	0.72	0.4	0.35
20	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
21	1	0	0.00023	0	0	0.43	0.36	0.72	0.4	0.35
22	1	0	0	0	0	0.43	0.36	0.72	0.4	0.35
23	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
24	0.92	0	0.083	0	0	0.43	0.36	0.72	0.4	0.35
25	1	0	0	0	0	0.43	0.36	0.72	0.4	0.35
26	0.97	0	0.03	0	0	0.43	0.36	0.72	0.4	0.35
27	0	5.6e-05	0	1	3	0	0.036	0.16	0	0
28	0.99	0	0.0056	0	0	0.43	0.36	0.72	0.4	0.35
29	0.93	0	0.068	0	0	0.43	0.36	0.72	0.4	0.35
30	1	0	0.00039	0	0	0.43	0.36	0.72	0.4	0.35
31	0	0	1	0	2	0.43	0.44	1	0.37	0.35
32	1	0	8e-05	0	0	0.43	0.36	0.72	0.4	0.35
33	1	0	0	0	0	0.43	0.36	0.72	0.4	0.35
34	0	0	1	0	2	0.43	0.44	1	0.37	0.35
35	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
36	0	1	0	0	1	0.14	0.071	0.16	0.082	0.069
37	1	0	0	0	0	0.43	0.36	0.72	0.4	0.35
38	0.038	0	0.96	0	2	0.43	0.44	1	0.37	0.35
