k	loglikelihood	observations	parameters	BIC
1	-85102.6	46125	10	170313
2	-41850	46125	15	83861.2
3	-40481.8	46125	20	81178.4
4	-38255.3	46125	25	76779.2
5	-34648.1	46125	30	69618.5
6	-34778.9	46125	35	69933.7
7	-33007.4	46125	40	66444.4
8	-32412.1	46125	45	65307.4
9	-33016.9	46125	50	66570.8
10	-28217.4	46125	55	57025.4
11	-29906.7	46125	60	60457.8
12	-31265.5	46125	65	63229
13	-30216.3	46125	70	61184.3
14	-26284.5	46125	75	53374.4
15	-27903.8	46125	80	56666.7
16	-26210.9	46125	85	53334.6
17	-26310.5	46125	90	53587.6
18	-30197.9	46125	95	61416.1
19	-25206.3	46125	100	51486.4
20	-28959	46125	105	59045.7
