SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	1	0	1	0.45	0.36	0.81	0.37	0.31
1	0	1	0	1	0.45	0.36	0.81	0.37	0.31
2	1	0	0	0	0.091	0.071	0.19	0.041	0.034
3	0	1	0	1	0.45	0.36	0.81	0.37	0.31
4	0	0.018	0.98	2	0.41	0.36	0.72	0.43	0.35
5	1	0	0	0	0.091	0.071	0.19	0.041	0.034
6	1	0	0	0	0.091	0.071	0.19	0.041	0.034
7	0	1	0	1	0.45	0.36	0.81	0.37	0.31
8	1	0	0	0	0.091	0.071	0.19	0.041	0.034
9	1	0	0	0	0.091	0.071	0.19	0.041	0.034
10	0	0.68	0.32	1	0.45	0.36	0.81	0.37	0.31
11	1	0	0	0	0.091	0.071	0.19	0.041	0.034
12	1	0	0	0	0.091	0.071	0.19	0.041	0.034
13	0	0.0044	1	2	0.41	0.36	0.72	0.43	0.35
14	1	0	0	0	0.091	0.071	0.19	0.041	0.034
15	1	0	4.6e-06	0	0.091	0.071	0.19	0.041	0.034
16	0	1	0	1	0.45	0.36	0.81	0.37	0.31
17	0	1	8.1e-05	1	0.45	0.36	0.81	0.37	0.31
18	0	1	0	1	0.45	0.36	0.81	0.37	0.31
19	0	0.9	0.1	1	0.45	0.36	0.81	0.37	0.31
20	1	0	0	0	0.091	0.071	0.19	0.041	0.034
21	0	0.63	0.37	1	0.45	0.36	0.81	0.37	0.31
22	0	0.0086	0.99	2	0.41	0.36	0.72	0.43	0.35
23	1	0	0	0	0.091	0.071	0.19	0.041	0.034
24	0	0.52	0.48	1	0.45	0.36	0.81	0.37	0.31
25	0	0.96	0.044	1	0.45	0.36	0.81	0.37	0.31
26	0	0.0018	1	2	0.41	0.36	0.72	0.43	0.35
27	1	0	0	0	0.091	0.071	0.19	0.041	0.034
28	0	1	3.5e-06	1	0.45	0.36	0.81	0.37	0.31
29	0	0.00029	1	2	0.41	0.36	0.72	0.43	0.35
30	0	0	1	2	0.41	0.36	0.72	0.43	0.35
31	0	1	0	1	0.45	0.36	0.81	0.37	0.31
32	0	0.19	0.81	2	0.41	0.36	0.72	0.43	0.35
33	0	0.89	0.11	1	0.45	0.36	0.81	0.37	0.31
34	0	0	1	2	0.41	0.36	0.72	0.43	0.35
35	1	0	0	0	0.091	0.071	0.19	0.041	0.034
36	1	0	0	0	0.091	0.071	0.19	0.041	0.034
37	0	0.0015	1	2	0.41	0.36	0.72	0.43	0.35
38	0	0	1	2	0.41	0.36	0.72	0.43	0.35
39	0	0.00046	1	2	0.41	0.36	0.72	0.43	0.35
