SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
1	0.69	0	0	0	0.027	0.28	0	0.43	0.36	0.75	0.4	0.35
2	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
3	1	0	0	0	0	4.2e-06	0	0.43	0.36	0.75	0.4	0.35
4	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
5	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
6	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
7	0.88	0	0	0	0.00044	0.12	0	0.43	0.36	0.75	0.4	0.35
8	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
9	0	0	0	1	0	0	3	0	0.036	0.16	0	0
10	0.99	0	0	0	8.4e-05	0.0049	0	0.43	0.36	0.75	0.4	0.35
11	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
12	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
13	0.96	0	0	0	0.037	0.00023	0	0.43	0.36	0.75	0.4	0.35
14	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
15	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
16	0	0	0	0	0	1	5	0.43	0.44	1	0.37	0.31
17	0	0	0	0	0	1	5	0.43	0.44	1	0.37	0.31
18	0	0	0	0	0	1	5	0.43	0.44	1	0.37	0.31
19	0.98	0	0	0	0	0.016	0	0.43	0.36	0.75	0.4	0.35
20	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
21	1	0	0	0	0	9.2e-05	0	0.43	0.36	0.75	0.4	0.35
22	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
23	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
24	0.93	0	0	0	0.00044	0.071	0	0.43	0.36	0.75	0.4	0.35
25	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
26	0.0042	0	0	0	1	7.1e-05	4	0.41	0.52	1	0.57	0.61
27	0	0	0.018	0.98	0	0	3	0	0.036	0.16	0	0
28	0.8	0	0	0	0	0.2	0	0.43	0.36	0.75	0.4	0.35
29	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
30	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
31	0.98	0	0	0	0	0.024	0	0.43	0.36	0.75	0.4	0.35
32	1	0	0	0	3.6e-05	3.1e-05	0	0.43	0.36	0.75	0.4	0.35
33	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
34	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
35	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
36	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
37	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
38	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
39	5.4e-06	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
40	0.97	0	0	0	0	0.034	0	0.43	0.36	0.75	0.4	0.35
41	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
42	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
43	0.94	0	0	0	0.00097	0.064	0	0.43	0.36	0.75	0.4	0.35
44	4.7e-05	0	0	0	1	3.1e-05	4	0.41	0.52	1	0.57	0.61
45	0.0018	0	0	0	1	0.0009	4	0.41	0.52	1	0.57	0.61
46	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
47	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
48	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
49	1	0	0	0	0	1.5e-05	0	0.43	0.36	0.75	0.4	0.35
50	0	0	0	1	0	0	3	0	0.036	0.16	0	0
51	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
52	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
53	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
54	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
55	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
56	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
57	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
58	0	0	0	1	0	0	3	0	0.036	0.16	0	0
59	8.4e-06	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
60	1	0	0	0	3.8e-06	0	0	0.43	0.36	0.75	0.4	0.35
61	1	0	0	0	2.7e-06	0	0	0.43	0.36	0.75	0.4	0.35
62	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
63	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
64	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
65	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
66	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
67	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
68	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
69	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
70	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
71	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
72	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
73	0.13	0	0	0	0.86	0.0072	4	0.41	0.52	1	0.57	0.61
74	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
75	0	0	1	0	0	0	2	0.046	0.071	0.25	0.12	0.1
76	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
77	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
78	0.001	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
79	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
80	0.66	0	0	0	0.00013	0.34	0	0.43	0.36	0.75	0.4	0.35
81	5.2e-06	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
82	0.99	0	0	0	0	0.011	0	0.43	0.36	0.75	0.4	0.35
83	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
84	0.2	0	6.3e-06	0	0	0.8	5	0.43	0.44	1	0.37	0.31
85	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
86	0	1	0	0	0	0	1	0.41	0.071	0.062	0	0
87	7.8e-05	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
88	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
89	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
90	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
91	0.0009	0	0	0	1	6.9e-05	4	0.41	0.52	1	0.57	0.61
92	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
93	0	0	0	0	1	0	4	0.41	0.52	1	0.57	0.61
94	1	0	0	0	0	0	0	0.43	0.36	0.75	0.4	0.35
