SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0	0	0	0	0	0	0	0	1	0	0	8	0.41	0.4	0.81	0.37	0.31
1	0	0	0.027	0	0	0	0	0	0.75	0.22	0	8	0.41	0.4	0.81	0.37	0.31
2	0	0	0	0	1	0	0	0	0	0	0	4	0.091	0.11	0.28	0.041	0.034
3	0	0	0	0	0	0	0	0	1	6.4e-06	0	8	0.41	0.4	0.81	0.37	0.31
4	0.0019	0	0	0.0019	0	0	0	0	0	1	0	9	0.51	0.4	0.75	0.4	0.44
5	0	0	0	0	0	0	1	0	0	0	0	6	0.41	0.36	0.75	0.07	0.077
6	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0.29	0.21
7	0	0	0.0017	0	0	0	0	0	1	0.0012	0	8	0.41	0.4	0.81	0.37	0.31
8	0	0	0	0	1	0	0	0	0	0	0	4	0.091	0.11	0.28	0.041	0.034
9	0	0	0	0	0	1	0	0	0	0	0.0043	5	0.14	0.036	0	0.041	0
10	0.48	0	0.0013	0.48	0	0	0	0	0.039	0.0031	0	3	0.41	0.32	0.72	0.37	0.31
11	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0.031	0	0.1
12	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0.031	0	0.1
13	0.5	0	5.4e-05	0.5	0	0	0	0	0.0024	0.00012	0	3	0.41	0.32	0.72	0.37	0.31
14	0	0	0	0	1	0	0	0	0	0	0	4	0.091	0.11	0.28	0.041	0.034
15	0.5	0	0	0.5	0	0	0	0	0	0	0	3	0.41	0.32	0.72	0.37	0.31
16	0	0	1	0	0	0	0	0	0	0	0	2	0.41	0.48	1	0.37	0.31
17	0	0	1	0	0	0	0	0	0	0	0	2	0.41	0.48	1	0.37	0.31
18	0	0	1	0	0	0	0	0	0	0	0	2	0.41	0.48	1	0.37	0.31
19	0.45	0	0.00025	0.45	0	0	0	0	0.099	2.1e-05	0	3	0.41	0.32	0.72	0.37	0.31
20	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0.29	0.21
21	0.48	0	1.7e-06	0.48	0	0	0	0	0.03	0.00062	0	3	0.41	0.32	0.72	0.37	0.31
22	0.5	0	0	0.5	0	0	0	0	0.00032	3.9e-05	0	3	0.41	0.32	0.72	0.37	0.31
23	0	0	0	0	0	1	0	0	0	0	0	5	0.14	0.036	0	0.041	0
24	0.13	0	0.047	0.13	0	0	0	0	0.22	0.47	0	9	0.51	0.4	0.75	0.4	0.44
25	0.5	0	0	0.5	0	0	0	0	0.00043	0	0	3	0.41	0.32	0.72	0.37	0.31
26	0.13	0	0.14	0.13	0	0	0	0	0.54	0.059	0	8	0.41	0.4	0.81	0.37	0.31
27	0	0	0	0	0.044	0	0	0	0	0	0.96	10	0	0.071	0.22	0	0
28	0.5	0	0	0.5	0	0	0	0	0.0093	2.3e-05	0	3	0.41	0.32	0.72	0.37	0.31
29	2.2e-05	0	0	2.2e-05	0	0	0	0	0	1	0	9	0.51	0.4	0.75	0.4	0.44
