SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	1	0	0	0	0.23	0.14	0.13
1	1	0	0	0	0.23	0.14	0.13
2	0	0	1	2	0	0.12	0.072
3	1	0	0	0	0.23	0.14	0.13
4	1	0	0	0	0.23	0.14	0.13
5	1	0	0	0	0.23	0.14	0.13
6	0	1	0	1	0.15	0	0.029
7	1	0	0	0	0.23	0.14	0.13
8	1	0	0	0	0.23	0.14	0.13
9	1	0	0	0	0.23	0.14	0.13
10	1	0	0	0	0.23	0.14	0.13
11	1	0	0	0	0.23	0.14	0.13
12	1	0	0	0	0.23	0.14	0.13
13	1	0	0	0	0.23	0.14	0.13
14	1	0	0	0	0.23	0.14	0.13
15	1	0	0	0	0.23	0.14	0.13
16	1	0	0	0	0.23	0.14	0.13
17	1	0	0	0	0.23	0.14	0.13
18	1	0	0	0	0.23	0.14	0.13
19	0.94	0	0.059	0	0.23	0.14	0.13
20	1	0	0	0	0.23	0.14	0.13
21	1	0	0	0	0.23	0.14	0.13
22	1	0	0	0	0.23	0.14	0.13
23	1	0	0	0	0.23	0.14	0.13
24	0	1	0	1	0.15	0	0.029
25	1	0	0	0	0.23	0.14	0.13
26	1	0	0	0	0.23	0.14	0.13
27	1	0	0	0	0.23	0.14	0.13
28	1	0	0	0	0.23	0.14	0.13
29	0.0032	1	0	1	0.15	0	0.029
30	1	0	0	0	0.23	0.14	0.13
31	1	0	0	0	0.23	0.14	0.13
32	1	0	0	0	0.23	0.14	0.13
33	1	0	0	0	0.23	0.14	0.13
34	1	0	0	0	0.23	0.14	0.13
35	1	0	0	0	0.23	0.14	0.13
36	1	0	0	0	0.23	0.14	0.13
37	1	0	0	0	0.23	0.14	0.13
38	0	0.00078	1	2	0	0.12	0.072
39	1	0	0	0	0.23	0.14	0.13
40	1	0	0	0	0.23	0.14	0.13
41	0.95	4.9e-06	0.054	0	0.23	0.14	0.13
42	1	0	0	0	0.23	0.14	0.13
