SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0.97	0.00049	0	0	0.00069	0	0.0021	2.1e-06	0	0.00079	0	0	0	0.0014	8.3e-05	0	0	0.01	0.015	0	0	0.41	0.3	0.21
1	0.00013	0.0032	0	0.00098	0.0045	8.4e-05	3.4e-05	0.26	0	4.5e-06	0	0.32	0	2.2e-06	0.14	0	0	0.27	0.00071	0	11	0.35	0.14	0.21
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0.12	0.072
3	0.023	0.2	0	0	0.28	0.0023	0.00068	0.0023	0	0.00034	0	0.45	0	2.1e-06	0.0073	0	0	0.04	7.5e-05	0	11	0.35	0.14	0.21
4	0	6.7e-05	0	1.6e-05	9.4e-05	0	0	0.57	0	0	0	0.036	0	0	0.043	0	0	0.35	0.00078	0	7	0.23	0.14	0.21
5	0	5.7e-05	0	0	8.1e-05	0	0	6.9e-06	0	0	0	0.99	0	0	0.008	0	0	9.3e-06	0	0	11	0.35	0.14	0.21
6	0	0	0.31	0	0	0	0	0	0.0022	0	0	0	0.69	0	0	0	0	0	0	0	12	0.1	0	0.014
7	0.074	0.18	0	0	0.25	5.6e-05	0.026	0.17	0	3e-05	0	0.16	0	0.00014	0.033	0	0	0.066	0.048	0	4	0.41	0.22	0.21
8	0.56	0.18	0	0	0.25	0	0.0005	0	0	0	0	0	0	0	0	0	0	0.0087	0	0	0	0.41	0.3	0.21
9	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	4.1e-06	0.0072	0	0	0.87	0.12	0	17	0.23	0.14	0.13
10	0	0	0	0	0	0	0	2.9e-06	0	0	0	1	0	0	0	0	0	0	0	0	11	0.35	0.14	0.21
11	0.19	0.038	0	0	0.053	4.9e-06	0.5	0.0067	0	3.2e-05	0	9.7e-05	0	0	0.00075	0	0	0.21	0.0017	0	6	0.35	0.3	0.29
12	0.25	0.089	0	0	0.13	0.0059	0.0051	0.0082	0	0.021	0	0.0012	0	2e-05	0.042	0	0	0.44	0.0086	0	17	0.23	0.14	0.13
13	0.25	0.00025	0	0	0.00035	0.00027	4.5e-05	2.3e-05	0	0.34	0	0	0	0	0.063	0	0	0.29	0.065	0	9	0.53	0.3	0.21
14	9e-06	0.00059	0	0	0.00083	0.00051	0	0.031	0	1.1e-05	0	0.054	0	0	0.3	0	7.1e-05	0.61	0.0013	0	17	0.23	0.14	0.13
15	0.0087	0.051	0	0.0074	0.072	0.045	0.00084	0.079	0	0.0099	0	0.51	0	0	0.08	0	0.03	0.11	0.00053	0	11	0.35	0.14	0.21
16	0.027	0.1	0	0	0.14	0.0024	0.016	0.19	0	0.00083	0	0.19	0	3.2e-06	0.022	0	0	0.31	0.0018	0	17	0.23	0.14	0.13
17	0	1.2e-06	0	0	2.9e-06	4.2e-05	0	0.29	0	0	0	0.14	0	0	0.21	0	0	0.37	7.3e-06	0	17	0.23	0.14	0.13
18	0.17	0.00053	0	0	0.00075	3.2e-05	0.0022	0.0078	0	0.013	0	4.6e-05	0	0	0.042	0	0	0.59	0.17	0	17	0.23	0.14	0.13
19	0	0	0	5.6e-05	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.89	0	0	17	0.23	0.14	0.13
20	0	0	0	0	0	0	0	0.0039	0	0	0	0.005	0	0	0.53	0	0	0.47	0	0	14	0.29	0.14	0.13
21	0	0	0	0	0	0	0	0.00052	0	0	0	1	0	0	0.00023	0	0	0	0	0	11	0.35	0.14	0.21
22	0	7.6e-05	0	0	0.00011	0	0	0.043	0	0	0	0.88	0	0	0.028	0	0	0.05	1e-06	0	11	0.35	0.14	0.21
23	0.0035	0.046	0	0	0.064	0.024	0.0003	0.2	0	0.0023	0	0.52	0	0	0.055	0	5.9e-05	0.085	0.00089	0	11	0.35	0.14	0.21
24	0	0	5.1e-06	0.0012	0	0	0	0	1	0	0	0	0.0031	0	0	0	0	0	0	0	8	0.23	0	0.043
25	0.065	0.0013	0	0	0.0018	0.002	0.0019	0.002	0	0.13	0	0.00042	0	0	0.22	0	0	0.54	0.039	0	17	0.23	0.14	0.13
26	0.45	0.13	0	0	0.19	0.00013	0.0076	0.0003	0	0.00056	0	0.00023	0	5.3e-06	0.0021	0	0	0.21	0.0016	0	0	0.41	0.3	0.21
27	0.055	0.016	0	0	0.022	0.0011	0.0033	0.031	0	0.0051	0	0.00039	0	0	0.069	0	0	0.79	0.011	0	17	0.23	0.14	0.13
28	5.4e-05	0.00078	0	0	0.0011	0	0	1.5e-06	0	0	0	0.00015	0	0.59	0.26	0	0	0.033	0.11	0	13	0.34	0.29	0.097
29	0	0	0	0.00085	0	0	0	0	1	0	0	0	1.6e-06	0	1.1e-06	0	0	5.6e-06	0	0	8	0.23	0	0.043
