SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1	dcf2
0	0.98	0	0	0	0.0066	0	0	0	0	0.013	0	0.41	0.3	0.21
1	0.00027	0	0	0.45	0.34	0	0	0	0.21	0.0012	3	0.35	0.14	0.21
2	0	0	0	0	0	0	0	1	0	0	7	0	0.12	0.072
3	0.061	0	0	0.87	0.067	0	0	0	0.0026	0.00018	3	0.35	0.14	0.21
4	3e-06	0	0	0.054	0.45	0	0	0	0.49	0.0014	8	0.23	0.14	0.21
5	0	0	0	1	8.1e-06	0	0	0	4e-06	0	3	0.35	0.14	0.21
6	0	0	1	0	0	0.00013	0	0	0	0	2	0.077	0	0.043
7	0.22	0	0	0.33	0.12	0	0	0	0.2	0.12	3	0.35	0.14	0.21
8	0.99	0	0	0	0.0096	0	0	0	0	0	0	0.41	0.3	0.21
9	0	0	0	0	0.84	0	0	0	0.0025	0.16	4	0.23	0.14	0.13
10	0	0	0	1	0	0	0	0	0	0	3	0.35	0.14	0.21
11	0.59	0	0	0.00021	0.4	0	0	0	0.0085	0.0044	0	0.41	0.3	0.21
12	0.46	0	0	0.0016	0.52	0	0	0	0.0063	0.014	4	0.23	0.14	0.13
13	0.51	0	0	0	0.37	0	0	0	2e-05	0.12	0	0.41	0.3	0.21
14	2.3e-05	0	0	0.089	0.88	0	0.00013	0	0.029	0.0026	4	0.23	0.14	0.13
15	0.017	0	0	0.73	0.14	0	0.05	0	0.066	0.00094	3	0.35	0.14	0.21
16	0.061	0	0	0.32	0.44	0	0	0	0.18	0.0037	4	0.23	0.14	0.13
17	0	0	0	0.22	0.52	0	0	0	0.26	1.4e-05	4	0.23	0.14	0.13
18	0.25	0	0	4.7e-05	0.53	0	0	0	0.0046	0.22	4	0.23	0.14	0.13
19	0	0	0	0	0.92	0	0	0.083	0	0	4	0.23	0.14	0.13
20	0	0	0	0.012	0.98	0	0	0	0.0055	0	4	0.23	0.14	0.13
21	0	0	0	1	0	0	0	0	0.0003	0	3	0.35	0.14	0.21
22	0	0	0	0.93	0.046	0	0	0	0.026	1.3e-06	3	0.35	0.14	0.21
23	0.0069	0	0	0.72	0.1	0	9.4e-05	0	0.16	0.0015	3	0.35	0.14	0.21
24	0	0	0.0039	0	0	1	0	0	0	0	5	0.23	0	0.043
25	0.15	0	0	0.00069	0.77	0	0	0	0.0018	0.079	4	0.23	0.14	0.13
26	0.77	0	0	0.00028	0.23	0	0	0	0.00021	0.0023	0	0.41	0.3	0.21
27	0.097	0	0	0.00049	0.86	0	0	0	0.022	0.017	4	0.23	0.14	0.13
28	0.00046	0	0	0.00091	0.18	0	0	0	7.6e-06	0.82	9	0.23	0.22	0.13
29	0	0	0	0	6.9e-06	1	0	0	0	0	5	0.23	0	0.043
30	1	0	0	0	4.8e-06	0	0	0	0	0.00075	0	0.41	0.3	0.21
31	0	0	0	0.2	0.064	0	0	0	0.74	5.1e-06	8	0.23	0.14	0.21
32	0.071	0	0	0	0.0018	0	0	0	0	0.93	9	0.23	0.22	0.13
33	0.11	0	0	0.044	0.53	0	0	0	0.01	0.31	4	0.23	0.14	0.13
34	1	0	0	0	0.002	0	0	0	0	0.00019	0	0.41	0.3	0.21
35	0.7	0	0	8.2e-05	0.28	0	0	0	0.012	0.0096	0	0.41	0.3	0.21
36	0.9	0	0	0	0.093	0	0	0	0	0.0023	0	0.41	0.3	0.21
37	0.79	0	0	0.00015	0.21	0	0	0	2.1e-05	0.00057	0	0.41	0.3	0.21
38	0	0	1	0	0	0	0	0.0017	0	0	2	0.077	0	0.043
