SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0	0.18	0.37	0.25	0.3
1	0	0	0	1	3	0	0	0.25	0
2	1	0	0	0	0	0.18	0.37	0.25	0.3
3	0.98	0.022	0	0	0	0.18	0.37	0.25	0.3
4	0.98	0.02	0	0	0	0.18	0.37	0.25	0.3
5	0	0	1	0	2	0.04	0.082	0.028	0.067
6	0.99	0.01	0	0	0	0.18	0.37	0.25	0.3
7	0.98	0.02	0	0	0	0.18	0.37	0.25	0.3
8	0	0	0	1	3	0	0	0.25	0
9	0	0	1	0	2	0.04	0.082	0.028	0.067
10	0	0	1	0	2	0.04	0.082	0.028	0.067
11	0.5	0.5	0	0	0	0.18	0.37	0.25	0.3
12	0.14	0.86	0	0	1	0.18	0.43	0.31	0.34
13	0	0	1	0	2	0.04	0.082	0.028	0.067
14	0.42	0.58	0	0	1	0.18	0.43	0.31	0.34
15	0	0	0	1	3	0	0	0.25	0
16	1	0	0	0	0	0.18	0.37	0.25	0.3
17	0.75	0.25	0	0	0	0.18	0.37	0.25	0.3
18	1	0.0035	0	0	0	0.18	0.37	0.25	0.3
19	0	1	0	0	1	0.18	0.43	0.31	0.34
20	0	1	0	0	1	0.18	0.43	0.31	0.34
21	0	1	0	0	1	0.18	0.43	0.31	0.34
22	0.83	0.17	0	0	0	0.18	0.37	0.25	0.3
23	0	0	0	1	3	0	0	0.25	0
24	0.85	0	0.15	0	0	0.18	0.37	0.25	0.3
25	0.0039	1	0	0	1	0.18	0.43	0.31	0.34
26	0	1	0	0	1	0.18	0.43	0.31	0.34
27	0	0	1	0	2	0.04	0.082	0.028	0.067
28	0	0	1	0	2	0.04	0.082	0.028	0.067
29	7.1e-05	0	1	0	2	0.04	0.082	0.028	0.067
30	0.45	0.55	0	0	1	0.18	0.43	0.31	0.34
31	0	0	1	0	2	0.04	0.082	0.028	0.067
32	0	0	0	1	3	0	0	0.25	0
33	0	0	0	1	3	0	0	0.25	0
34	1	0.0004	0	0	0	0.18	0.37	0.25	0.3
35	7.3e-06	1	0	0	1	0.18	0.43	0.31	0.34
36	0	1	0	0	1	0.18	0.43	0.31	0.34
37	4.6e-06	0	1	0	2	0.04	0.082	0.028	0.067
38	0.017	0.98	0	0	1	0.18	0.43	0.31	0.34
39	0	1	0	0	1	0.18	0.43	0.31	0.34
40	3.6e-05	1	0	0	1	0.18	0.43	0.31	0.34
41	1	0.0024	0	0	0	0.18	0.37	0.25	0.3
42	0	0	1	0	2	0.04	0.082	0.028	0.067
43	0.52	0.48	0	0	0	0.18	0.37	0.25	0.3
44	0	0	1	0	2	0.04	0.082	0.028	0.067
45	0.94	0.0013	0.061	0	0	0.18	0.37	0.25	0.3
46	1	0.0028	0	0	0	0.18	0.37	0.25	0.3
47	1	0	0	0	0	0.18	0.37	0.25	0.3
48	1	3.6e-06	0	0	0	0.18	0.37	0.25	0.3
49	1	0.0044	0	0	0	0.18	0.37	0.25	0.3
50	0.92	0.078	0	0	0	0.18	0.37	0.25	0.3
51	1	0.0006	0	0	0	0.18	0.37	0.25	0.3
52	1	0	0	0	0	0.18	0.37	0.25	0.3
53	0.98	0.017	0	0	0	0.18	0.37	0.25	0.3
54	1	0.00015	0	0	0	0.18	0.37	0.25	0.3
55	1	0	0	0	0	0.18	0.37	0.25	0.3
56	0.9	0.098	0	0	0	0.18	0.37	0.25	0.3
57	0	1	0	0	1	0.18	0.43	0.31	0.34
58	0	0	1	0	2	0.04	0.082	0.028	0.067
59	0	0	1	0	2	0.04	0.082	0.028	0.067
60	0	1	0	0	1	0.18	0.43	0.31	0.34
61	1	3.1e-05	0	0	0	0.18	0.37	0.25	0.3
62	0	1	0	0	1	0.18	0.43	0.31	0.34
63	0	1	0	0	1	0.18	0.43	0.31	0.34
64	0.87	0	0	0.13	0	0.18	0.37	0.25	0.3
65	0.82	0.18	0	0	0	0.18	0.37	0.25	0.3
66	1	3.8e-05	0	0	0	0.18	0.37	0.25	0.3
67	0.89	0.11	0	0	0	0.18	0.37	0.25	0.3
68	0.58	0.42	0	0	0	0.18	0.37	0.25	0.3
69	0	0	1	0	2	0.04	0.082	0.028	0.067
70	0.62	0.38	0	0	0	0.18	0.37	0.25	0.3
71	0	0	1	0	2	0.04	0.082	0.028	0.067
72	1	0.00089	0	0	0	0.18	0.37	0.25	0.3
73	0.00019	1	0	0	1	0.18	0.43	0.31	0.34
74	0	0	1	0	2	0.04	0.082	0.028	0.067
75	0.88	0.12	0	0	0	0.18	0.37	0.25	0.3
76	0	0	1	0	2	0.04	0.082	0.028	0.067
77	0.86	0.14	0	0	0	0.18	0.37	0.25	0.3
78	0	0	0	1	3	0	0	0.25	0
79	1	0.0033	0	0	0	0.18	0.37	0.25	0.3
80	0.99	0.015	0	0	0	0.18	0.37	0.25	0.3
81	1	0.0014	0	0	0	0.18	0.37	0.25	0.3
82	0.96	0.042	0	0	0	0.18	0.37	0.25	0.3
83	0.98	0.022	0	0	0	0.18	0.37	0.25	0.3
84	0.75	0.25	0	0	0	0.18	0.37	0.25	0.3
85	0.4	0	0	0.6	3	0	0	0.25	0
86	0.94	0.056	0	0	0	0.18	0.37	0.25	0.3
87	1	0.00095	0	0	0	0.18	0.37	0.25	0.3
88	0.99	0.009	0	0	0	0.18	0.37	0.25	0.3
89	1	7.4e-05	0	0	0	0.18	0.37	0.25	0.3
90	1	0	0	0	0	0.18	0.37	0.25	0.3
91	1	0	0	0	0	0.18	0.37	0.25	0.3
92	1	0.0035	0	0	0	0.18	0.37	0.25	0.3
93	0	1	0	0	1	0.18	0.43	0.31	0.34
94	1	3.2e-05	0	0	0	0.18	0.37	0.25	0.3
95	0.9	0.1	0	0	0	0.18	0.37	0.25	0.3
96	0.93	0.075	0	0	0	0.18	0.37	0.25	0.3
97	0	0	1	0	2	0.04	0.082	0.028	0.067
98	1	0.0018	0	0	0	0.18	0.37	0.25	0.3
99	0	0	1	0	2	0.04	0.082	0.028	0.067
100	0	0	1	0	2	0.04	0.082	0.028	0.067
101	0.94	0.061	0	0	0	0.18	0.37	0.25	0.3
102	1	9.8e-06	0	0	0	0.18	0.37	0.25	0.3
103	0.35	0.65	0	0	1	0.18	0.43	0.31	0.34
104	1	0	0	0	0	0.18	0.37	0.25	0.3
105	1	0.0006	0	0	0	0.18	0.37	0.25	0.3
106	0	1	0	0	1	0.18	0.43	0.31	0.34
107	0.96	0.038	0	0	0	0.18	0.37	0.25	0.3
108	0.82	0.18	0	0	0	0.18	0.37	0.25	0.3
109	1	6.2e-05	0	0	0	0.18	0.37	0.25	0.3
110	0.99	0.01	0	0	0	0.18	0.37	0.25	0.3
111	1	0.00014	0	0	0	0.18	0.37	0.25	0.3
112	0.89	0.11	0	0	0	0.18	0.37	0.25	0.3
113	0.99	0.015	0	0	0	0.18	0.37	0.25	0.3
114	0	1	0	0	1	0.18	0.43	0.31	0.34
115	0	0	1	0	2	0.04	0.082	0.028	0.067
116	0	1	0	0	1	0.18	0.43	0.31	0.34
117	1	0	0	0	0	0.18	0.37	0.25	0.3
118	1	7.4e-06	0	0	0	0.18	0.37	0.25	0.3
119	0.93	0.073	0	0	0	0.18	0.37	0.25	0.3
120	0.99	0.014	0	0	0	0.18	0.37	0.25	0.3
121	0	0	0	1	3	0	0	0.25	0
122	0	0	0	1	3	0	0	0.25	0
123	0.96	0.036	0	0	0	0.18	0.37	0.25	0.3
124	1	9e-05	0	0	0	0.18	0.37	0.25	0.3
125	0.98	0.018	0	0	0	0.18	0.37	0.25	0.3
126	0.94	0.056	0	0	0	0.18	0.37	0.25	0.3
127	1	0.00047	0	0	0	0.18	0.37	0.25	0.3
128	0.68	0.003	0	0.32	0	0.18	0.37	0.25	0.3
129	0.31	0.69	0	0	1	0.18	0.43	0.31	0.34
130	0.44	0.56	0	0	1	0.18	0.43	0.31	0.34
131	0	0	1	0	2	0.04	0.082	0.028	0.067
132	0.98	0.024	0	0	0	0.18	0.37	0.25	0.3
133	0	0	0	1	3	0	0	0.25	0
134	0.0045	1	0	0	1	0.18	0.43	0.31	0.34
135	1	0	0	0	0	0.18	0.37	0.25	0.3
136	0.06	0.94	0	0	1	0.18	0.43	0.31	0.34
137	0	0	1	0	2	0.04	0.082	0.028	0.067
138	0	0	1	0	2	0.04	0.082	0.028	0.067
139	0.023	0.98	0	0	1	0.18	0.43	0.31	0.34
140	1	4.7e-05	0	0	0	0.18	0.37	0.25	0.3
141	0	1	0	0	1	0.18	0.43	0.31	0.34
142	8e-06	1	0	0	1	0.18	0.43	0.31	0.34
143	0	0	0	1	3	0	0	0.25	0
144	0.014	0.99	0	0	1	0.18	0.43	0.31	0.34
145	1	0.00033	0	0	0	0.18	0.37	0.25	0.3
146	1	0	0	0	0	0.18	0.37	0.25	0.3
147	0.3	0.7	0	0	1	0.18	0.43	0.31	0.34
148	3.8e-06	1	0	0	1	0.18	0.43	0.31	0.34
149	0.93	0.071	0	0	0	0.18	0.37	0.25	0.3
150	0	0	0	1	3	0	0	0.25	0
151	0.97	0.029	0	0	0	0.18	0.37	0.25	0.3
152	0.064	0.94	0	0	1	0.18	0.43	0.31	0.34
153	0.069	0.93	0	0	1	0.18	0.43	0.31	0.34
154	0.057	0.94	0	0	1	0.18	0.43	0.31	0.34
155	3.5e-05	1	0	0	1	0.18	0.43	0.31	0.34
156	0.0086	0.99	0	0	1	0.18	0.43	0.31	0.34
157	0.93	0.065	0	0	0	0.18	0.37	0.25	0.3
158	1	0	0	0	0	0.18	0.37	0.25	0.3
159	0	0	0	1	3	0	0	0.25	0
160	1	1.1e-05	0	0	0	0.18	0.37	0.25	0.3
161	0.96	0.036	0	0	0	0.18	0.37	0.25	0.3
162	1	0.00029	0	0	0	0.18	0.37	0.25	0.3
163	1	0.0025	0	0	0	0.18	0.37	0.25	0.3
164	0.67	0.33	0	0	0	0.18	0.37	0.25	0.3
165	0	0	1	0	2	0.04	0.082	0.028	0.067
166	0.96	0.037	0	0	0	0.18	0.37	0.25	0.3
167	0	1	0	0	1	0.18	0.43	0.31	0.34
168	0.95	0.051	0	0	0	0.18	0.37	0.25	0.3
169	0.072	0.93	0	0	1	0.18	0.43	0.31	0.34
170	1	1.6e-05	0	0	0	0.18	0.37	0.25	0.3
171	0	0	1	0	2	0.04	0.082	0.028	0.067
172	0	0	1	0	2	0.04	0.082	0.028	0.067
173	0.99	0.01	0	0	0	0.18	0.37	0.25	0.3
174	0.96	0.04	0	0	0	0.18	0.37	0.25	0.3
175	0	0	0	1	3	0	0	0.25	0
176	0	1.2e-05	1	0	2	0.04	0.082	0.028	0.067
177	0	0	1	0	2	0.04	0.082	0.028	0.067
178	1	0.0012	0	0	0	0.18	0.37	0.25	0.3
179	0.35	0.65	0	0	1	0.18	0.43	0.31	0.34
180	1	0.00022	0	0	0	0.18	0.37	0.25	0.3
181	0	0	1	0	2	0.04	0.082	0.028	0.067
182	1	0	0	0	0	0.18	0.37	0.25	0.3
183	1	5.2e-06	0	0	0	0.18	0.37	0.25	0.3
184	1	0	0	0	0	0.18	0.37	0.25	0.3
185	0	0.0009	1	0	2	0.04	0.082	0.028	0.067
186	1	0.0013	0	0	0	0.18	0.37	0.25	0.3
187	0	0	1	0	2	0.04	0.082	0.028	0.067
188	1	0.00058	0	0	0	0.18	0.37	0.25	0.3
189	1	0.00026	0	0	0	0.18	0.37	0.25	0.3
190	0	0	1	0	2	0.04	0.082	0.028	0.067
191	0	0	1	0	2	0.04	0.082	0.028	0.067
192	0.89	0.11	0	0	0	0.18	0.37	0.25	0.3
193	0	0	1	0	2	0.04	0.082	0.028	0.067
194	0	0	1	0	2	0.04	0.082	0.028	0.067
195	0.95	0.045	0	0	0	0.18	0.37	0.25	0.3
196	0.94	0.063	0	0	0	0.18	0.37	0.25	0.3
197	0.99	0.0074	0	0	0	0.18	0.37	0.25	0.3
198	0	1	0	0	1	0.18	0.43	0.31	0.34
199	0	0	1	0	2	0.04	0.082	0.028	0.067
200	1	2.2e-05	0	0	0	0.18	0.37	0.25	0.3
201	0	0	1	0	2	0.04	0.082	0.028	0.067
202	0	0.17	0.83	0	2	0.04	0.082	0.028	0.067
203	0.94	0.061	0	0	0	0.18	0.37	0.25	0.3
204	0.89	0.11	0	0	0	0.18	0.37	0.25	0.3
205	0.18	0.82	0	0	1	0.18	0.43	0.31	0.34
206	1	0	0	0	0	0.18	0.37	0.25	0.3
207	0.12	0.88	0	0	1	0.18	0.43	0.31	0.34
208	0	1	0	0	1	0.18	0.43	0.31	0.34
209	0.99	0.013	0	0	0	0.18	0.37	0.25	0.3
210	1	0.00069	0	0	0	0.18	0.37	0.25	0.3
211	1	0	0	0	0	0.18	0.37	0.25	0.3
212	0	0	0	1	3	0	0	0.25	0
213	0.76	0.24	0	0	0	0.18	0.37	0.25	0.3
214	0.04	0.96	0	0	1	0.18	0.43	0.31	0.34
215	0	0	1	0	2	0.04	0.082	0.028	0.067
216	0.99	0.0069	0	0	0	0.18	0.37	0.25	0.3
217	1	0.00038	0	0	0	0.18	0.37	0.25	0.3
218	0.29	0.71	0	0	1	0.18	0.43	0.31	0.34
219	0.043	0.96	0	0	1	0.18	0.43	0.31	0.34
220	0.00035	1	0	0	1	0.18	0.43	0.31	0.34
221	0	0	1	0	2	0.04	0.082	0.028	0.067
222	0.14	0.86	0	0	1	0.18	0.43	0.31	0.34
223	0.34	0.66	0	0	1	0.18	0.43	0.31	0.34
224	1	0.00026	0	0	0	0.18	0.37	0.25	0.3
225	0	0	1	0	2	0.04	0.082	0.028	0.067
226	0	0	0	1	3	0	0	0.25	0
227	0	0	1	0	2	0.04	0.082	0.028	0.067
228	0.83	0.17	0	0	0	0.18	0.37	0.25	0.3
229	0.93	0.066	0	0	0	0.18	0.37	0.25	0.3
230	0.27	0.73	0	0	1	0.18	0.43	0.31	0.34
231	0	1	0	0	1	0.18	0.43	0.31	0.34
232	0.63	0.37	0	0	0	0.18	0.37	0.25	0.3
233	0.96	0.038	0	0	0	0.18	0.37	0.25	0.3
234	0	0	1	0	2	0.04	0.082	0.028	0.067
235	0.27	0.73	0	0	1	0.18	0.43	0.31	0.34
236	0.11	0	0.89	0	2	0.04	0.082	0.028	0.067
237	0	0	1	0	2	0.04	0.082	0.028	0.067
238	0	0	1	0	2	0.04	0.082	0.028	0.067
239	0.79	0.21	0	0	0	0.18	0.37	0.25	0.3
240	0	0	1	0	2	0.04	0.082	0.028	0.067
241	0.0054	0.99	0	0	1	0.18	0.43	0.31	0.34
242	1	2e-05	0	0	0	0.18	0.37	0.25	0.3
243	0	0	1	0	2	0.04	0.082	0.028	0.067
244	0	1	0	0	1	0.18	0.43	0.31	0.34
245	0.93	0.071	0	0	0	0.18	0.37	0.25	0.3
246	1.2e-05	1	0	0	1	0.18	0.43	0.31	0.34
247	0.98	0.016	0	0	0	0.18	0.37	0.25	0.3
248	0	0	0	1	3	0	0	0.25	0
249	0.98	0.015	0	0	0	0.18	0.37	0.25	0.3
250	1	0.0021	0	0	0	0.18	0.37	0.25	0.3
251	0.51	0.49	0	0	0	0.18	0.37	0.25	0.3
252	1	0	0	0	0	0.18	0.37	0.25	0.3
253	1	0.0026	0	0	0	0.18	0.37	0.25	0.3
254	0	0	0	1	3	0	0	0.25	0
255	0.21	0.79	0	0	1	0.18	0.43	0.31	0.34
256	0.77	0.23	0	0	0	0.18	0.37	0.25	0.3
257	0.74	0.26	0	0	0	0.18	0.37	0.25	0.3
258	0.99	0.012	0	0	0	0.18	0.37	0.25	0.3
259	0	0	1	0	2	0.04	0.082	0.028	0.067
260	0	0	1	0	2	0.04	0.082	0.028	0.067
261	1	0.0018	0	0	0	0.18	0.37	0.25	0.3
262	0.0071	0.99	0	0	1	0.18	0.43	0.31	0.34
263	0	0	1	0	2	0.04	0.082	0.028	0.067
264	0	1	0	0	1	0.18	0.43	0.31	0.34
265	1	1e-05	0	0	0	0.18	0.37	0.25	0.3
266	4.9e-06	1	0	0	1	0.18	0.43	0.31	0.34
267	0.53	0.47	0	0	0	0.18	0.37	0.25	0.3
268	0	0	1	0	2	0.04	0.082	0.028	0.067
269	1	5.9e-06	0	0	0	0.18	0.37	0.25	0.3
270	0.84	0.16	0	0	0	0.18	0.37	0.25	0.3
271	1	0	0	0	0	0.18	0.37	0.25	0.3
272	0	0	1	0	2	0.04	0.082	0.028	0.067
273	0.91	0.093	0	0	0	0.18	0.37	0.25	0.3
274	0.49	0.51	0	0	1	0.18	0.43	0.31	0.34
275	1	0.0003	0	0	0	0.18	0.37	0.25	0.3
276	0.79	0.21	0	0	0	0.18	0.37	0.25	0.3
277	0.82	0.18	0	0	0	0.18	0.37	0.25	0.3
278	1	0	0	0	0	0.18	0.37	0.25	0.3
279	0	0	1	0	2	0.04	0.082	0.028	0.067
280	0	0	1	0	2	0.04	0.082	0.028	0.067
281	0.81	0.19	0	0	0	0.18	0.37	0.25	0.3
282	0.61	0.39	0	0	0	0.18	0.37	0.25	0.3
283	0.91	0.089	0	0	0	0.18	0.37	0.25	0.3
284	0.099	0.9	0	0	1	0.18	0.43	0.31	0.34
285	1	0.00021	0	0	0	0.18	0.37	0.25	0.3
286	0.99	0.0054	0	0	0	0.18	0.37	0.25	0.3
287	0.49	0.51	0	0	1	0.18	0.43	0.31	0.34
288	0	0	1	0	2	0.04	0.082	0.028	0.067
289	0.99	0.01	0	0	0	0.18	0.37	0.25	0.3
290	0	0	1	0	2	0.04	0.082	0.028	0.067
291	0.17	0.83	0	0	1	0.18	0.43	0.31	0.34
292	0.04	0.96	0	0	1	0.18	0.43	0.31	0.34
293	0.061	0.94	0	0	1	0.18	0.43	0.31	0.34
294	1	0.0013	0	0	0	0.18	0.37	0.25	0.3
295	0	0	1	0	2	0.04	0.082	0.028	0.067
296	0.98	0.022	0	0	0	0.18	0.37	0.25	0.3
