SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	1	0	0	0	0.18	0.37	0.25	0.3
1	0	0	1	2	0.02	0.041	0.083	0.033
2	0.82	0.18	0	0	0.18	0.37	0.25	0.3
3	0.99	0.0078	0	0	0.18	0.37	0.25	0.3
4	0.99	0.0069	0	0	0.18	0.37	0.25	0.3
5	0	0	1	2	0.02	0.041	0.083	0.033
6	0.99	0.0078	0	0	0.18	0.37	0.25	0.3
7	1	0.0013	0	0	0.18	0.37	0.25	0.3
8	3.7e-05	0	1	2	0.02	0.041	0.083	0.033
9	0	0	1	2	0.02	0.041	0.083	0.033
10	0	0	1	2	0.02	0.041	0.083	0.033
11	0.92	0.08	0	0	0.18	0.37	0.25	0.3
12	0.98	0.019	0	0	0.18	0.37	0.25	0.3
13	0	0	1	2	0.02	0.041	0.083	0.033
14	0.99	0.012	0	0	0.18	0.37	0.25	0.3
15	0	0	1	2	0.02	0.041	0.083	0.033
16	0.99	0.0071	0	0	0.18	0.37	0.25	0.3
17	0.88	0.12	0	0	0.18	0.37	0.25	0.3
18	1	0.00029	0	0	0.18	0.37	0.25	0.3
19	0	1	0	1	0.18	0.43	0.25	0.39
20	0	0.49	0.51	2	0.02	0.041	0.083	0.033
21	0	1	0.00028	1	0.18	0.43	0.25	0.39
22	0.69	0.31	0	0	0.18	0.37	0.25	0.3
23	0	0	1	2	0.02	0.041	0.083	0.033
24	1	0	0	0	0.18	0.37	0.25	0.3
25	0.48	0.52	0	1	0.18	0.43	0.25	0.39
26	0.9	0.1	0	0	0.18	0.37	0.25	0.3
27	1	0	0.0025	0	0.18	0.37	0.25	0.3
28	0	0	1	2	0.02	0.041	0.083	0.033
29	0	0	1	2	0.02	0.041	0.083	0.033
30	0.22	0.78	0	1	0.18	0.43	0.25	0.39
31	0	0	1	2	0.02	0.041	0.083	0.033
32	0	0	1	2	0.02	0.041	0.083	0.033
33	0	0	1	2	0.02	0.041	0.083	0.033
34	1	0	0	0	0.18	0.37	0.25	0.3
35	0.96	0.045	0	0	0.18	0.37	0.25	0.3
36	0	1	6.8e-06	1	0.18	0.43	0.25	0.39
37	0.00017	0	1	2	0.02	0.041	0.083	0.033
38	0	1	0	1	0.18	0.43	0.25	0.39
39	1	0.00043	0	0	0.18	0.37	0.25	0.3
40	1	0	0	0	0.18	0.37	0.25	0.3
41	1	0.00018	0	0	0.18	0.37	0.25	0.3
42	0	0	1	2	0.02	0.041	0.083	0.033
43	0.93	0.065	0	0	0.18	0.37	0.25	0.3
44	0	0	1	2	0.02	0.041	0.083	0.033
45	0	0	1	2	0.02	0.041	0.083	0.033
46	1	0.0017	0	0	0.18	0.37	0.25	0.3
47	1	0	0	0	0.18	0.37	0.25	0.3
48	1	0	0	0	0.18	0.37	0.25	0.3
49	0.99	0.015	0	0	0.18	0.37	0.25	0.3
50	0.97	0.025	0	0	0.18	0.37	0.25	0.3
51	1	0.00028	0	0	0.18	0.37	0.25	0.3
52	1	0	0	0	0.18	0.37	0.25	0.3
53	0.99	0.012	0	0	0.18	0.37	0.25	0.3
54	1	0.00017	0	0	0.18	0.37	0.25	0.3
55	1	0	0	0	0.18	0.37	0.25	0.3
56	0.95	0.046	0	0	0.18	0.37	0.25	0.3
57	0	1	0	1	0.18	0.43	0.25	0.39
58	0.018	4.2e-06	0.98	2	0.02	0.041	0.083	0.033
59	0	0	1	2	0.02	0.041	0.083	0.033
60	0	0	1	2	0.02	0.041	0.083	0.033
61	1	6.8e-05	0	0	0.18	0.37	0.25	0.3
62	0	0.99	0.013	1	0.18	0.43	0.25	0.39
63	0	1	0	1	0.18	0.43	0.25	0.39
64	1	0	4.9e-05	0	0.18	0.37	0.25	0.3
65	0.92	0.075	0	0	0.18	0.37	0.25	0.3
66	1	0.00041	0	0	0.18	0.37	0.25	0.3
67	0.98	0.019	0	0	0.18	0.37	0.25	0.3
68	0.69	0.31	0	0	0.18	0.37	0.25	0.3
69	0	0	1	2	0.02	0.041	0.083	0.033
