k	loglikelihood	observations	parameters	BIC
1	-52500.4	33120	8	105084
2	-30259.8	33120	12	60644.4
3	-28378.9	33120	16	56924.3
4	-25381.2	33120	20	50970.5
5	-25642.2	33120	24	51534.1
6	-23120.2	33120	28	46531.7
7	-22501.1	33120	32	45335.3
8	-22264.4	33120	36	44903.5
9	-21930	33120	40	44276.3
10	-21309.3	33120	44	43076.5
11	-20496	33120	48	41491.7
12	-20509.9	33120	52	41561.1
13	-19933.7	33120	56	40450.3
14	-19465.4	33120	60	39555.3
15	-19079.6	33120	64	38825.2
16	-22269.6	33120	68	45246.8
17	-19740.2	33120	72	40229.8
18	-20191.9	33120	76	41174.9
19	-19129.4	33120	80	39091.4
20	-20105.4	33120	84	41085.1
