SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	0.12	0.019	0.019	0	0.019	0.019	0	0.26	0.019	0.12	0	0.12	0.019	0.0037	0.26	0	7	0.18
1	0.13	0.0079	0.0079	0	0.0079	0.0079	0	0.28	0.0079	0.13	0	0.13	0.0079	0.0022	0.28	0	7	0.18
2	0.099	0.044	0.044	0	0.044	0.044	0	0.22	0.044	0.099	0	0.099	0.044	0.0049	0.22	0	7	0.18
3	0.12	0.021	0.021	0	0.021	0.021	0	0.26	0.021	0.12	0	0.12	0.021	0.0031	0.26	0	7	0.18
4	0.11	0.033	0.033	0	0.033	0.033	0	0.24	0.033	0.11	0	0.11	0.033	0.0044	0.24	0	7	0.18
5	0.089	0.057	0.057	0	0.057	0.057	0	0.19	0.057	0.089	0	0.089	0.057	0.0042	0.19	0	7	0.18
6	0.11	0.026	0.026	0	0.026	0.026	0	0.25	0.026	0.11	0	0.11	0.026	0.0041	0.25	0	7	0.18
7	0.12	0.021	0.021	0	0.021	0.021	0	0.26	0.021	0.12	0	0.12	0.021	0.004	0.26	0	7	0.18
8	0.13	0.011	0.011	0	0.011	0.011	0	0.28	0.011	0.13	0	0.13	0.011	0.0035	0.28	0	7	0.18
9	0.11	0.035	0.035	0	0.035	0.035	0	0.23	0.035	0.11	0	0.11	0.035	0.0036	0.23	0	7	0.18
10	0.083	0.064	0.064	0	0.064	0.064	0	0.18	0.064	0.083	0	0.083	0.064	0.0052	0.18	0	7	0.18
11	0.12	0.024	0.024	0	0.024	0.024	0	0.25	0.024	0.12	0	0.12	0.024	0.0045	0.25	0	7	0.18
12	0.1	0.04	0.04	0	0.04	0.04	0	0.22	0.04	0.1	0	0.1	0.04	0.0051	0.22	0	7	0.18
13	0.08	0.068	0.068	0	0.068	0.068	0	0.17	0.068	0.08	0	0.08	0.068	0.0054	0.17	0	7	0.18
14	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	1	15	0
15	0.1	0.041	0.041	0	0.041	0.041	0	0.22	0.041	0.1	0	0.1	0.041	0.0059	0.22	0	7	0.18
16	0.13	0.0082	0.0082	0	0.0082	0.0082	0	0.28	0.0082	0.13	0	0.13	0.0082	0.003	0.28	0	7	0.18
17	0.13	0.007	0.007	0	0.007	0.007	0	0.28	0.007	0.13	0	0.13	0.007	0.0025	0.28	0	7	0.18
18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.02
19	0.12	0.013	0.013	0	0.013	0.013	0	0.27	0.013	0.12	0	0.12	0.013	0.0034	0.27	0	7	0.18
20	0.095	0.05	0.05	0	0.05	0.05	0	0.21	0.05	0.095	0	0.095	0.05	0.0056	0.21	0	7	0.18
21	0.13	0.0088	0.0088	0	0.0088	0.0088	0	0.28	0.0088	0.13	0	0.13	0.0088	0.0029	0.28	0	7	0.18
22	0.044	0.11	0.11	0	0.11	0.11	0	0.095	0.11	0.044	0	0.044	0.11	0.0054	0.095	0	1	0.14
23	0.097	0.047	0.047	0	0.047	0.047	0	0.21	0.047	0.097	0	0.097	0.047	0.005	0.21	0	7	0.18
24	0.13	0.0053	0.0053	0	0.0053	0.0053	0	0.29	0.0053	0.13	0	0.13	0.0053	0.0024	0.29	0	7	0.18
25	0.11	0.026	0.026	0	0.026	0.026	0	0.25	0.026	0.11	0	0.11	0.026	0.004	0.25	0	7	0.18
26	0.12	0.017	0.017	0	0.017	0.017	0	0.26	0.017	0.12	0	0.12	0.017	0.0036	0.26	0	7	0.18
27	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0.99	15	0
28	0.11	0.034	0.034	0	0.034	0.034	0	0.23	0.034	0.11	0	0.11	0.034	0.0049	0.23	0	7	0.18
29	0.14	0.00015	0.00015	0	0.00015	0.00015	0	0.3	0.00015	0.14	0	0.14	0.00015	0.00044	0.3	0	7	0.18
30	0.12	0.018	0.018	0	0.018	0.018	0	0.26	0.018	0.12	0	0.12	0.018	0.0036	0.26	0	7	0.18
31	0.11	0.032	0.032	0	0.032	0.032	0	0.24	0.032	0.11	0	0.11	0.032	0.0045	0.24	0	7	0.18
32	0.14	0.00011	0.00011	0	0.00011	0.00011	0	0.3	0.00011	0.14	0	0.14	0.00011	0.0004	0.3	0	7	0.18
33	0.12	0.018	0.018	0	0.018	0.018	0	0.26	0.018	0.12	0	0.12	0.018	0.0042	0.26	0	7	0.18
34	0.12	0.024	0.024	0	0.024	0.024	0	0.25	0.024	0.12	0	0.12	0.024	0.0037	0.25	0	7	0.18
35	0.092	0.054	0.054	0	0.054	0.054	0	0.2	0.054	0.092	0	0.092	0.054	0.0055	0.2	0	7	0.18
