SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0.23	0.42	0.013	0.23	0	0.097	0	0.01	0	0	0.00062	0.00061	1	0.18
1	0.25	0.45	0.0074	0.25	0	0.04	0	0.0059	0	0	0.00039	0.00038	1	0.18
2	0.19	0.35	0.017	0.19	9e-05	0.23	0	0.014	9e-05	0	0.00015	0.00014	1	0.18
3	0.23	0.41	0.011	0.23	5.7e-06	0.11	0	0.0085	5.7e-06	0	0.0002	0.0002	1	0.18
4	0.21	0.38	0.015	0.21	0	0.17	0	0.012	0	0	5.3e-06	5.2e-06	1	0.18
5	0.17	0.32	0.015	0.17	0.0015	0.3	0	0.012	0.0015	0	0.00093	0.00091	1	0.18
6	0.22	0.4	0.014	0.22	0	0.13	0	0.011	0	0	8e-06	7.9e-06	1	0.18
7	0.23	0.41	0.014	0.23	0	0.11	0	0.011	0	0	0.00024	0.00023	1	0.18
8	0.24	0.44	0.012	0.24	0	0.056	0	0.0096	0	0	9.1e-05	8.9e-05	1	0.18
9	0.21	0.38	0.012	0.21	0.00025	0.18	0	0.0099	0.00025	0	0.00014	0.00013	1	0.18
10	0.16	0.3	0.018	0.16	0	0.34	0	0.015	0	0	0	0	5	0.14
11	0.22	0.4	0.015	0.22	0	0.12	0	0.012	0	0	7.2e-05	7e-05	1	0.18
12	0.2	0.36	0.017	0.2	5.1e-06	0.21	0	0.014	5.1e-06	0	7.9e-05	7.7e-05	1	0.18
13	0.16	0.29	0.019	0.16	0.001	0.36	0	0.015	0.001	0	4.7e-05	4.6e-05	5	0.14
14	0	0	0	0	0	0	0	0	0	1	0	0	9	0
15	0.2	0.36	0.02	0.2	0	0.21	0	0.016	0	0	9.7e-06	9.5e-06	1	0.18
16	0.25	0.45	0.01	0.25	0	0.042	0	0.0081	0	0	0.00024	0.00024	1	0.18
17	0.25	0.45	0.0084	0.25	0	0.036	0	0.0067	0	0	0.0017	0.0017	1	0.18
18	0	0	0	0	0.5	0	0	0	0.5	0	0	0	4	0.06
19	0.24	0.43	0.011	0.24	0	0.068	0	0.0091	0	0	0.00054	0.00053	1	0.18
20	0.18	0.33	0.019	0.18	2.7e-06	0.26	0	0.016	2.7e-06	0	2.5e-05	2.5e-05	1	0.18
21	0.25	0.44	0.0097	0.25	0	0.045	0	0.0077	0	0	0.00074	0.00073	1	0.18
22	0.09	0.16	0.02	0.09	0.0024	0.62	0	0.016	0.0024	0	1.9e-06	1.9e-06	5	0.14
23	0.19	0.34	0.017	0.19	0.00016	0.24	0	0.014	0.00016	0	0.00014	0.00014	1	0.18
24	0.25	0.45	0.008	0.25	0	0.027	0	0.0064	0	0	0.00093	0.00091	1	0.18
25	0.22	0.4	0.014	0.22	2e-05	0.13	0	0.011	2e-05	0	0.00067	0.00066	1	0.18
26	0.23	0.42	0.012	0.23	0	0.087	0	0.0098	0	0	0.00054	0.00053	1	0.18
27	0	0	0	0	6.3e-06	0	0	0	6.3e-06	1	0	0	9	0
28	0.21	0.38	0.017	0.21	0	0.17	0	0.014	0	0	7.4e-05	7.3e-05	1	0.18
29	0.19	0.35	0.0011	0.19	0	0.00056	0	0.00088	0	0	0.13	0.13	1	0.18
30	0.23	0.42	0.012	0.23	0	0.09	0	0.0097	0	0	0.00074	0.00072	1	0.18
31	0.21	0.38	0.015	0.21	2.1e-05	0.17	0	0.012	2.1e-05	0	0.0003	0.00029	1	0.18
32	0.2	0.36	0.001	0.2	0	0.00044	0	0.00082	0	0	0.12	0.12	1	0.18
33	0.23	0.42	0.014	0.23	0	0.09	0	0.011	0	0	8.2e-05	8e-05	1	0.18
34	0.22	0.4	0.013	0.22	0.00014	0.12	0	0.01	0.00014	0	0.0017	0.0016	1	0.18
35	0.18	0.33	0.019	0.18	2.2e-05	0.28	0	0.015	2.2e-05	0	3.8e-05	3.8e-05	1	0.18
36	0.2	0.35	0.018	0.2	1.5e-06	0.22	0	0.015	1.5e-06	0	4e-05	3.9e-05	1	0.18
37	0.2	0.37	0.016	0.2	3.8e-05	0.2	0	0.013	3.8e-05	0	0.00019	0.00019	1	0.18
38	0.23	0.42	0.015	0.23	0	0.095	0	0.012	0	0	5.6e-05	5.5e-05	1	0.18
39	0.25	0.44	0.0021	0.25	0	0.0016	0	0.0017	0	0	0.03	0.029	1	0.18
40	0.26	0.46	0.0067	0.26	0	0.015	0	0.0053	0	0	0.0005	0.00049	1	0.18
41	0.19	0.34	0.019	0.19	2.1e-06	0.24	0	0.015	2.1e-06	0	3e-05	3e-05	1	0.18
42	0.23	0.41	0.013	0.23	0	0.11	0	0.011	0	0	0.00038	0.00037	1	0.18
43	0.091	0.17	0.02	0.091	0.0016	0.61	0	0.016	0.0016	0	1.7e-06	1.7e-06	5	0.14
44	0.24	0.43	0.01	0.24	2.2e-06	0.065	0	0.008	2.2e-06	0	0.003	0.003	1	0.18
45	0.21	0.39	0.015	0.21	1.8e-05	0.16	0	0.012	1.8e-05	0	0.00034	0.00033	1	0.18
46	0.21	0.38	0.019	0.21	0	0.16	0	0.015	0	0	1.3e-05	1.3e-05	1	0.18
47	0.25	0.46	0.0055	0.25	0	0.013	0	0.0044	0	0	0.004	0.0039	1	0.18
48	0.26	0.46	0.0051	0.26	0	0.0096	0	0.0041	0	0	0.0024	0.0023	1	0.18
49	0.24	0.44	0.01	0.24	0	0.054	0	0.0082	0	0	0.00085	0.00083	1	0.18
50	0.26	0.47	0.003	0.26	0	0.0025	0	0.0024	0	0	0.0036	0.0036	1	0.18
51	0.25	0.45	0.011	0.25	0	0.04	0	0.0092	0	0	3e-05	3e-05	1	0.18
52	0.15	0.27	0.02	0.15	0.00047	0.39	0	0.016	0.00047	0	2.5e-05	2.4e-05	5	0.14
53	0.25	0.45	0.0096	0.25	0	0.042	0	0.0077	0	0	0.00059	0.00058	1	0.18
54	0	0	0	0	0	0	0	0	0	1	0	0	9	0
