SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.22	0.021	0.021	0.021	0	0.021	0.029	0.22	0	0.0054	0	0.44	0	0	11	0.18
1	0.24	0.0087	0.0087	0.0087	0	0.0087	0.012	0.24	0	0.0032	0	0.47	0	0	11	0.18
2	0.18	0.049	0.049	0.049	0	0.049	0.069	0.18	0	0.0072	0	0.36	0	0	11	0.18
3	0.22	0.024	0.024	0.024	0	0.024	0.033	0.22	0	0.0045	0	0.43	0	0	11	0.18
4	0.2	0.036	0.036	0.036	0	0.036	0.051	0.2	0	0.0064	0	0.39	0	0	11	0.18
5	0.16	0.063	0.063	0.063	0	0.063	0.089	0.16	0	0.0062	0	0.32	0	0	11	0.18
6	0.21	0.029	0.029	0.029	0	0.029	0.04	0.21	0	0.0059	0	0.41	0	0	11	0.18
7	0.22	0.023	0.023	0.023	0	0.023	0.032	0.22	0	0.0059	0	0.43	0	0	11	0.18
8	0.24	0.012	0.012	0.012	0	0.012	0.017	0.24	0	0.0052	0	0.46	0	0	11	0.18
9	0.2	0.038	0.038	0.038	0	0.038	0.054	0.2	0	0.0052	0	0.39	0	0	11	0.18
10	0.15	0.071	0.071	0.071	0	0.071	0.1	0.15	0	0.0075	0	0.3	0	0	11	0.18
11	0.22	0.026	0.026	0.026	0	0.026	0.037	0.22	0	0.0066	0	0.42	0	0	11	0.18
12	0.19	0.044	0.044	0.044	0	0.044	0.063	0.19	0	0.0074	0	0.37	0	0	11	0.18
13	0.15	0.075	0.075	0.075	0	0.075	0.11	0.15	0	0.0079	0	0.29	0	0	11	0.18
14	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	1	13	0
15	0.19	0.045	0.045	0.045	0	0.045	0.064	0.19	0	0.0085	0	0.37	0	0	11	0.18
16	0.24	0.009	0.009	0.009	0	0.009	0.013	0.24	0	0.0044	0	0.47	0	0	11	0.18
17	0.24	0.0077	0.0077	0.0077	0	0.0077	0.011	0.24	0	0.0036	0	0.47	0	0	11	0.18
18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0.02
19	0.23	0.015	0.015	0.015	0	0.015	0.021	0.23	0	0.0049	0	0.45	0	0	11	0.18
20	0.18	0.055	0.055	0.055	0	0.055	0.078	0.18	0	0.0082	0	0.34	0	0	11	0.18
21	0.24	0.0097	0.0097	0.0097	0	0.0097	0.014	0.24	0	0.0042	0	0.47	0	0	11	0.18
22	0.082	0.12	0.12	0.12	0	0.12	0.17	0.082	0	0.0078	0	0.16	0	0	6	0.14
23	0.18	0.052	0.052	0.052	0	0.052	0.073	0.18	0	0.0072	0	0.35	0	0	11	0.18
24	0.24	0.0059	0.0059	0.0059	0	0.0059	0.0083	0.24	0	0.0034	0	0.48	0	0	11	0.18
25	0.21	0.028	0.028	0.028	0	0.028	0.04	0.21	0	0.0058	0	0.42	0	0	11	0.18
26	0.23	0.019	0.019	0.019	0	0.019	0.026	0.23	0	0.0052	0	0.44	0	0	11	0.18
27	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0.99	13	0
28	0.2	0.037	0.037	0.037	0	0.037	0.053	0.2	0	0.0072	0	0.39	0	0	11	0.18
29	0.25	0.00016	0.00016	0.00016	0	0.00016	0.00023	0.25	0	0.00064	0	0.49	0	0	11	0.18
30	0.23	0.019	0.019	0.019	0	0.019	0.027	0.23	0	0.0052	0	0.44	0	0	11	0.18
31	0.2	0.036	0.036	0.036	0	0.036	0.051	0.2	0	0.0065	0	0.4	0	0	11	0.18
32	0.25	0.00012	0.00012	0.00012	0	0.00012	0.00018	0.25	0	0.00058	0	0.49	0	0	11	0.18
