SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0
0	0.018	0	0	0.018	0	0	0	0.28	0.018	0.0062	0.018	0.018	0.0051	0.33	0.0051	0	0.28	0.00087	0	0	13	0.18
1	0.0073	0	0	0.0073	0	0	0	0.3	0.0073	0.0036	0.0073	0.0073	0.003	0.35	0.003	0	0.3	9.6e-05	0	0	13	0.18
2	0.042	0	0	0.042	0	0	0	0.24	0.042	0.0085	0.042	0.042	0.007	0.28	0.007	0	0.24	0.0091	0	0	13	0.18
3	0.02	0	0	0.02	0	0	0	0.28	0.02	0.0053	0.02	0.02	0.0044	0.33	0.0044	0	0.28	0.002	0	0	13	0.18
4	0.031	0	0	0.031	0	0	0	0.26	0.031	0.0076	0.031	0.031	0.0062	0.3	0.0062	0	0.26	0.00081	0	0	13	0.18
5	0.055	0	0	0.055	0	0	0	0.21	0.055	0.0073	0.055	0.055	0.006	0.25	0.006	0	0.21	0.033	0	0	13	0.18
6	0.024	0	0	0.024	0	0	0	0.27	0.024	0.0069	0.024	0.024	0.0057	0.32	0.0057	0	0.27	0.00045	0	0	13	0.18
7	0.019	0	0	0.019	0	0	0	0.28	0.019	0.0068	0.019	0.019	0.0056	0.33	0.0056	0	0.28	0.00061	0	0	13	0.18
8	0.01	0	0	0.01	0	0	0	0.3	0.01	0.0059	0.01	0.01	0.0049	0.34	0.0049	0	0.3	3.2e-05	0	0	13	0.18
9	0.033	0	0	0.033	0	0	0	0.26	0.033	0.0062	0.033	0.033	0.0051	0.3	0.0051	0	0.26	0.01	0	0	13	0.18
10	0.063	0	0	0.063	0	0	0	0.21	0.063	0.0092	0.063	0.063	0.0076	0.24	0.0076	0	0.21	0.007	0	0	13	0.18
11	0.022	0	0	0.022	0	0	0	0.27	0.022	0.0077	0.022	0.022	0.0063	0.32	0.0063	0	0.27	0.00043	0	0	13	0.18
12	0.038	0	0	0.038	0	0	0	0.25	0.038	0.0088	0.038	0.038	0.0072	0.29	0.0072	0	0.25	0.0039	0	0	13	0.18
13	0.066	0	0	0.066	0	0	0	0.19	0.066	0.0094	0.066	0.066	0.0078	0.23	0.0078	0	0.19	0.032	0	0	13	0.18
14	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	18	0
15	0.039	0	0	0.039	0	0	0	0.25	0.039	0.01	0.039	0.039	0.0083	0.29	0.0083	0	0.25	0.00095	0	0	13	0.18
16	0.0075	0	0	0.0075	0	0	0	0.3	0.0075	0.005	0.0075	0.0075	0.0041	0.35	0.0041	0	0.3	2.3e-05	0	0	13	0.18
17	0.0064	0	0	0.0064	0	0	0	0.3	0.0064	0.0042	0.0064	0.0064	0.0034	0.35	0.0034	0	0.3	5.4e-05	0	0	13	0.18
18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.02
19	0.012	0	0	0.012	0	0	0	0.29	0.012	0.0056	0.012	0.012	0.0046	0.34	0.0046	0	0.29	0.00022	0	0	13	0.18
20	0.048	0	0	0.048	0	0	0	0.23	0.048	0.0098	0.048	0.048	0.0081	0.27	0.0081	0	0.23	0.0045	0	0	13	0.18
21	0.0081	0	0	0.0081	0	0	0	0.3	0.0081	0.0048	0.0081	0.0081	0.0039	0.35	0.0039	0	0.3	6.6e-05	0	0	13	0.18
22	0.11	0	0	0.11	0	0	0	0.11	0.11	0.0094	0.11	0.11	0.0077	0.12	0.0077	0	0.11	0.098	0	0	13	0.18
23	0.045	0	0	0.045	0	0	0	0.23	0.045	0.0086	0.045	0.045	0.0071	0.27	0.0071	0	0.23	0.011	0	0	13	0.18
24	0.0049	0	0	0.0049	0	0	0	0.31	0.0049	0.0039	0.0049	0.0049	0.0032	0.36	0.0032	0	0.31	1.4e-05	0	0	13	0.18
25	0.024	0	0	0.024	0	0	0	0.27	0.024	0.0068	0.024	0.024	0.0056	0.32	0.0056	0	0.27	0.0029	0	0	13	0.18
26	0.016	0	0	0.016	0	0	0	0.29	0.016	0.0061	0.016	0.016	0.005	0.33	0.005	0	0.29	0.00053	0	0	13	0.18
27	0	0	0	0	0	0.0076	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	18	0
28	0.032	0	0	0.032	0	0	0	0.26	0.032	0.0085	0.032	0.032	0.007	0.3	0.007	0	0.26	0.0018	0	0	13	0.18
29	0.00014	0	0	0.00014	0	0	0	0.32	0.00014	0.00073	0.00014	0.00014	0.0006	0.37	0.0006	0	0.32	0	0	0	13	0.18
30	0.016	0	0	0.016	0	0	0	0.29	0.016	0.006	0.016	0.016	0.005	0.33	0.005	0	0.29	0.00074	0	0	13	0.18
31	0.031	0	0	0.031	0	0	0	0.26	0.031	0.0076	0.031	0.031	0.0063	0.3	0.0063	0	0.26	0.0041	0	0	13	0.18
32	0.0001	0	0	0.0001	0	0	0	0.32	0.0001	0.00066	0.0001	0.0001	0.00054	0.37	0.00054	0	0.32	0	0	0	13	0.18
33	0.016	0	0	0.016	0	0	0	0.28	0.016	0.007	0.016	0.016	0.0057	0.33	0.0057	0	0.28	0.00016	0	0	13	0.18
34	0.022	0	0	0.022	0	0	0	0.27	0.022	0.0063	0.022	0.022	0.0052	0.32	0.0052	0	0.27	0.0043	0	0	13	0.18
35	0.052	0	0	0.052	0	0	0	0.22	0.052	0.0096	0.052	0.052	0.0079	0.26	0.0079	0	0.22	0.0085	0	0	13	0.18
36	0.041	0	0	0.041	0	0	0	0.24	0.041	0.0093	0.041	0.041	0.0076	0.28	0.0076	0	0.24	0.0031	0	0	13	0.18
37	0.036	0	0	0.036	0	0	0	0.25	0.036	0.0082	0.036	0.036	0.0067	0.29	0.0067	0	0.25	0.006	0	0	13	0.18
38	0.017	0	0	0.017	0	0	0	0.28	0.017	0.0073	0.017	0.017	0.006	0.33	0.006	0	0.28	0.00015	0	0	13	0.18
39	0.0003	0	0	0.0003	0	0	0	0.31	0.0003	0.0011	0.0003	0.0003	0.00091	0.37	0.00091	0	0.31	0	0	0	13	0.18
40	0.0026	0	0	0.0026	0	0	0	0.31	0.0026	0.0033	0.0026	0.0026	0.0027	0.36	0.0027	0	0.31	1.1e-06	0	0	13	0.18
41	0.045	0	0	0.045	0	0	0	0.24	0.045	0.0096	0.045	0.045	0.0079	0.27	0.0079	0	0.24	0.0039	0	0	13	0.18
42	0.02	0	0	0.02	0	0	0	0.28	0.02	0.0067	0.02	0.02	0.0055	0.32	0.0055	0	0.28	0.00093	0	0	13	0.18
43	0.11	0	0	0.11	0	0	0	0.11	0.11	0.0096	0.11	0.11	0.0079	0.13	0.0079	0	0.11	0.089	0	0	13	0.18
44	0.012	0	0	0.012	0	0	0	0.29	0.012	0.005	0.012	0.012	0.0041	0.34	0.0041	0	0.29	0.00067	0	0	13	0.18
45	0.029	0	0	0.029	0	0	0	0.26	0.029	0.0075	0.029	0.029	0.0061	0.31	0.0061	0	0.26	0.0036	0	0	13	0.18
46	0.029	0	0	0.029	0	0	0	0.26	0.029	0.0093	0.029	0.029	0.0077	0.3	0.0077	0	0.26	0.00039	0	0	13	0.18
47	0.0023	0	0	0.0023	0	0	0	0.31	0.0023	0.0027	0.0023	0.0023	0.0022	0.36	0.0022	0	0.31	3e-06	0	0	13	0.18
48	0.0017	0	0	0.0017	0	0	0	0.31	0.0017	0.0025	0.0017	0.0017	0.0021	0.36	0.0021	0	0.31	0	0	0	13	0.18
49	0.0098	0	0	0.0098	0	0	0	0.3	0.0098	0.0051	0.0098	0.0098	0.0042	0.34	0.0042	0	0.3	0.00014	0	0	13	0.18
50	0.00045	0	0	0.00045	0	0	0	0.31	0.00045	0.0015	0.00045	0.00045	0.0012	0.37	0.0012	0	0.31	0	0	0	13	0.18
51	0.0071	0	0	0.0071	0	0	0	0.3	0.0071	0.0056	0.0071	0.0071	0.0046	0.35	0.0046	0	0.3	4.4e-06	0	0	13	0.18
52	0.071	0	0	0.071	0	0	0	0.19	0.071	0.0099	0.071	0.071	0.0081	0.22	0.0081	0	0.19	0.03	0	0	13	0.18
53	0.0075	0	0	0.0075	0	0	0	0.3	0.0075	0.0047	0.0075	0.0075	0.0039	0.35	0.0039	0	0.3	4.3e-05	0	0	13	0.18
54	0	0	0	0	0	4.5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	18	0
55	0.0016	0	0	0.0016	0	0	0	0.31	0.0016	0.0036	0.0016	0.0016	0.003	0.36	0.003	0	0.31	0	0	0	13	0.18
56	0.036	0	0	0.036	0	0	0	0.25	0.036	0.0089	0.036	0.036	0.0073	0.29	0.0073	0	0.25	0.0021	0	0	13	0.18
57	0.014	0	0	0.014	0	0	0	0.29	0.014	0.0056	0.014	0.014	0.0046	0.34	0.0046	0	0.29	0.00056	0	0	13	0.18
58	0.014	0	0	0.014	0	0	0	0.29	0.014	0.0066	0.014	0.014	0.0054	0.34	0.0054	0	0.29	9.7e-05	0	0	13	0.18
