SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0.062	0.058	0.062	0.11	0.043	0	0	0.062	0.0012	0.0052	0.13	0.062	0	0.062	0.13	0.13	0.062	0.0052	0	10	0.18
1	0.066	0.024	0.066	0.12	0.018	0	0	0.066	0.00077	0.0031	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0031	0	10	0.18
2	0.052	0.14	0.052	0.096	0.1	0	0	0.052	0.00029	0.0071	0.11	0.052	9e-05	0.052	0.11	0.11	0.052	0.0071	9e-05	1	0.14
3	0.061	0.066	0.061	0.11	0.048	0	0	0.061	0.00039	0.0044	0.13	0.061	5.7e-06	0.061	0.13	0.13	0.061	0.0044	5.7e-06	10	0.18
4	0.057	0.1	0.057	0.11	0.074	0	0	0.057	1e-05	0.0063	0.12	0.057	0	0.057	0.12	0.12	0.057	0.0063	0	10	0.18
5	0.047	0.18	0.047	0.087	0.13	0	0	0.047	0.0018	0.0061	0.1	0.047	0.0015	0.047	0.1	0.1	0.047	0.0061	0.0015	1	0.14
6	0.059	0.08	0.059	0.11	0.059	0	0	0.059	1.6e-05	0.0058	0.13	0.059	0	0.059	0.13	0.13	0.059	0.0058	0	10	0.18
7	0.061	0.064	0.061	0.11	0.047	0	0	0.061	0.00047	0.0057	0.13	0.061	0	0.061	0.13	0.13	0.061	0.0057	0	10	0.18
8	0.065	0.034	0.065	0.12	0.025	0	0	0.065	0.00018	0.005	0.14	0.065	0	0.065	0.14	0.14	0.065	0.005	0	10	0.18
9	0.056	0.11	0.056	0.1	0.079	0	0	0.056	0.00027	0.0052	0.12	0.056	0.00025	0.056	0.12	0.12	0.056	0.0052	0.00025	10	0.18
10	0.044	0.2	0.044	0.082	0.15	0	0	0.044	3e-06	0.0076	0.095	0.044	0	0.044	0.095	0.095	0.044	0.0076	0	1	0.14
11	0.06	0.073	0.06	0.11	0.054	0	0	0.06	0.00014	0.0065	0.13	0.06	0	0.06	0.13	0.13	0.06	0.0065	0	10	0.18
12	0.053	0.13	0.053	0.099	0.092	0	0	0.053	0.00015	0.0073	0.12	0.053	5.1e-06	0.053	0.12	0.12	0.053	0.0073	5.1e-06	1	0.14
13	0.042	0.22	0.042	0.078	0.16	0	0	0.042	9.1e-05	0.0079	0.091	0.042	0.001	0.042	0.091	0.091	0.042	0.0079	0.001	1	0.14
14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0
15	0.053	0.13	0.053	0.099	0.094	0	0	0.053	1.9e-05	0.0084	0.12	0.053	0	0.053	0.12	0.12	0.053	0.0084	0	1	0.14
16	0.066	0.025	0.066	0.12	0.018	0	0	0.066	0.00047	0.0042	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0042	0	10	0.18
17	0.066	0.021	0.066	0.12	0.016	0	0	0.066	0.0034	0.0035	0.14	0.066	0	0.066	0.14	0.14	0.066	0.0035	0	10	0.18
18	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	12	0.06
19	0.064	0.041	0.064	0.12	0.03	0	0	0.064	0.0011	0.0047	0.14	0.064	0	0.064	0.14	0.14	0.064	0.0047	0	10	0.18
20	0.05	0.16	0.05	0.092	0.12	0	0	0.05	5e-05	0.0081	0.11	0.05	2.7e-06	0.05	0.11	0.11	0.05	0.0081	2.7e-06	1	0.14
21	0.066	0.027	0.066	0.12	0.02	0	0	0.066	0.0015	0.004	0.14	0.066	0	0.066	0.14	0.14	0.066	0.004	0	10	0.18
22	0.024	0.37	0.024	0.044	0.27	0	0	0.024	3.7e-06	0.0081	0.052	0.024	0.0024	0.024	0.052	0.052	0.024	0.0081	0.0024	1	0.14
23	0.051	0.15	0.051	0.095	0.11	0	0	0.051	0.00028	0.0072	0.11	0.051	0.00016	0.051	0.11	0.11	0.051	0.0072	0.00016	1	0.14
24	0.067	0.016	0.067	0.12	0.012	0	0	0.067	0.0018	0.0033	0.15	0.067	0	0.067	0.15	0.15	0.067	0.0033	0	10	0.18
25	0.059	0.08	0.059	0.11	0.059	0	0	0.059	0.0013	0.0057	0.13	0.059	2e-05	0.059	0.13	0.13	0.059	0.0057	2e-05	10	0.18
26	0.063	0.052	0.063	0.12	0.038	0	0	0.063	0.0011	0.0051	0.14	0.063	0	0.063	0.14	0.14	0.063	0.0051	0	10	0.18
27	0	0	0	0	0	0	1	0	0	0	0	0	6.3e-06	0	0	0	0	0	6.3e-06	6	0
28	0.056	0.1	0.056	0.1	0.077	0	0	0.056	0.00015	0.0071	0.12	0.056	0	0.056	0.12	0.12	0.056	0.0071	0	10	0.18
29	0.052	0.00034	0.052	0.096	0.00025	0	0	0.052	0.26	0.00046	0.11	0.052	0	0.052	0.11	0.11	0.052	0.00046	0	8	0.25
30	0.062	0.054	0.062	0.12	0.04	0	0	0.062	0.0014	0.0051	0.14	0.062	0	0.062	0.14	0.14	0.062	0.0051	0	10	0.18
31	0.057	0.1	0.057	0.11	0.074	0	0	0.057	0.00058	0.0064	0.12	0.057	2.1e-05	0.057	0.12	0.12	0.057	0.0064	2.1e-05	10	0.18
