k	loglikelihood	observations	parameters	BIC
1	-4345.67	6234	2	8708.81
2	-3657	6234	3	7340.21
3	-3588.09	6234	4	7211.14
4	-3520.46	6234	5	7084.61
5	-3515.21	6234	6	7082.85
6	-3515.92	6234	7	7093
7	-3473.5	6234	8	7016.9
8	-3473.53	6234	9	7025.7
9	-3472.13	6234	10	7031.63
10	-3473.21	6234	11	7042.54
11	-3471.15	6234	12	7047.16
12	-3471.17	6234	13	7055.92
13	-3470.59	6234	14	7063.51
14	-3459.53	6234	15	7050.12
15	-3470.63	6234	16	7081.07
16	-3459.42	6234	17	7067.38
17	-3446.5	6234	18	7050.29
18	-3459.39	6234	19	7084.8
19	-3470.47	6234	20	7115.7
20	-3446.71	6234	21	7076.92
