SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	0	0.88	1.7e-06	0.013	0	0.01	0.094	1	0.18
1	0	0.95	0	0.0077	0	0.0061	0.039	1	0.18
2	0	0.74	0.00019	0.018	0	0.014	0.22	1	0.18
3	0	0.87	1.2e-05	0.011	0	0.0088	0.11	1	0.18
4	0	0.81	0	0.016	0	0.013	0.16	1	0.18
5	0	0.67	0.0032	0.016	0	0.012	0.3	1	0.18
6	0	0.84	0	0.015	0	0.011	0.13	1	0.18
7	0	0.87	0	0.014	0	0.011	0.1	1	0.18
8	0	0.92	0	0.012	0	0.0099	0.054	1	0.18
9	0	0.8	0.00051	0.013	0	0.01	0.18	1	0.18
10	0	0.63	2.8e-06	0.019	0	0.015	0.33	1	0.18
11	0	0.85	0	0.016	0	0.013	0.12	1	0.18
12	0	0.76	1e-05	0.018	0	0.014	0.2	1	0.18
13	0	0.61	0.0021	0.02	0	0.016	0.35	1	0.18
14	0	0	0	0	1	0	0	4	0
15	0	0.76	0	0.021	0	0.017	0.21	1	0.18
16	0	0.94	0	0.011	0	0.0084	0.041	1	0.18
17	0	0.95	0	0.0088	0	0.007	0.035	1	0.18
18	0	0	1	0	0	0	0	2	0.06
19	0	0.91	0	0.012	0	0.0094	0.066	1	0.18
20	0	0.71	5.5e-06	0.02	0	0.016	0.25	1	0.18
21	0	0.94	0	0.01	0	0.008	0.044	1	0.18
22	0	0.35	0.005	0.021	0	0.016	0.61	6	0.14
23	0	0.73	0.00033	0.018	0	0.014	0.24	1	0.18
24	0	0.96	0	0.0083	0	0.0066	0.026	1	0.18
25	0	0.85	4.1e-05	0.014	0	0.011	0.13	1	0.18
26	0	0.89	0	0.013	0	0.01	0.084	1	0.18
27	0	0	1.3e-05	0	1	0	0	4	0
28	0	0.8	1.3e-06	0.018	0	0.014	0.17	1	0.18
29	0	1	0	0.0015	0	0.0012	0.00074	1	0.18
30	0	0.89	1.3e-06	0.013	0	0.01	0.087	1	0.18
31	0	0.81	4.3e-05	0.016	0	0.013	0.16	1	0.18
32	0	1	0	0.0014	0	0.0011	0.00056	1	0.18
33	0	0.89	0	0.015	0	0.012	0.088	1	0.18
34	0	0.86	0.00028	0.013	0	0.01	0.12	1	0.18
35	0	0.69	4.4e-05	0.02	0	0.016	0.27	1	0.18
36	0	0.75	3.1e-06	0.019	0	0.015	0.22	1	0.18
37	0	0.77	7.8e-05	0.017	0	0.014	0.19	1	0.18
38	0	0.88	0	0.015	0	0.012	0.093	1	0.18
39	0	0.99	0	0.0023	0	0.0019	0.0016	1	0.18
40	0	0.97	0	0.0069	0	0.0055	0.014	1	0.18
41	0	0.73	4.4e-06	0.02	0	0.016	0.24	1	0.18
42	0	0.87	1.2e-06	0.014	0	0.011	0.11	1	0.18
43	0	0.35	0.0034	0.021	0	0.017	0.61	6	0.14
44	0	0.92	4.4e-06	0.01	0	0.0083	0.064	1	0.18
45	0	0.82	3.6e-05	0.016	0	0.012	0.15	1	0.18
46	0	0.81	0	0.019	0	0.015	0.16	1	0.18
47	0	0.98	0	0.0057	0	0.0045	0.012	1	0.18
48	0	0.98	0	0.0054	0	0.0042	0.0094	1	0.18
49	0	0.93	0	0.011	0	0.0084	0.053	1	0.18
50	0	0.99	0	0.0032	0	0.0025	0.0025	1	0.18
51	0	0.94	0	0.012	0	0.0094	0.038	1	0.18
52	0	0.58	0.00097	0.021	0	0.016	0.38	1	0.18
