SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
0	0.88	0.0019	0	0.11	0	0	0.18
1	0.95	0.0012	0	0.048	0	0	0.18
2	0.73	0.00044	0	0.27	0	0	0.18
3	0.87	0.00061	0	0.13	0	0	0.18
4	0.8	1.6e-05	0	0.2	0	0	0.18
5	0.65	0.0028	0	0.35	0	0	0.18
6	0.84	2.4e-05	0	0.16	0	0	0.18
7	0.87	0.00073	0	0.12	0	0	0.18
8	0.93	0.00028	0	0.066	0	0	0.18
9	0.79	0.00041	0	0.21	0	0	0.18
10	0.61	4.5e-06	0	0.39	0	0	0.18
11	0.86	0.00022	0	0.14	0	0	0.18
12	0.76	0.00024	0	0.24	0	0	0.18
13	0.59	0.00014	0	0.41	0	0	0.18
14	0	0	1	0	0	2	0.02
15	0.75	2.9e-05	0	0.25	0	0	0.18
16	0.95	0.00074	0	0.049	0	0	0.18
17	0.95	0.0053	0	0.042	0	0	0.18
18	0	0	1	0	0	2	0.02
19	0.92	0.0016	0	0.08	0	0	0.18
20	0.7	7.6e-05	0	0.3	0	0	0.18
21	0.94	0.0023	0	0.053	0	0	0.18
22	0.32	5.4e-06	0	0.68	0	3	0.14
23	0.72	0.00043	0	0.28	0	0	0.18
24	0.97	0.0029	0	0.032	0	0	0.18
25	0.84	0.002	0	0.16	0	0	0.18
26	0.9	0.0016	0	0.1	0	0	0.18
27	0	0	1	0	0	2	0.02
28	0.8	0.00023	0	0.2	0	0	0.18
29	0.65	0.35	0	0.00058	0	0	0.18
30	0.89	0.0022	0	0.11	0	0	0.18
31	0.8	0.0009	0	0.2	0	0	0.18
32	0.68	0.32	0	0.00046	0	0	0.18
33	0.89	0.00025	0	0.11	0	0	0.18
34	0.85	0.0051	0	0.14	0	0	0.18
35	0.68	0.00011	0	0.32	0	0	0.18
36	0.74	0.00012	0	0.26	0	0	0.18
37	0.77	0.00058	0	0.23	0	0	0.18
38	0.89	0.00017	0	0.11	0	0	0.18
39	0.91	0.088	0	0.0018	0	0	0.18
40	0.98	0.0015	0	0.017	0	0	0.18
41	0.72	9.1e-05	0	0.28	0	0	0.18
42	0.87	0.0011	0	0.13	0	0	0.18
43	0.33	4.9e-06	0	0.67	0	3	0.14
44	0.91	0.0093	0	0.077	0	0	0.18
45	0.81	0.001	0	0.19	0	0	0.18
46	0.81	4e-05	0	0.19	0	0	0.18
47	0.97	0.012	0	0.015	0	0	0.18
48	0.98	0.0072	0	0.011	0	0	0.18
49	0.93	0.0026	0	0.064	0	0	0.18
50	0.99	0.011	0	0.003	0	0	0.18
51	0.95	9.3e-05	0	0.047	0	0	0.18
52	0.56	7.3e-05	0	0.44	0	0	0.18
53	0.95	0.0018	0	0.049	0	0	0.18
54	0	0	1	0	0	2	0.02
55	0.99	2e-05	0	0.011	0	0	0.18
56	0.77	0.00015	0	0.23	0	0	0.18
57	0.91	0.003	0	0.092	0	0	0.18
58	0.91	0.00027	0	0.091	0	0	0.18
59	0.97	0.018	0	0.01	0	0	0.18
60	0.85	0.00038	0	0.15	0	0	0.18
61	0.87	0.0042	0	0.13	0	0	0.18
62	0.14	0	0	0.86	0	3	0.14
63	0.98	0.0039	0	0.021	0	0	0.18
64	0.98	0.00084	0	0.019	0	0	0.18
65	0.26	2e-06	0	0.74	0	3	0.14
66	0.96	0.0044	0	0.035	0	0	0.18
67	0.39	2.1e-06	0	0.61	0	3	0.14
68	0.91	0.0037	0	0.083	0	0	0.18
69	0.62	0.00035	4.1e-05	0.38	0	0	0.18
70	0.97	0.0031	0	0.027	0	0	0.18
71	0.95	0.0052	0	0.045	0	0	0.18
72	0.066	0	0	0.93	0	3	0.14
73	0.8	0.0009	1.7e-05	0.2	0	0	0.18
74	0.93	0.017	0	0.052	0	0	0.18
75	0.64	2.4e-05	0	0.36	0	0	0.18
76	0.8	4.5e-05	0	0.2	0	0	0.18
77	0.74	0.00072	0.008	0.26	0	0	0.18
78	0.7	0.00013	0	0.3	0	0	0.18
79	0.49	0.00011	0.00024	0.51	0	3	0.14
80	0.69	0.00011	0	0.31	0	0	0.18
81	0.95	0.0072	0	0.043	0	0	0.18
82	0.68	0.00012	0	0.32	0	0	0.18
83	0.76	5.9e-05	0	0.24	0	0	0.18
84	0.97	0.0059	0	0.025	0	0	0.18
85	0.89	0.0026	0	0.1	0	0	0.18
86	0.93	0.0039	0	0.064	0	0	0.18
87	0.95	0.0029	0	0.051	0	0	0.18
88	0.93	0.0046	0	0.066	0	0	0.18
89	0.88	0.0014	0	0.12	0	0	0.18
90	0.76	0.00045	0	0.24	0	0	0.18
91	0.64	0.0002	0	0.36	0	0	0.18
92	0.15	0	3.6e-05	0.85	0	3	0.14
93	0.36	1.7e-06	0	0.64	0	3	0.14
94	0.96	0.0013	0	0.042	0	0	0.18
95	0.98	0.0097	0	0.0073	0	0	0.18
96	0.85	0.0014	0	0.15	0	0	0.18
97	0.98	0.0008	0	0.021	0	0	0.18
98	0.97	0.0083	0	0.024	0	0	0.18
99	0.86	0.0013	0	0.14	0	0	0.18
100	0.9	0.0042	0	0.096	0	0	0.18
101	0.76	0.00018	0	0.24	0	0	0.18
102	0.97	0.0047	0	0.028	0	0	0.18
103	0.94	0.0015	0	0.058	0	0	0.18
104	0.94	0.0044	0	0.06	0	0	0.18
105	0.9	4.2e-05	0	0.095	0	0	0.18
106	0.49	1e-06	0	0.51	0	3	0.14
107	0.98	0.0019	0	0.013	0	0	0.18
108	0.98	0.01	0	0.0063	0	0	0.18
109	0.89	0.00011	0	0.11	0	0	0.18
110	0.94	0.0054	0	0.05	0	0	0.18
111	0.74	2.5e-06	0	0.26	0	0	0.18
112	0.93	0.013	0	0.061	0	0	0.18
113	0.81	0.00063	0	0.19	0	0	0.18
114	0.96	0.024	0	0.02	0	0	0.18
115	0.82	0.002	0	0.17	0	0	0.18
116	0.93	0.00015	0	0.067	0	0	0.18
117	0.92	0.00075	0	0.081	0	0	0.18
118	0.92	0.022	0	0.056	0	0	0.18
119	0.97	0.013	0	0.02	0	0	0.18
120	0.63	0.00016	3.2e-06	0.37	0	0	0.18
121	0.78	0.00057	0	0.22	0	0	0.18
122	0.89	0.0051	0	0.11	0	0	0.18
123	0.85	0.00045	0	0.15	0	0	0.18
124	0.98	0.0019	0	0.018	0	0	0.18
125	0.97	0.022	0	0.011	0	0	0.18
126	0.91	0.016	0	0.07	0	0	0.18
127	0.61	0.00011	0	0.39	0	0	0.18
128	0.75	0.00031	0	0.25	0	0	0.18
129	0.4	1.3e-05	0	0.6	0	3	0.14
130	0.68	2.3e-05	0	0.32	0	0	0.18
131	0.78	9.4e-05	0	0.22	0	0	0.18
132	0.62	4.6e-05	0	0.38	0	0	0.18
133	0.63	8.8e-06	0	0.37	0	0	0.18
134	0.93	0.0014	0	0.068	0	0	0.18
135	0.91	0.003	0	0.092	0	0	0.18
136	0.89	0.001	0	0.11	0	0	0.18
137	0.94	0.00012	0	0.06	0	0	0.18
138	0.97	0.0085	0	0.025	0	0	0.18
139	0.099	0	3.7e-06	0.9	0	3	0.14
140	0.56	0.00012	0	0.44	0	0	0.18
141	0	0	1	0	0	2	0.02
142	0.67	0.00013	0	0.33	0	0	0.18
143	0.97	0.0022	0	0.026	0	0	0.18
144	0.96	0.0064	0	0.029	0	0	0.18
145	0.78	0.0011	0	0.22	0	0	0.18
146	0	0	1	0	0	2	0.02
147	0.15	0	0	0.85	0	3	0.14
148	0.88	1.1e-05	0	0.12	0	0	0.18
149	0.72	0.00077	0	0.27	0	0	0.18
150	0.94	0.0021	0	0.063	0	0	0.18
151	0.95	0.00054	0	0.051	0	0	0.18
152	0.97	0.00013	0	0.033	0	0	0.18
153	0.52	0	0	0.48	0	0	0.18
154	0.44	0	0	0.56	0	3	0.14
155	0.35	1.8e-06	0	0.65	0	3	0.14
156	0.88	0.0004	0	0.12	0	0	0.18
157	0.98	0.0014	0	0.022	0	0	0.18
158	0.98	0.0089	0	0.012	0	0	0.18
159	0.78	4.7e-05	0	0.22	0	0	0.18
160	0.95	0.0091	0	0.041	0	0	0.18
161	0.72	0.00045	0	0.28	0	0	0.18
162	1	0.003	0	0	0	0	0.18
163	0.87	0.0067	0	0.12	0	0	0.18
164	0	0	1	0	0	2	0.02
165	0.98	0.018	0	0	0	0	0.18
166	0.92	0.072	0	0.0089	0	0	0.18
167	0.81	0.0003	0	0.19	0	0	0.18
168	0.98	0.0071	0	0.012	0	0	0.18
169	0.68	0.00022	0	0.32	0	0	0.18
170	0.89	0.001	0	0.11	0	0	0.18
171	0.56	6.6e-06	0	0.44	0	0	0.18
172	0.86	0.0011	0	0.14	0	0	0.18
173	0.9	0.00062	0	0.095	0	0	0.18
174	0.86	0.002	0	0.14	0	0	0.18
175	0.8	0.00037	0	0.2	0	0	0.18
176	0.84	1.4e-05	0	0.16	0	0	0.18
177	0.87	0.00022	0	0.13	0	0	0.18
178	0.91	0.00081	0	0.088	0	0	0.18
179	0.86	0.00087	0	0.14	0	0	0.18
180	0.87	0.0011	0	0.13	0	0	0.18
181	0.92	0.00024	0	0.076	0	0	0.18
182	0.88	0.0016	0	0.12	0	0	0.18
183	0.98	0.0087	0	0.0072	0	0	0.18
184	0.83	0.00016	0	0.17	0	0	0.18
185	0.73	0.00014	0	0.27	0	0	0.18
186	0.66	7.8e-05	0	0.34	0	0	0.18
187	0.86	0.0025	0	0.14	0	0	0.18
188	0.99	0.0068	0	1e-05	0	0	0.18
189	0.99	0.0087	0	0.0003	5.1e-06	0	0.18
190	0.86	0.0016	0	0.14	0	0	0.18
191	0.93	0.0003	0	0.073	0	0	0.18
192	0.99	0.0019	0	0.0091	0	0	0.18
193	1	0.0045	0	0	0	0	0.18
194	1	0.0031	0	0	0	0	0.18
195	0.98	0.018	0	0.0042	0	0	0.18
196	0.95	0.042	0	0.0028	0	0	0.18
197	0.62	0	0	0.38	0	0	0.18
198	0.92	4.4e-05	0	0.084	0	0	0.18
199	0.95	0.0076	0	0.04	0	0	0.18
200	0.99	0.0015	0	0.0098	0	0	0.18
201	0.98	0.013	0	0.0036	0	0	0.18
202	0.36	1.4e-05	0.00046	0.64	0	3	0.14
203	0.7	5.2e-05	0	0.3	0	0	0.18
204	0.8	0.0001	0	0.2	0	0	0.18
205	0.79	0.0005	0	0.21	0	0	0.18
206	0.98	0.017	0	0	8e-06	0	0.18
207	0.98	0.016	0	0	0	0	0.18
208	0.9	0.0015	0	0.1	0	0	0.18
209	0.9	0.002	0	0.099	0	0	0.18
210	0.95	0.0064	0	0.043	0	0	0.18
211	0.95	0.0014	0	0.053	0	0	0.18
212	0.94	0.0067	0	0.051	0	0	0.18
213	0.54	8.9e-05	0	0.46	0	0	0.18
214	0.93	0.0076	0	0.062	0	0	0.18
215	0.91	0.006	0	0.079	0	0	0.18
216	0.87	0.00093	0	0.13	0	0	0.18
217	0.91	0.0014	0	0.087	0	0	0.18
218	0.74	0.00013	0	0.26	0	0	0.18
219	0	0	1	0	0	2	0.02
220	0.67	0.00018	0	0.33	0	0	0.18
221	0.83	6.3e-05	0	0.17	0	0	0.18
222	0.95	0.00028	0	0.05	0	0	0.18
223	0.58	0.0002	5.9e-06	0.42	0	0	0.18
224	0.17	0	0	0.83	0	3	0.14
225	0.9	6.3e-05	0	0.1	0	0	0.18
226	1	0	0.00013	0	0	0	0.18
227	0.79	0.00079	0	0.21	0	0	0.18
228	0.89	0.0029	0	0.11	0	0	0.18
229	0.87	0.0023	0	0.12	0	0	0.18
230	0.87	0.11	0	0.014	0.00012	0	0.18
231	0.47	1.5e-05	0	0.53	0	3	0.14
232	0.61	1.1e-05	0	0.39	0	0	0.18
233	0.95	0.012	0	0.036	0	0	0.18
234	0.42	6.1e-05	0.0022	0.58	0	3	0.14
235	0	0	1	0	0	2	0.02
236	0.77	0.0011	0	0.23	0	0	0.18
237	0.83	7.8e-05	0	0.17	0	0	0.18
238	0.97	0.0029	0	0.026	0	0	0.18
239	0.8	0.00086	0	0.2	0	0	0.18
240	0.74	0.26	0	0.00055	0	0	0.18
241	0	0	1	0	0	2	0.02
242	0.92	0.0042	0	0.073	0	0	0.18
243	1	0.0012	0	0	0	0	0.18
244	0.84	0.00024	0	0.16	0	0	0.18
245	1	0.00053	0	0	0	0	0.18
246	0.69	3.3e-05	0	0.31	0	0	0.18
247	0.75	0.00037	4.6e-06	0.25	0	0	0.18
248	0.8	0.0002	0	0.2	0	0	0.18
249	0.47	9.1e-06	0	0.53	0	3	0.14
250	0.65	0.0001	2.3e-06	0.35	0	0	0.18
251	0.96	0.012	0	0.026	0	0	0.18
252	0.67	4.3e-06	0	0.33	0	0	0.18
253	0.9	0.0013	0	0.1	0	0	0.18
254	0.86	0.0018	0	0.14	0	0	0.18
255	0.98	0.00053	0	0.021	0	0	0.18
256	0.88	0.0027	2.1e-06	0.12	0	0	0.18
257	0.77	0	0	0.23	0	0	0.18
258	0.97	0.002	0	0.024	0	0	0.18
259	0.89	0.00094	0	0.11	0	0	0.18
260	0.92	0.0037	0	0.077	0	0	0.18
261	0.93	0.0035	0	0.064	0	0	0.18
262	0.99	0.005	0	0	0.00051	0	0.18
263	0.94	0.00042	0	0.064	0	0	0.18
264	0.8	0.0014	0	0.2	0	0	0.18
265	0.94	0.0014	0	0.062	0	0	0.18
266	0.98	0.017	0	0	0	0	0.18
267	0.89	0.0018	0	0.1	0	0	0.18
268	0.97	0.013	0	0.016	0	0	0.18
269	0.94	0.002	0	0.061	0	0	0.18
270	0.98	0.019	0	0	0	0	0.18
271	0.91	0.094	0	0.00036	0	0	0.18
272	0.9	0.0012	0	0.1	0	0	0.18
273	0.99	0.013	0	0.00044	0	0	0.18
274	0.62	7.1e-05	0	0.38	0	0	0.18
275	0.9	0.0021	0	0.098	0	0	0.18
276	0.7	0.00015	0	0.3	0	0	0.18
277	0.86	0.0033	0	0.13	0	0	0.18
278	0.61	0.00012	0	0.39	0	0	0.18
279	0.86	0.0012	0	0.14	0	0	0.18
280	0.79	0.00091	0	0.2	0	0	0.18
281	0.93	9.1e-06	0	0.07	0	0	0.18
282	0.64	0.00032	2.8e-06	0.36	0	0	0.18
283	0.9	0.0059	0	0.096	0	0	0.18
284	0.77	0.00011	0	0.23	0	0	0.18
285	0.96	0.011	0	0.032	0	0	0.18
286	0.88	6.3e-05	0	0.12	0	0	0.18
287	0.94	0.00017	0	0.06	0	0	0.18
288	0.78	0.00076	0	0.22	0	0	0.18
289	0.7	0.0018	0	0.3	0	0	0.18
290	0.87	0.00067	0	0.13	0	0	0.18
291	0.87	0.00036	0	0.13	0	0	0.18
292	0.87	0.0011	0	0.13	0	0	0.18
293	0.59	0.0014	0	0.41	0	0	0.18
294	0.94	0.00016	0	0.063	0	0	0.18
295	0.39	0.02	5.6e-06	0.59	0	3	0.14
296	0.86	1.2e-05	0	0.14	0	0	0.18
297	0.68	0.32	0	0.0007	0	0	0.18
298	0.86	0.0014	0	0.14	0	0	0.18
299	0.66	8.6e-05	0	0.34	0	0	0.18
300	0.96	0.013	0	0.028	0	0	0.18
301	0.92	0.00053	0	0.075	0	0	0.18
302	0.91	0.00069	0	0.085	0	0	0.18
303	0.46	1.1e-06	0	0.54	0	3	0.14
304	0.71	0.0001	0	0.29	0	0	0.18
305	0.81	0.00066	0	0.19	0	0	0.18
306	0.59	0.00021	5.5e-06	0.41	0	0	0.18
307	0.79	0.00097	0	0.21	0	0	0.18
308	0.94	0.0029	0	0.06	0	0	0.18
309	0.89	0.00028	0	0.11	0	0	0.18
310	0.97	0.015	0	0.014	0	0	0.18
311	0.67	0.00016	0	0.33	0	0	0.18
312	0.88	2.8e-05	0	0.12	0	0	0.18
313	0.68	2e-05	0	0.32	0	0	0.18
314	0.9	0.0013	0	0.095	0	0	0.18
