SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0
0	0.00048	0.00048	0	0	0.2	0.058	0.23	0.23	0.0066	0.23	0.0066	0.042	0	0.00027	0	6	0.18
1	0.0003	0.0003	0	0	0.21	0.024	0.25	0.25	0.0039	0.25	0.0039	0.017	0	0.00017	0	6	0.18
2	0.00011	0.00011	9e-05	0	0.17	0.14	0.19	0.19	0.009	0.19	0.009	0.099	9e-05	6.4e-05	0	6	0.18
3	0.00015	0.00015	5.7e-06	0	0.2	0.066	0.23	0.23	0.0056	0.23	0.0056	0.047	5.7e-06	8.8e-05	0	6	0.18
4	4e-06	4e-06	0	0	0.18	0.1	0.21	0.21	0.008	0.21	0.008	0.072	0	2.3e-06	0	6	0.18
5	0.00071	0.00071	0.0015	0	0.15	0.18	0.17	0.17	0.0078	0.17	0.0078	0.13	0.0015	0.00041	0	5	0.14
6	6.1e-06	6.1e-06	0	0	0.19	0.08	0.22	0.22	0.0074	0.22	0.0074	0.057	0	3.5e-06	0	6	0.18
7	0.00018	0.00018	0	0	0.2	0.064	0.23	0.23	0.0073	0.23	0.0073	0.046	0	0.0001	0	6	0.18
8	6.9e-05	6.9e-05	0	0	0.21	0.034	0.24	0.24	0.0063	0.24	0.0063	0.024	0	4e-05	0	6	0.18
9	0.0001	0.0001	0.00025	0	0.18	0.11	0.21	0.21	0.0066	0.21	0.0066	0.077	0.00025	6e-05	0	6	0.18
10	0	0	0	0	0.14	0.2	0.16	0.16	0.0096	0.16	0.0096	0.15	0	0	0	5	0.14
11	5.5e-05	5.5e-05	0	0	0.19	0.073	0.22	0.22	0.0082	0.22	0.0082	0.052	0	3.1e-05	0	6	0.18
12	6e-05	6e-05	5.1e-06	0	0.17	0.13	0.2	0.2	0.0092	0.2	0.0092	0.09	5.1e-06	3.4e-05	0	6	0.18
13	3.6e-05	3.6e-05	0.001	0	0.14	0.22	0.16	0.16	0.01	0.16	0.01	0.16	0.001	2e-05	0	5	0.14
14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
15	7.4e-06	7.4e-06	0	0	0.17	0.13	0.2	0.2	0.011	0.2	0.011	0.091	0	4.2e-06	0	6	0.18
16	0.00018	0.00018	0	0	0.21	0.025	0.24	0.24	0.0054	0.24	0.0054	0.018	0	0.0001	0	6	0.18
17	0.0013	0.0013	0	0	0.21	0.021	0.25	0.25	0.0044	0.25	0.0044	0.015	0	0.00076	0	6	0.18
18	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	2	0.06
19	0.00041	0.00041	0	0	0.21	0.041	0.24	0.24	0.006	0.24	0.006	0.029	0	0.00024	0	6	0.18
20	1.9e-05	1.9e-05	2.7e-06	0	0.16	0.16	0.18	0.18	0.01	0.18	0.01	0.11	2.7e-06	1.1e-05	0	6	0.18
21	0.00057	0.00057	0	0	0.21	0.027	0.24	0.24	0.0051	0.24	0.0051	0.019	0	0.00032	0	6	0.18
22	1.4e-06	1.4e-06	0.0024	0	0.077	0.37	0.089	0.089	0.01	0.089	0.01	0.26	0.0024	0	0	5	0.14
23	0.00011	0.00011	0.00016	0	0.16	0.15	0.19	0.19	0.0091	0.19	0.0091	0.11	0.00016	6.2e-05	0	6	0.18
24	0.00071	0.00071	0	0	0.22	0.016	0.25	0.25	0.0042	0.25	0.0042	0.012	0	0.00041	0	6	0.18
25	0.00051	0.00051	2e-05	0	0.19	0.08	0.22	0.22	0.0072	0.22	0.0072	0.057	2e-05	0.00029	0	6	0.18
26	0.00041	0.00041	0	0	0.2	0.052	0.23	0.23	0.0065	0.23	0.0065	0.037	0	0.00024	0	6	0.18
27	0	0	6.3e-06	1	0	0	0	0	0	0	0	0	6.3e-06	0	0	3	0
28	5.7e-05	5.7e-05	0	0	0.18	0.11	0.21	0.21	0.0089	0.21	0.0089	0.075	0	3.2e-05	0	6	0.18
29	0.1	0.1	0	0	0.17	0.00034	0.19	0.19	0.00058	0.19	0.00058	0.00024	0	0.058	0	6	0.18
30	0.00056	0.00056	0	0	0.2	0.054	0.23	0.23	0.0064	0.23	0.0064	0.039	0	0.00032	0	6	0.18
31	0.00023	0.00023	2.1e-05	0	0.18	0.1	0.21	0.21	0.0081	0.21	0.0081	0.072	2.1e-05	0.00013	0	6	0.18
32	0.092	0.092	0	0	0.17	0.00026	0.2	0.2	0.00054	0.2	0.00054	0.00019	0	0.052	0	6	0.18
33	6.3e-05	6.3e-05	0	0	0.2	0.054	0.23	0.23	0.0074	0.23	0.0074	0.039	0	3.6e-05	0	6	0.18
34	0.0013	0.0013	0.00014	0	0.19	0.074	0.22	0.22	0.0066	0.22	0.0066	0.053	0.00014	0.00073	0	6	0.18
35	2.9e-05	2.9e-05	2.2e-05	0	0.15	0.17	0.18	0.18	0.01	0.18	0.01	0.12	2.2e-05	1.7e-05	0	6	0.18
36	3e-05	3e-05	1.5e-06	0	0.17	0.13	0.19	0.19	0.0098	0.19	0.0098	0.096	1.5e-06	1.7e-05	0	6	0.18
37	0.00015	0.00015	3.8e-05	0	0.17	0.12	0.2	0.2	0.0086	0.2	0.0086	0.086	3.8e-05	8.3e-05	0	6	0.18
