SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	0	0.89	0	0.11	1	0.18
1	0	0.95	0	0.047	1	0.18
2	0	0.73	0	0.27	1	0.18
3	0	0.87	0	0.13	1	0.18
4	0	0.8	0	0.2	1	0.18
5	0	0.66	0	0.34	1	0.18
6	0	0.84	0	0.16	1	0.18
7	0	0.88	0	0.12	1	0.18
8	0	0.93	0	0.066	1	0.18
9	0	0.79	0	0.21	1	0.18
10	0	0.61	0	0.39	1	0.18
11	0	0.86	0	0.14	1	0.18
12	0	0.76	0	0.24	1	0.18
13	0	0.59	0	0.41	1	0.18
14	0	0	1	0	2	0.02
15	0	0.75	0	0.25	1	0.18
16	0	0.95	0	0.049	1	0.18
17	0	0.96	0	0.042	1	0.18
18	0	0	1	0	2	0.02
19	0	0.92	0	0.08	1	0.18
20	0	0.7	0	0.3	1	0.18
21	0	0.95	0	0.053	1	0.18
22	0	0.33	0	0.67	3	0.14
23	0	0.72	0	0.28	1	0.18
24	0	0.97	0	0.032	1	0.18
25	0	0.85	0	0.15	1	0.18
26	0	0.9	0	0.1	1	0.18
27	0	0	1	0	2	0.02
28	0	0.8	0	0.2	1	0.18
29	0	1	0	0.00089	1	0.18
30	0	0.89	0	0.11	1	0.18
31	0	0.81	0	0.19	1	0.18
32	0	1	0	0.00067	1	0.18
33	0	0.89	0	0.11	1	0.18
34	0	0.86	0	0.14	1	0.18
35	0	0.68	0	0.32	1	0.18
36	0	0.74	0	0.26	1	0.18
37	0	0.77	0	0.23	1	0.18
38	0	0.89	0	0.11	1	0.18
39	0	1	0	0.002	1	0.18
40	0	0.98	0	0.017	1	0.18
41	0	0.72	0	0.28	1	0.18
42	0	0.87	0	0.13	1	0.18
43	0	0.33	0	0.67	3	0.14
44	0	0.92	0	0.077	1	0.18
45	0	0.82	0	0.18	1	0.18
46	0	0.81	0	0.19	1	0.18
47	0	0.99	0	0.015	1	0.18
48	0	0.99	0	0.011	1	0.18
49	0	0.94	0	0.064	1	0.18
50	0	1	0	0.003	1	0.18
51	0	0.95	0	0.047	1	0.18
52	0	0.56	0	0.44	1	0.18
53	0	0.95	0	0.049	1	0.18
54	0	0	1	0	2	0.02
55	0	0.99	0	0.011	1	0.18
56	0	0.77	0	0.23	1	0.18
57	0	0.91	0	0.092	1	0.18
58	0	0.91	0	0.09	1	0.18
59	0	0.99	0	0.01	1	0.18
60	0	0.85	0	0.15	1	0.18
61	0	0.87	0	0.13	1	0.18
62	0	0.14	0	0.86	3	0.14
63	0	0.98	0	0.021	1	0.18
64	0	0.98	0	0.019	1	0.18
65	0	0.26	0	0.74	3	0.14
66	0	0.96	0	0.035	1	0.18
67	0	0.39	0	0.61	3	0.14
68	0	0.92	0	0.083	1	0.18
69	0	0.62	4.1e-05	0.38	1	0.18
70	0	0.97	0	0.027	1	0.18
71	0	0.95	0	0.045	1	0.18
72	0	0.066	0	0.93	3	0.14
73	0	0.8	1.7e-05	0.2	1	0.18
74	0	0.95	0	0.053	1	0.18
75	0	0.65	0	0.35	1	0.18
76	0	0.8	0	0.2	1	0.18
77	0	0.74	0.008	0.25	1	0.18
78	0	0.7	0	0.3	1	0.18
79	0	0.49	0.00025	0.51	3	0.14
80	0	0.69	0	0.31	1	0.18
81	0	0.96	0	0.043	1	0.18
82	0	0.68	0	0.32	1	0.18
83	0	0.76	0	0.24	1	0.18
84	0	0.98	0	0.025	1	0.18
85	0	0.9	0	0.1	1	0.18
86	0	0.94	0	0.064	1	0.18
87	0	0.95	0	0.05	1	0.18
88	0	0.93	0	0.066	1	0.18
89	0	0.88	0	0.12	1	0.18
90	0	0.76	0	0.24	1	0.18
91	0	0.64	0	0.36	1	0.18
92	0	0.15	3.7e-05	0.85	3	0.14
93	0	0.36	0	0.64	3	0.14
94	0	0.96	0	0.042	1	0.18
95	0	0.99	0	0.0073	1	0.18
96	0	0.85	0	0.15	1	0.18
97	0	0.98	0	0.021	1	0.18
98	0	0.98	0	0.024	1	0.18
99	0	0.86	0	0.14	1	0.18
100	0	0.9	0	0.096	1	0.18
101	0	0.76	0	0.24	1	0.18
102	0	0.97	0	0.028	1	0.18
103	0	0.94	0	0.057	1	0.18
104	0	0.94	0	0.06	1	0.18
105	0	0.91	0	0.094	1	0.18
106	0	0.49	0	0.51	3	0.14
107	0	0.99	0	0.013	1	0.18
108	0	0.99	0	0.0063	1	0.18
