SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0	dcf1
0	0.13	0.65	0.03	0.19	0.003	0	0	0	0	0	1	0.2	0.24
1	0	0	0	0	0	1.3e-06	0	0	0	1	9	0.033	0.069
2	0.2	0.76	0.0013	0.037	0	0	0	0	0	0	1	0.2	0.24
3	0.032	0.83	0.0028	0.13	0.00054	0.00066	0	0	0	4.5e-06	1	0.2	0.24
4	0.12	0.56	0.072	0.22	0.02	0.0035	0	0	0	0	1	0.2	0.24
5	0.068	0.0041	0.88	0.0037	0.0049	0	0.042	0	0	0	2	0.3	0.31
6	0.76	0.042	0.18	0.019	3.4e-05	0	0	0	0	0	0	0.23	0.31
7	0.045	0.021	0.0016	0.0013	0	0	2.6e-06	0.93	0	6.2e-06	7	0	0.14
8	0.069	0.00038	0.93	0.0017	0.0021	0	0	0	0	0	2	0.3	0.31
9	0	0	0.036	0	0	0	0.96	0	0	0	6	0.34	0.61
10	0.5	0.18	0.25	0.063	0.0013	0	2.3e-06	0	0	0	0	0.23	0.31
11	0.064	0.88	0.00087	0.054	3.2e-06	0	0	0	0	0	1	0.2	0.24
12	0.061	0	0.82	0	0	0	0.12	0	0	0	2	0.3	0.31
13	0.015	0	0.92	0	0	0	0.062	0	0	0	2	0.3	0.31
14	0.18	0.024	0.74	0.042	0.016	0	0	0	0	0	2	0.3	0.31
15	0.52	0.015	0.46	0.01	0.00025	0	1.3e-05	0	0	0	0	0.23	0.31
16	0.097	0.0021	0.89	0.0068	0.0066	0	0	0	0	0	2	0.3	0.31
17	0.064	0.0014	0.88	0.03	0.02	0	0	0	0	0	2	0.3	0.31
18	0.12	0.66	0.011	0.21	0.00034	0	0	0	0	0	1	0.2	0.24
19	0.0031	0	0.63	0	0	0	0.37	0	0	0	2	0.3	0.31
20	0.51	0.044	0.41	0.037	0.0015	0	0	0	0	0	0	0.23	0.31
21	0.23	0.56	0.075	0.13	0.0021	3.2e-05	0	0	0	1.5e-06	1	0.2	0.24
22	0.079	0.21	0.075	0.072	0.0096	0.56	0	0	0	0.0011	5	0.13	0.034
23	0.29	0.14	0.31	0.27	0.0022	0	0	0	0	0	2	0.3	0.31
24	0.13	0.23	0.28	0.2	0.16	0.00017	0	0	0	0	2	0.3	0.31
25	0.038	0.8	0.00081	0.16	1.7e-05	0	0	0	0	0	1	0.2	0.24
26	0.39	0.15	0.33	0.13	0.0069	0	0	0	0	0	0	0.23	0.31
27	0.05	0.54	0.032	0.36	0.025	0	0	0	0	0	1	0.2	0.24
28	0.75	0.18	0.022	0.048	3.7e-06	0	0	0	0	0	0	0.23	0.31
29	0.14	0.085	0.53	0.084	0.16	5.2e-06	0.00021	0	0	0	2	0.3	0.31
