SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0	dcf1
0	0.11	0	0.16	0	0	0.025	0.16	0	0.029	7.1e-05	0	0.16	0.011	0	0	0.16	0.16	2	0.23	0.24
1	0	0	0	0	1.2e-06	0	0	1	0	0	0	0	0	0	0	0	0	7	0.033	0.069
2	0.066	0	0.012	0	0	0.6	0.012	0	0.00048	0	0	0.012	0.27	0	0	0.012	0.012	5	0.17	0.31
3	0.043	0	0.18	0	0.001	0.038	0.18	7.8e-06	0.0043	8.1e-06	0	0.18	0.017	0	0	0.18	0.18	2	0.23	0.24
4	0.094	0	0.16	0	0.0029	0.013	0.16	0	0.061	0.0024	0	0.16	0.0061	0	0	0.16	0.16	2	0.23	0.24
5	0.059	0	0.0032	0.049	0	0.0018	0.0032	0	0.86	0.012	0	0.0032	0.00083	0	0	0.0032	0.0032	8	0.3	0.31
6	0.68	0	0.017	0	0	0.038	0.017	0	0.18	0	0	0.017	0.017	0	0	0.017	0.017	0	0.23	0.31
7	0.025	0	0.00067	0	0	0.23	0.00067	4.3e-06	0.00097	0	0	0.00067	0.11	0.63	0	0.00067	0.00067	13	0	0.14
8	0.062	0	0.0015	0	0	2.7e-05	0.0015	0	0.93	0.00021	0	0.0015	1.2e-05	0	0	0.0015	0.0015	8	0.3	0.31
9	0	0	0	0.97	0	0	0	0	0.03	0	0	0	0	0	0	0	0	3	0.34	0.61
10	0.41	0	0.05	2.5e-06	0	0.07	0.05	0	0.23	5.2e-05	0	0.05	0.032	0	0	0.05	0.05	0	0.23	0.31
11	0.079	0	0.065	0	0	0.41	0.065	0	0.0012	0	0	0.065	0.19	0	0	0.065	0.065	5	0.17	0.31
12	0.053	0	0	0.13	0	3.1e-05	0	0	0.81	0	0	0	1.4e-05	0	0	0	0	8	0.3	0.31
13	0.013	0	0	0.072	0	5.3e-06	0	0	0.91	0	0	0	1.5e-06	0	0	0	0	8	0.3	0.31
14	0.15	0	0.033	0	0	0.00057	0.033	0	0.68	0.0011	0	0.033	0.00026	0	0	0.033	0.033	8	0.3	0.31
15	0.47	0	0.0088	1.6e-05	0	0.016	0.0088	0	0.47	6.1e-06	0	0.0088	0.0075	0	0	0.0088	0.0088	8	0.3	0.31
16	0.085	0	0.0059	0	0	8.5e-05	0.0059	0	0.88	0.00073	0	0.0059	3.9e-05	0	0	0.0059	0.0059	8	0.3	0.31
17	0.053	0	0.024	0	0	0	0.024	0	0.83	1.2e-05	0	0.024	0	0	0	0.024	0.024	8	0.3	0.31
18	0.1	0	0.17	0	0	0.012	0.17	0	0.01	0	0	0.17	0.0053	0	0	0.17	0.17	2	0.23	0.24
19	0.0025	0	0	0.41	0	0	0	0	0.59	0	0	0	0	0	0	0	0	8	0.3	0.31
20	0.44	0	0.031	0	0	0.0083	0.031	0	0.39	3.1e-05	0	0.031	0.0038	0	0	0.031	0.031	0	0.23	0.31
21	0.21	0	0.11	0	3.2e-05	0.11	0.11	1.7e-06	0.076	0.00012	0	0.11	0.048	0	0	0.11	0.11	0	0.23	0.31
22	0.067	0	0.059	0	0.54	0.016	0.059	0.0011	0.072	0.0034	0	0.059	0.0071	0	0	0.059	0.059	4	0.13	0.034
23	0.15	0	0.13	0	0	0.00023	0.13	0	0.18	0	0	0.13	0.0001	0	0	0.13	0.13	8	0.3	0.31
24	0.081	0	0.13	0	0.00013	0.0023	0.13	0	0.21	0.08	0	0.13	0.0011	0	0	0.13	0.13	8	0.3	0.31
25	0.044	0	0.19	0	0	0.0097	0.19	0	0.0011	0	0	0.19	0.0044	0	0	0.19	0.19	2	0.23	0.24
26	0.28	0	0.089	0	0	0.0052	0.089	0	0.26	0.00013	0	0.089	0.0024	0	0	0.089	0.089	0	0.23	0.31
27	0.028	0	0.19	0	0	0.00097	0.19	0	0.02	0.00042	0	0.19	0.00044	0	0	0.19	0.19	2	0.23	0.24
28	0.66	0	0.041	0	0	0.079	0.041	0	0.022	0	0	0.041	0.036	0	0	0.041	0.041	0	0.23	0.31
29	0.085	0	0.051	0.00018	3.6e-06	0.0022	0.051	0	0.37	0.29	0	0.051	0.00098	0	0	0.051	0.051	8	0.3	0.31
30	0.14	0	0.16	0	0	0.0021	0.16	0	0.041	0	0	0.16	0.00098	0	0	0.16	0.16	2	0.23	0.24
31	0.16	0	0.12	0	0	0.0017	0.12	0	0.22	0.00052	0	0.12	0.00077	0	0	0.12	0.12	8	0.3	0.31
32	0.86	0	0.0035	0	0	0.053	0.0035	0	0.044	0	0	0.0035	0.024	0	0	0.0035	0.0035	0	0.23	0.31
33	6e-05	0	0.2	0	0	0	0.2	0	9e-05	0.00018	0	0.2	0	0	0	0.2	0.2	2	0.23	0.24
34	0.045	0	0.098	0	0	1.1e-05	0.098	0	0.46	0.0084	0	0.098	4.8e-06	0	0	0.098	0.098	8	0.3	0.31
35	0.35	0	0.074	0	0	0.13	0.074	0	0.091	5e-05	0	0.074	0.06	0	0	0.074	0.074	0	0.23	0.31
36	0.52	0	0.018	0	0	0.25	0.018	0	0.029	0	0	0.018	0.11	0	0	0.018	0.018	0	0.23	0.31
37	0	0.5	0	0	0.00051	0	0	0	0	0	0.5	0	0	0	3.5e-05	0	0	1	0.11	0
38	0	0.5	0	0	0.00016	0	0	0	0	0	0.5	0	0	0	0.0024	0	0	1	0.11	0
39	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0.93	0	0	0	13	0	0.14
40	0.014	0	0.0049	0	0	0.66	0.0049	0	1.3e-05	0	0	0.0049	0.3	0	0	0.0049	0.0049	5	0.17	0.31
41	0.12	0	0.17	0	0	0.00086	0.17	0	0.057	2.8e-06	0	0.17	0.00039	0	0	0.17	0.17	2	0.23	0.24
42	0.22	0	0.093	0	0	0.0037	0.093	0	0.31	0.00085	0	0.093	0.0017	0	0	0.093	0.093	8	0.3	0.31
43	0.29	0	0.086	0	0	0.0088	0.086	0	0.27	0.00028	0	0.086	0.004	0	0	0.086	0.086	0	0.23	0.31
44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0.13	0.034
45	0.084	0	0.13	0	1.3e-05	0.0028	0.13	0	0.2	0.078	0	0.13	0.0013	0	0	0.13	0.13	8	0.3	0.31
46	0	0.38	0	0	0.058	0	0	0	0	0	0.38	0	0	0	0.18	0	0	1	0.11	0
47	0.096	0	0.011	0	0	5.6e-06	0.011	0	0.85	2.3e-05	0	0.011	2.6e-06	0	0	0.011	0.011	8	0.3	0.31
48	0	0	0	0	0	0	0	5.6e-06	0	0	0	0	0	1	0	0	0	13	0	0.14
49	0.11	0	0.15	0	9.3e-06	0.078	0.15	0	0.015	1.9e-05	0	0.15	0.035	0	0	0.15	0.15	2	0.23	0.24
50	0.39	0	0.069	1.6e-06	0	0.096	0.069	0	0.13	6.7e-05	0	0.069	0.044	0	0	0.069	0.069	0	0.23	0.31
51	0	0.5	0	0	0.0074	0	0	8.8e-06	0	0	0.5	0	0	0	0.0012	0	0	1	0.11	0
52	0.057	0	0.18	0	0	0.025	0.18	0	0.0013	0	0	0.18	0.011	0	0	0.18	0.18	2	0.23	0.24
53	0.046	0	0.0083	2e-06	0	5.7e-05	0.0083	0	0.79	0.12	0	0.0083	2.6e-05	0	0	0.0083	0.0083	8	0.3	0.31
54	0.52	0	0.055	0	0	0.074	0.055	0	0.1	1.4e-06	0	0.055	0.034	0	0	0.055	0.055	0	0.23	0.31
55	0.34	0	0.069	0.00014	0	0.049	0.069	0	0.24	0.0011	0	0.069	0.022	0	0	0.069	0.069	0	0.23	0.31
56	0.51	0	0.04	0	0	0.18	0.04	0	0.028	0	0	0.04	0.081	0	0	0.04	0.04	0	0.23	0.31
57	0.044	0	0.19	0	0	0.0066	0.19	0	0.0046	0	0	0.19	0.003	0	0	0.19	0.19	2	0.23	0.24
58	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0.95	0	0	0	13	0	0.14
59	0	0	0	0	0	0	0	0.00051	0	0	0	0	0	1	0	0	0	13	0	0.14
60	0.27	0	0.1	0	0	0.0059	0.1	0	0.21	8.9e-05	0	0.1	0.0027	0	0	0.1	0.1	0	0.23	0.31
61	0.64	0	0.023	0	0	0.12	0.023	0	0.065	0	0	0.023	0.056	0	0	0.023	0.023	0	0.23	0.31
62	0.14	0	0.058	0	0	0.39	0.058	0	0.00092	0	0	0.058	0.18	0	0	0.058	0.058	5	0.17	0.31
63	0.22	0	0.091	0	0	0.21	0.091	0	0.02	2.1e-06	0	0.091	0.095	0	0	0.091	0.091	0	0.23	0.31
64	0.19	0	0.0032	0	0	0.54	0.0032	0	0.002	0	0	0.0032	0.25	0	0	0.0032	0.0032	5	0.17	0.31
65	0.042	0	0.11	0	0.27	0.058	0.11	0.025	0.0042	1.2e-05	0	0.11	0.027	0	0	0.11	0.11	4	0.13	0.034
66	0.32	0	0.065	0	0	0.23	0.065	0	0.026	0	0	0.065	0.1	0	0	0.065	0.065	0	0.23	0.31
67	0.15	0	0.12	0	0	0.16	0.12	0	0.0032	0	0	0.12	0.074	0	0	0.12	0.12	5	0.17	0.31
68	0.029	0	0.16	0	0.00011	0.12	0.16	4.4e-06	0.00043	0	0	0.16	0.055	0	0	0.16	0.16	2	0.23	0.24
69	0.46	0	0.07	0	0	0.13	0.07	0	0.007	0	0	0.07	0.059	0	0	0.07	0.07	0	0.23	0.31
