SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0.038	0.12	0.84	0	0	0	2	0.2	0.24
1	0	2.4e-06	0.012	0	0	0.99	5	0.1	0.034
2	0.0014	0.16	0.84	0	0	0	2	0.2	0.24
3	0.0032	0.027	0.97	0	0	0.00033	2	0.2	0.24
4	0.098	0.13	0.77	0	0	0.00087	2	0.2	0.24
5	0.94	0.054	0.0045	0	0	0	0	0.3	0.31
6	0.22	0.72	0.055	0	0	0	1	0.23	0.31
7	0.002	0.042	0.027	0	0.93	0	4	0	0.14
8	0.95	0.053	0.0004	0	0	0	0	0.3	0.31
9	1	0	0	0	0	0	0	0.3	0.31
10	0.31	0.46	0.23	0	0	0	1	0.23	0.31
11	0.00092	0.05	0.95	0	0	0	2	0.2	0.24
12	0.95	0.052	0	0	0	0	0	0.3	0.31
13	0.99	0.012	0	0	0	0	0	0.3	0.31
14	0.82	0.15	0.027	0	0	0	0	0.3	0.31
15	0.54	0.45	0.018	0	0	0	0	0.3	0.31
16	0.92	0.074	0.0023	0	0	0	0	0.3	0.31
17	0.95	0.051	0.0015	0	0	0	0	0.3	0.31
18	0.014	0.11	0.87	0	0	0	2	0.2	0.24
19	1	0.0036	0	0	0	0	0	0.3	0.31
20	0.49	0.45	0.055	0	0	0	0	0.3	0.31
21	0.091	0.21	0.7	0	0	1.9e-05	2	0.2	0.24
22	0.12	0.093	0.34	0	0	0.45	5	0.1	0.034
23	0.46	0.33	0.21	0	0	0	0	0.3	0.31
24	0.46	0.15	0.39	0	0	1.6e-05	0	0.3	0.31
25	0.00096	0.033	0.97	0	0	0	2	0.2	0.24
26	0.43	0.38	0.2	0	0	0	0	0.3	0.31
27	0.052	0.06	0.89	0	0	0	2	0.2	0.24
28	0.029	0.73	0.24	0	0	0	1	0.23	0.31
29	0.74	0.14	0.12	0	0	0	0	0.3	0.31
30	0.1	0.29	0.61	0	0	0	2	0.2	0.24
31	0.46	0.27	0.27	0	0	0	0	0.3	0.31
32	0.056	0.93	0.015	0	0	0	1	0.23	0.31
33	0.00081	0.00045	1	0	0	0	2	0.2	0.24
34	0.89	0.073	0.041	0	0	0	0	0.3	0.31
