SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.037	0.41	0	0.41	0.029	0	0	7.1e-05	0	0.024	0	0.037	0	0.012	0	0.037	1	0.23	0.24
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1.2e-06	0	10	0.033	0.069
2	0.022	0.03	0	0.03	0.00048	0	0	0	0	0.58	0	0.022	0	0.29	0	0.022	9	0.17	0.31
3	0.014	0.45	0	0.45	0.0043	0	0	8.1e-06	0	0.037	7.8e-06	0.014	0	0.019	0.001	0.014	1	0.23	0.24
4	0.031	0.41	0	0.41	0.061	0	0	0.0024	0	0.013	0	0.031	0	0.0066	0.0029	0.031	1	0.23	0.24
5	0.02	0.0079	0	0.0079	0.86	0	0.049	0.012	0	0.0018	0	0.02	0	0.0009	0	0.02	4	0.3	0.31
6	0.23	0.042	0	0.042	0.18	0	0	0	0	0.037	0	0.23	0	0.019	0	0.23	0	0.23	0.31
7	0.0082	0.0017	0	0.0017	0.00097	0	0	0	0.63	0.22	4.3e-06	0.0082	0	0.11	0	0.0082	8	0	0.14
8	0.021	0.0037	0	0.0037	0.93	0	0	0.00021	0	2.6e-05	0	0.021	0	1.3e-05	0	0.021	4	0.3	0.31
9	0	0	0	0	0.03	0	0.97	0	0	0	0	0	0	0	0	0	6	0.34	0.61
10	0.14	0.13	0	0.13	0.23	0	2.5e-06	5.2e-05	0	0.068	0	0.14	0	0.034	0	0.14	4	0.3	0.31
11	0.026	0.16	0	0.16	0.0012	0	0	0	0	0.39	0	0.026	0	0.2	0	0.026	9	0.17	0.31
12	0.018	0	0	0	0.81	0	0.13	0	0	3e-05	0	0.018	0	1.5e-05	0	0.018	4	0.3	0.31
13	0.0044	0	0	0	0.91	0	0.072	0	0	5.1e-06	0	0.0044	0	2.6e-06	0	0.0044	4	0.3	0.31
14	0.05	0.083	0	0.083	0.68	0	0	0.0011	0	0.00055	0	0.05	0	0.00028	0	0.05	4	0.3	0.31
15	0.16	0.022	0	0.022	0.47	0	1.6e-05	6.1e-06	0	0.016	0	0.16	0	0.008	0	0.16	4	0.3	0.31
16	0.028	0.015	0	0.015	0.88	0	0	0.00073	0	8.2e-05	0	0.028	0	4.1e-05	0	0.028	4	0.3	0.31
17	0.018	0.06	0	0.06	0.83	0	0	1.2e-05	0	0	0	0.018	0	0	0	0.018	4	0.3	0.31
18	0.033	0.44	0	0.44	0.01	0	0	0	0	0.011	0	0.033	0	0.0057	0	0.033	1	0.23	0.24
19	0.00085	0	0	0	0.59	0	0.41	0	0	0	0	0.00085	0	0	0	0.00085	4	0.3	0.31
20	0.15	0.078	0	0.078	0.39	0	0	3.1e-05	0	0.008	0	0.15	0	0.0041	0	0.15	4	0.3	0.31
21	0.07	0.28	0	0.28	0.076	0	0	0.00012	0	0.1	1.7e-06	0.07	0	0.052	3.2e-05	0.07	1	0.23	0.24
22	0.022	0.15	0	0.15	0.072	0	0	0.0034	0	0.015	0.0011	0.022	0	0.0076	0.54	0.022	14	0.13	0.034
23	0.05	0.34	0	0.34	0.18	0	0	0	0	0.00022	0	0.05	0	0.00011	0	0.05	1	0.23	0.24
24	0.027	0.31	0	0.31	0.21	0	0	0.08	0	0.0023	0	0.027	0	0.0011	0.00013	0.027	1	0.23	0.24
25	0.015	0.47	0	0.47	0.0011	0	0	0	0	0.0094	0	0.015	0	0.0048	0	0.015	1	0.23	0.24
26	0.094	0.22	0	0.22	0.26	0	0	0.00013	0	0.005	0	0.094	0	0.0025	0	0.094	4	0.3	0.31
27	0.0092	0.48	0	0.48	0.02	0	0	0.00042	0	0.00093	0	0.0092	0	0.00047	0	0.0092	1	0.23	0.24
28	0.22	0.1	0	0.1	0.022	0	0	0	0	0.077	0	0.22	0	0.039	0	0.22	0	0.23	0.31
29	0.028	0.13	0	0.13	0.37	0	0.00018	0.29	0	0.0021	0	0.028	0	0.0011	3.6e-06	0.028	4	0.3	0.31
30	0.047	0.41	0	0.41	0.041	0	0	0	0	0.0021	0	0.047	0	0.0011	0	0.047	1	0.23	0.24
