k	loglikelihood	observations	parameters	BIC
1	-5173.93	3862	4	10380.9
2	-3362.03	3862	6	6773.61
3	-2913.22	3862	8	5892.52
4	-2662.58	3862	10	5407.75
5	-2599.81	3862	12	5298.73
6	-2532.09	3862	14	5179.8
7	-2522.22	3862	16	5176.58
8	-2438.71	3862	18	5026.09
9	-2427.2	3862	20	5019.57
10	-2423.41	3862	22	5028.51
11	-2427.06	3862	24	5052.34
12	-2422.94	3862	26	5060.61
13	-2415.54	3862	28	5062.34
14	-2404.59	3862	30	5056.95
15	-2404.59	3862	32	5073.47
16	-2404.59	3862	34	5089.99
17	-2404.59	3862	36	5106.5
18	-2397.76	3862	38	5109.37
19	-2399.08	3862	40	5128.52
20	-2397.12	3862	42	5141.11
