SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0	dcf1	dcf2
0	0.08	0.69	0	0.14	0.091	1	0.33	0.39	0.4
1	0.4	0.54	0	0.059	0	1	0.33	0.39	0.4
2	6.2e-06	1	0	4.5e-06	0	1	0.33	0.39	0.4
3	0.34	0.66	0	5.5e-05	0	1	0.33	0.39	0.4
4	0.018	0.7	0	0.00075	0.28	1	0.33	0.39	0.4
5	1	6.2e-05	0	9.3e-05	0	0	0.19	0.24	0.27
6	0.46	0.5	0	0.031	0	1	0.33	0.39	0.4
7	1	0	0	0	0	0	0.19	0.24	0.27
8	0	0	1	0	0	2	0	0.16	0.21
9	0	0	1	0	0	2	0	0.16	0.21
10	0	0	1	0	0	2	0	0.16	0.21
11	0	1	0	0	0	1	0.33	0.39	0.4
12	0.036	0	0	0.96	0	3	0.47	0.39	0.47
13	0.15	0.84	0	0.0047	0	1	0.33	0.39	0.4
14	0	0	1	0	0	2	0	0.16	0.21
15	0.0057	0.92	0	0.078	0	1	0.33	0.39	0.4
16	2e-05	1	0	0	0	1	0.33	0.39	0.4
17	0.15	0.84	0	0.011	0	1	0.33	0.39	0.4
18	1	0	0	0	0	0	0.19	0.24	0.27
19	0.26	0.74	0	0.00026	0	1	0.33	0.39	0.4
20	0.067	0.57	0	0.36	0	1	0.33	0.39	0.4
21	1	0	0	0	0	0	0.19	0.24	0.27
22	0.35	0.52	0	0.13	0	1	0.33	0.39	0.4
23	0	0	0	0	1	4	0.18	0.24	0.088
24	0	1	0	0	0	1	0.33	0.39	0.4
25	0.47	0.47	0	0.065	0	1	0.33	0.39	0.4
26	1	0.00075	0	0.0034	0	0	0.19	0.24	0.27
27	0.00036	1	0	0	0	1	0.33	0.39	0.4
28	0.05	0.41	0	0.54	0	3	0.47	0.39	0.47
29	0	1	0	4.5e-05	0	1	0.33	0.39	0.4
30	7.3e-06	1	0	0	0	1	0.33	0.39	0.4
31	0	1	0	0.0002	0	1	0.33	0.39	0.4
32	0	0	1	0	0	2	0	0.16	0.21
33	0.22	0.77	0	0.0012	0	1	0.33	0.39	0.4
34	1	0	0	0	0	0	0.19	0.24	0.27
35	1	0.0033	0	5.1e-05	0	0	0.19	0.24	0.27
36	0	0	0	0	1	4	0.18	0.24	0.088
37	0.02	0.97	0	0.0074	0	1	0.33	0.39	0.4
38	0.57	0.28	0	0.15	0	0	0.19	0.24	0.27
39	0.22	0.78	0	0.00031	0	1	0.33	0.39	0.4
40	0	0	1	0	0	2	0	0.16	0.21
41	0	1	0	0	0	1	0.33	0.39	0.4
42	0.0013	1	0	0	0	1	0.33	0.39	0.4
43	0.98	0.023	0	0.00011	0	0	0.19	0.24	0.27
44	1	0	0	0	0	0	0.19	0.24	0.27
45	0	0	1	0	0	2	0	0.16	0.21
46	0.0055	0	0	0	0.99	4	0.18	0.24	0.088
47	0.15	0.85	0	0.004	0	1	0.33	0.39	0.4
48	1	0.00012	0	2.7e-05	0	0	0.19	0.24	0.27
49	0.92	0.047	0	0.034	0	0	0.19	0.24	0.27
50	3.5e-06	1	0	0	0	1	0.33	0.39	0.4
51	0.34	0.66	0	0.0036	0	1	0.33	0.39	0.4
52	0.94	0.055	0	0.0047	0	0	0.19	0.24	0.27
53	0.063	0.94	0	0.00014	0	1	0.33	0.39	0.4
