SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0	dcf1	dcf2
0	3.4e-06	0.019	0	0.066	0.91	0.00079	7.2e-05	0	0	3e-05	0	0.0011	4	0.19	0.16	0.21
1	0.013	0.26	0	0.013	0.51	0	0.017	0.05	1.4e-06	0.13	0	0.007	4	0.19	0.16	0.21
2	0.0018	0.34	0	3.8e-05	0.6	0	0.0091	0.049	0	0.0018	0	0	4	0.19	0.16	0.21
3	0	1.6e-05	0	0	1	0	0.0022	0.0002	0	0	0	0	4	0.19	0.16	0.21
4	0.00027	0.6	0	0.018	0.35	0.031	0	0	0	6.5e-06	0	0.00016	1	0.33	0.39	0.34
5	0.15	0.001	0	0	0.49	0	0.0001	0.0014	0	0.36	0	0	4	0.19	0.16	0.21
6	0.029	0.29	0	0.0049	0.19	0	0.036	0.16	0	0.29	0	0.0007	1	0.33	0.39	0.34
7	0	0	0	0	1	0	0	0	0	0	0	0	4	0.19	0.16	0.21
8	0	0	1	0	0.00018	0	0	0	2e-05	0	0	0	2	0	0.16	0.21
9	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
10	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
11	0.16	0.84	0	0	1.1e-05	0	0	0	0	0	0	0	1	0.33	0.39	0.34
12	0	0	0	0	1	0	9.4e-06	0	0	7e-06	0	0	4	0.19	0.16	0.21
13	0.012	0.79	0	0.13	0.059	0	7.1e-06	0	0	0.00058	0	0.0097	1	0.33	0.39	0.34
14	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
15	0.0015	0.59	0	0.13	0.27	0	0.00014	6.4e-05	0	0.0073	0	0.0079	1	0.33	0.39	0.34
16	0.09	0.91	0	0.00016	0.0017	0	0	0	0	0	0	0	1	0.33	0.39	0.34
17	0.048	0.58	0	0.01	0.04	0	0.13	0.13	0	0.052	0	0.0018	1	0.33	0.39	0.34
18	0	0	0	0	1	0	0	0	0	0	0	0	4	0.19	0.16	0.21
19	0.0022	0.12	0	2.5e-05	0.88	0	0.0014	0	0	1.6e-05	0	0	4	0.19	0.16	0.21
20	0	0.003	0	9.3e-05	1	0	2.4e-05	0	0	0.00015	0	0	4	0.19	0.16	0.21
21	0	0	0	0	0	0	0	0	1	0	0	0	8	0.19	0.018	0.21
22	9.1e-05	0.11	0	0.0033	0.88	0	0.00027	2.8e-05	0	0.0017	0	0	4	0.19	0.16	0.21
23	0	0	0	0	0	1	0	0	0	0	0	0	5	0.18	0.24	0.088
24	0.0071	0.99	0	0	0	0	0	0	0	0	0	0	1	0.33	0.39	0.34
25	0.0005	0.063	0	0.00079	0.91	0	0.0092	0.0017	0	0.0099	0	6.3e-06	4	0.19	0.16	0.21
26	0	0	0	0	1	0	0.00032	0	0	0	0	0	4	0.19	0.16	0.21
27	0.11	0.89	0	0.0019	0	0	0	0	0	0	0	0	1	0.33	0.39	0.34
28	0.00022	0.14	0	0.046	0.62	0	0.0034	0.0073	0	0.17	0	0.014	4	0.19	0.16	0.21
29	5.9e-05	0.97	0	0.025	0.0012	0	0	0	0	0	0	0	1	0.33	0.39	0.34
30	0.00083	0.98	0	0.021	0	0	0	0	0	0	0	0	1	0.33	0.39	0.34
31	0.00043	0.96	0	0.02	0.021	0	0	0	0	0	0	0	1	0.33	0.39	0.34
32	0	0	0.39	0	0.59	0	0	0	0.019	0	0	0	4	0.19	0.16	0.21
33	0.019	0.16	0	0.00027	0.82	0	0.0031	5.5e-05	0	0.00026	0	0	4	0.19	0.16	0.21
34	0	0	0	0	1	0	0	0	0	0	0	0	4	0.19	0.16	0.21
35	0.027	0.012	0	0	0.35	0	0.61	0.0084	0	0.00092	0	0	6	0.4	0.54	0.53
36	0	0	0	0	0	0	0	0	0	0	1	0	10	0.18	0.24	0
37	0.0034	0.65	0	0.012	0.33	0	8.8e-05	0	0	0.00016	0	1.7e-05	1	0.33	0.39	0.34
38	0.0034	0.14	0	0.017	0.76	0	0.009	0.0095	0	0.061	0	0.0049	4	0.19	0.16	0.21
39	0	0.0031	0	0.00035	1	0	0	0	0	0	0	0	4	0.19	0.16	0.21
40	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
41	0	0.99	0	0.0038	0.0038	0	0	0	0	0	0	0	1	0.33	0.39	0.34
42	0.00041	0.005	0	0	0.99	0	0.00011	0	0	0	0	0	4	0.19	0.16	0.21
43	0.046	0.12	0	0.0004	0.45	0	0.38	0.0075	0	0.0011	0	0	4	0.19	0.16	0.21
44	0	0	0	0	1	0	0	0	0.0015	0	0	0	4	0.19	0.16	0.21
45	0	0	1	0	0.0015	0	0	0	0.00017	0	0	0	2	0	0.16	0.21
46	0	0	0	0	0.28	0.72	0	0	0	0	0	0	5	0.18	0.24	0.088
47	0	0.0038	0	0	1	0	4.5e-05	0	0	3.3e-06	0	0	4	0.19	0.16	0.21
48	6.4e-05	2.3e-05	0	0	0.74	0	0.25	0.00054	0	0.00012	0	0	4	0.19	0.16	0.21
49	0.0041	0.042	0	0.0019	0.6	0	0.19	0.081	0	0.085	0	0.0001	4	0.19	0.16	0.21
50	3.5e-06	1	0	7.3e-05	0.0011	0	0	0	0	0	0	0	1	0.33	0.39	0.34
51	0.0029	0.1	0	0.00032	0.86	0	0.0094	0.019	0	0.0065	0	8.8e-05	4	0.19	0.16	0.21
52	0.009	0.012	0	5.6e-05	0.59	0	0.17	0.095	0	0.12	0	0	4	0.19	0.16	0.21
53	0	0.00014	0	9.7e-05	1	0	0	6.6e-05	0	3.3e-05	0	0.00015	4	0.19	0.16	0.21
54	0	0	2.9e-05	0	4.9e-05	0	0	0	1	0	0	0	8	0.19	0.018	0.21
55	0	0	0	0	0.99	0	0.0021	0.0047	0	0.00018	0	0	4	0.19	0.16	0.21
56	0.00059	1	0	0	0	0.00045	0	0	0	0	0	0	1	0.33	0.39	0.34
57	0	0	0	2.2e-06	0.94	0	0.027	0.032	0	0.0031	0	0	4	0.19	0.16	0.21
58	0.0011	0.98	0	0	0.0017	0	0	0.0019	0	0.013	0	0	1	0.33	0.39	0.34
59	0	0	0	0	1	0	0	0.00013	0	5.1e-06	0	0	4	0.19	0.16	0.21
60	0	0.62	0	0.0073	1.3e-05	0.37	0	0	0	0	0	0	1	0.33	0.39	0.34
61	0.00016	0.0028	0	0.00028	0.81	0	0.15	0.023	0	0.011	0	1.2e-05	4	0.19	0.16	0.21
62	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
63	0.0038	0.63	0	0.0049	0.34	0.017	2.7e-05	0	0	8.3e-05	0	0.00011	1	0.33	0.39	0.34
64	0.0067	0	0.37	0	0.63	0	0	0	0	0	0	0	4	0.19	0.16	0.21
65	1.9e-05	0.0076	0	8.7e-05	0.84	0	0.028	0.012	0	0.11	0	0	4	0.19	0.16	0.21
66	0.0096	0.38	0	0.016	0.58	2.6e-05	0.0041	0.001	0	0.0086	0	0.0014	4	0.19	0.16	0.21
67	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
68	0	0	0	0	0.97	0.028	0	0	0	0	0	0	4	0.19	0.16	0.21
69	0	0.75	0	0.084	0.16	0	0	0	0	0	0	0	1	0.33	0.39	0.34
70	0.00066	0.32	0	0.00025	0.68	0	1.5e-05	0	0	7.4e-06	0	0	4	0.19	0.16	0.21
71	0.017	0.52	0	0.00062	0.46	0	0.00018	0	0	3.4e-05	0	0	1	0.33	0.39	0.34
72	0.17	0.36	0	0.00031	0.39	0	0.084	9.2e-05	0	5.9e-06	0	0	4	0.19	0.16	0.21
73	0.0007	0.085	0	0.0095	0.89	0.016	0	0	0	0	0	0	4	0.19	0.16	0.21
74	0	0	0	0	1	4.8e-06	0	0	0	0	0	0	4	0.19	0.16	0.21
75	0.0019	0.52	0	0.0058	0.48	0	2.5e-05	0	0	9.7e-05	0	0	1	0.33	0.39	0.34
76	0	0	0	0	1	0	0	0	0	0	0	0	4	0.19	0.16	0.21
77	0.00015	0.092	0	0.0061	0.9	0	0.00062	9.1e-05	0	0.0037	0	3e-05	4	0.19	0.16	0.21
78	0	0.001	0	1.5e-05	1	0	0	0	0	2e-05	0	0	4	0.19	0.16	0.21
79	0.00028	0.0027	0	0.00038	0.053	0	0.16	0.54	0	0.24	0	7.8e-05	7	0.47	0.46	0.6
80	0	0.0049	0	0	1	0	0	0	0	0	0	0	4	0.19	0.16	0.21
81	0	0.12	0	0.88	0.0076	0	0	0	0	4.1e-06	0	0.00035	3	0.4	0.31	0.34
82	4.9e-05	0.0053	0	1.8e-05	0.98	0	0.0032	0.00031	0	0.014	0	0	4	0.19	0.16	0.21
83	6.6e-06	0.22	0	0.00039	0.78	0	0	0	0	0	0	0	4	0.19	0.16	0.21
84	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0.16	0.21
85	0	0.19	0	0.00045	0.81	0	0	0	0	0	0	1.7e-05	4	0.19	0.16	0.21
86	0.058	0.93	0	0.0017	0.0052	0	0.0017	1.7e-05	0	0.00014	0	1.1e-06	1	0.33	0.39	0.34
