k	loglikelihood	observations	parameters	BIC
1	-7933.95	10821	6	15923.6
2	-6664.46	10821	9	13412.5
3	-5421.73	10821	12	10954.9
4	-6024	10821	15	12187.3
5	-6264.72	10821	18	12696.6
6	-5359.07	10821	21	10913.2
7	-5160.01	10821	24	10543
8	-5443.39	10821	27	11137.6
9	-5217.53	10821	30	10713.7
10	-5571.16	10821	33	11448.9
11	-5351.77	10821	36	11038
12	-5465.73	10821	39	11293.7
13	-5164.48	10821	42	10719.1
14	-5236.72	10821	45	10891.5
15	-5290.74	10821	48	11027.4
16	-4988.73	10821	51	10451.2
17	-5266.82	10821	54	11035.3
18	-5491.33	10821	57	11512.1
19	-5000.21	10821	60	10557.8
20	-5246.57	10821	63	11078.4
