SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1	dcf2
0	0.0046	0.0023	2.3e-05	0.15	0	0	0	0.0018	0	0	0	0	0.84	0	0.0014	12	0.19	0.24	0.21
1	0.089	0.00026	0.092	0.2	0	0	0	0.18	0.012	0	0	0	0.25	0	0.17	12	0.19	0.24	0.21
2	0	7.7e-05	0	0.01	0	0	0	0.98	0.0052	0	0	0	1.1e-05	0	0.0053	7	0.33	0.39	0.47
3	0	8e-05	0	6.9e-06	0	0	0	0.21	5.5e-06	0	0	0	0.0032	0	0.79	14	0.19	0.16	0.27
4	0.073	0	0.00076	0.72	0	0	0	0.0052	8.6e-05	0	0	0	0.19	0	0.0032	3	0.33	0.39	0.34
5	4e-06	0	0.013	6.4e-06	0	0	0	0.039	0.0007	0	0	0	0.00025	0	0.95	14	0.19	0.16	0.27
6	0.12	0.00012	0.29	0.18	0	0	0	0.14	0.029	0	0	0	0.13	0	0.1	2	0.26	0.24	0.34
7	0	0	0.0001	0	0	0	0	0	0	0	0	0	8.9e-06	0	1	14	0.19	0.16	0.27
8	0	0	0	0	0	6.5e-06	3.8e-05	0	0	0	0.68	0.28	0	0.036	0	10	0	0	0.26
9	0	0	0	0	0	0	0	0	0	0	0	1	0	0.00024	0	11	0	0.16	0.21
10	0	0	0	0	0	0	0	0	0	0	1	7.4e-06	0	0	0	10	0	0	0.26
11	0	0	0	0.96	0	0	0	0.00021	0.036	0	0	0	0	0	0	3	0.33	0.39	0.34
12	0	0.0055	4.6e-05	0	0	0	0	0	0	0	0	0	0.027	0	0.97	14	0.19	0.16	0.27
13	0.54	0	0.2	0.24	0	0	0	0.014	0.0018	0	0	0	0.0067	0	0.0055	0	0.33	0.24	0.34
14	0	0	0	0	0	0	0	0	0	0	0.98	0.018	0	0.00034	0	10	0	0	0.26
15	0.12	3.1e-05	0.0073	0.77	0	0	0	0.053	0.001	0	0	0	0.018	0	0.026	3	0.33	0.39	0.34
16	0.00037	0	0.00086	0.96	0	0	0	0.0068	0.03	0	0	0	1.2e-05	0	1.8e-05	3	0.33	0.39	0.34
17	0.076	0.00043	0.15	0.25	0	0	0	0.4	0.048	0	0	0	0.014	0	0.066	7	0.33	0.39	0.47
18	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0	0.069	12	0.19	0.24	0.21
19	0	0.00043	0.00016	0.21	0	0	0	0.061	0.0057	0	0	0	0.57	0	0.15	12	0.19	0.24	0.21
20	0	0.00087	6.7e-05	0.057	0	0	0	0.014	0	0	0	0	0.45	0	0.48	14	0.19	0.16	0.27
21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.021	0.16	0.21
