SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0.049	0.054	0.89	0	0	0.0055	0	0	0.0055	0	0	0	0	0	0	0	2	0.12	0.46
1	0.16	0.17	0.66	0	0	0.0026	0	0	0.0026	0	0	0	0	0	0	0	2	0.12	0.46
2	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00012	0	0	10	0	0.46
3	0.0014	0.0015	0.98	0	0	0.0086	0	0	0.0086	0	0	1.8e-06	0	0	1.9e-06	0	2	0.12	0.46
4	0.084	0.093	0.75	2.2e-06	0	0.035	0	0	0.035	0.00026	0	0.00049	0	0	0.0029	0	2	0.12	0.46
5	2.8e-06	3.1e-06	1	0	0	5.4e-06	0	0	5.4e-06	0	0	0	0	0	0	0	2	0.12	0.46
6	0.11	0.13	0.61	0	0	0.075	0	0	0.075	0	0	0	0	0	0	0	2	0.12	0.46
7	0.097	0.11	0.76	0.00056	0	0.012	0	0	0.012	0.0014	0	0.0027	0	0	0.0024	0	2	0.12	0.46
8	9.9e-05	0.00011	1	0	0	0.00022	0	0	0.00022	0	0	0	0	0	0	0	2	0.12	0.46
9	0.059	0.066	0.87	0	0	0.0014	0	0	0.0014	0	0	0	0	0	0	0	2	0.12	0.46
10	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0.6	15	0.11	0
11	0.12	0.13	0.74	0	0	0.0023	0	0	0.0023	0	0	0	0	0	6.8e-06	0	2	0.12	0.46
12	0	0	3.2e-06	0	0	0	0	0	0	0	0.96	0	0	0.04	0	0	10	0	0.46
13	0.021	0.024	0.95	0	0	0.0049	0	0	0.0049	5.2e-06	0	9.8e-06	0	0	2.3e-05	0	2	0.12	0.46
14	0.2	0.23	0.57	0	0	0.002	0	0	0.002	0	0	0	0	0	1.3e-06	0	2	0.12	0.46
15	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0.025	0	0	10	0	0.46
16	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0.037	2	0.12	0.46
17	0.042	0.047	0.44	0	0	0.21	0	0	0.21	0.00084	0	0.0016	0	0	0.051	0	2	0.12	0.46
18	0.1	0.12	0.77	0	0	0.0035	0	0	0.0035	0	0	0	0	0	0	0	2	0.12	0.46
19	0.037	0.041	0.92	0	0	5.4e-05	0	0	5.4e-05	0	0	0	0	0	0	0	2	0.12	0.46
20	0.38	0.42	0.21	0	0	0.0002	0	0	0.0002	0	0	0	0	0	0	0	1	0.2	0.46
21	0.06	0.066	0.86	0	0	0.0049	0	0	0.0049	0	0	0	0	0	0	0	2	0.12	0.46
22	0.13	0.14	0.7	9.6e-06	0	0.011	0	0	0.011	0.00014	0	0.00026	0	0	0.00093	0	2	0.12	0.46
23	0.16	0.18	0.64	0	0	0.0069	0	0	0.0069	1.1e-06	0	2.1e-06	0	0	0.00014	0	2	0.12	0.46
24	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0.023	0	0	10	0	0.46
25	0.21	0.23	0.49	0.01	0	0.00097	0	0	0.00097	0.019	0	0.035	0	0	0.0016	0	2	0.12	0.46
26	0.19	0.21	0.59	0	0	0.0031	0	0	0.0031	0	0	0	0	0	1.8e-05	0	2	0.12	0.46
27	0.027	0.03	0.93	0	0	0.0049	0	0	0.0049	0	0	0	0	0	0	0	2	0.12	0.46
28	0.086	0.096	0.73	0.0031	0	0.022	0	0	0.022	0.0091	0	0.017	0	0	0.012	0	2	0.12	0.46
29	0.00069	0.00076	1	0	0	0.0014	0	0	0.0014	0	0	0	0	0	0	0	2	0.12	0.46
30	0.00017	0.00019	0.99	0	0	0.0024	0	0	0.0024	0	0	0	0	0	0	0	2	0.12	0.46
31	0	0	7.7e-06	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.013	0.46
32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0.46
33	0.0049	0.0054	0.99	0	0	0.0015	0	0	0.0015	0	0	0	0	0	0	0	2	0.12	0.46
34	0.002	0.0023	0.98	0	0	0.0058	0	0	0.0058	0	0	0	0	0	1.3e-06	0	2	0.12	0.46
35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.013	0.46
36	1.9e-05	2.1e-05	1	0	0	0.00091	0	0	0.00091	0	0	0	0	0	0	0	2	0.12	0.46
37	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0.0068	0	0	10	0	0.46
38	0	0	0	0	0	0	0	0	0	0	1	0	0	0.00065	0	0	10	0	0.46
39	0.15	0.17	0.67	0	0	0.0024	0	0	0.0024	0	0	0	0	0	4.4e-06	0	2	0.12	0.46
40	0	0	0.77	0	3.7e-06	0	0	0	0	0	0	0	0	0	0	0.23	2	0.12	0.46
41	0.082	0.09	0.83	0	0	0.00098	0	0	0.00098	0	0	0	0	0	0	0	2	0.12	0.46
42	0.11	0.12	0.77	0	0	0.0032	0	0	0.0032	0	0	0	0	0	0	0	2	0.12	0.46
43	0.073	0.081	0.62	0	0	0.11	0	0	0.11	0.00026	0	0.0005	0	0	0.014	0	2	0.12	0.46
44	0.2	0.22	0.46	0	0	0.046	0	0	0.046	9.4e-05	0	0.00018	0	0	0.019	0	2	0.12	0.46
45	0	0	0.87	0	0	0	0	0	0	0	0	0	0	0	0	0.13	2	0.12	0.46
46	0	0	0.4	0	0	0	0	0	0	0	0.6	0	0	0.00011	0	0	10	0	0.46
47	0.082	0.091	0.71	0.0072	0	0.025	0	0	0.025	0.017	0	0.031	0	0	0.017	0	2	0.12	0.46
48	5.7e-05	6.3e-05	1	0	0	0.00064	0	0	0.00064	0	0	0	0	0	0	0	2	0.12	0.46
49	0.37	0.41	0.23	0	0	4.2e-06	0	0	4.2e-06	0	0	0	0	0	0	0	1	0.2	0.46
50	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0.01	0	0	10	0	0.46
51	0.12	0.14	0.73	0	0	0.0056	0	0	0.0056	5.6e-06	0	1.2e-05	0	0	0.00013	0	2	0.12	0.46
52	0	0	0.91	0	0.00014	0	0	0	0	0	0	0	0	0	0	0.095	2	0.12	0.46
53	0.38	0.42	0.18	0	0	0.0094	0	0	0.0094	0	0	0	0	0	0.00027	0	1	0.2	0.46
54	0.13	0.14	0.65	0.00093	0	0.026	0	0	0.026	0.0051	0	0.0097	0	0	0.013	0	2	0.12	0.46
55	0.11	0.12	0.7	0.0002	0	0.025	0	0	0.025	0.002	0	0.0038	0	0	0.0065	0	2	0.12	0.46
56	2.9e-06	3.2e-06	0.98	0	0	0.0078	0	0	0.0078	0	0	0	0	0	0	0	2	0.12	0.46
57	0.078	0.087	0.77	0.026	0	0.012	0	0	0.012	0.005	0	0.0095	0	0	0.00015	0	2	0.12	0.46
58	0.12	0.13	0.73	0	0	0.0089	0	0	0.0089	1.9e-05	0	3.5e-05	0	0	0.0003	0	2	0.12	0.46
59	0.19	0.21	0.6	0	0	0.0027	0	0	0.0027	0	0	0	0	0	3.4e-06	0	2	0.12	0.46
60	0	0	0	0	0	0	0	0	0	0	0.99	0	0	0.014	0	0	10	0	0.46
61	0.075	0.084	0.82	0	0	0.0088	0	0	0.0088	2e-06	0	5.1e-06	0	0	0.00017	0	2	0.12	0.46
62	0.039	0.043	0.89	0.0003	0	0.0098	0	0	0.0098	0.00081	0	0.0015	1.6e-05	9.2e-05	0.00068	0	2	0.12	0.46
