SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0.035	0.011	0	0	0.035	4.7e-06	0	0	0.89	0.032	0	0	0	0	0	0	0	0	8	0.12	0.46
1	0.11	0.0052	0	0	0.11	0	0	0	0.67	0.1	0	0	0	0	0	0	0	0	8	0.12	0.46
2	0	0	0.0018	0	0	0	0	0	0	0	0	0	0.81	0.19	0	0	0	0	12	0	0.41
3	0.00099	0.017	0	0	0.00099	0	0	0	0.98	0.00089	0	0	0	0	0	0	0	0	8	0.12	0.46
4	0.06	0.069	0	0	0.06	0	0	0	0.75	0.054	0.011	0	0	0	0	0	0.00024	0.00011	8	0.12	0.46
5	2e-06	1.1e-05	0	0	2e-06	0	0	0	1	1.8e-06	0	0	0	0	0	0	0	0	8	0.12	0.46
6	0.082	0.15	0	0	0.082	0	0	0	0.61	0.074	0	0	0	0	0	0	0	0	8	0.12	0.46
7	0.07	0.023	0	0	0.07	0	0	0	0.77	0.063	0.0015	0	0	0	0	0	0.00053	0.0033	8	0.12	0.46
8	7.1e-05	0.00044	0	0	7.1e-05	0	0	0	1	6.4e-05	0	0	0	0	0	0	0	0	8	0.12	0.46
9	0.043	0.0029	0	0	0.043	0	0	0	0.87	0.038	0	0	0	0	0	0	0	0	8	0.12	0.46
10	0	0	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0.17	0	0	8	0.12	0.46
11	0.088	0.0046	0	0	0.088	0	0	0	0.74	0.079	4.5e-06	0	0	0	0	0	0	0	8	0.12	0.46
12	0	0	0.15	0	0	0	0	0	9.9e-06	0	0	0	0.63	0.21	0	0	0	0	12	0	0.41
13	0.015	0.0098	0	0	0.015	0	0	0	0.95	0.014	1.8e-06	0	0	0	0	0	1.7e-06	3.2e-06	8	0.12	0.46
14	0.15	0.0041	0	0	0.15	0	0	0	0.57	0.13	1e-06	0	0	0	0	0	0	0	8	0.12	0.46
15	0	0	0.02	0	0	0	0	0	0	0	0	0	0.98	0.0037	0	0	0	0	12	0	0.41
16	0	0	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0.17	0	0	8	0.12	0.46
17	0.022	0.31	0	0	0.022	0	0	0	0.32	0.02	0.3	0	0	0	0	0	0.0017	4.3e-05	8	0.12	0.46
18	0.075	0.0071	0	0	0.075	0	0	0	0.78	0.067	1.8e-06	0	0	0	0	0	0	0	8	0.12	0.46
19	0.026	0.00011	0	0	0.026	0	0	0	0.92	0.024	0	0	0	0	0	0	0	0	8	0.12	0.46
20	0.27	0.0004	0	0	0.27	0	0	0	0.21	0.25	0	0	0	0	0	0	0	0	0	0.2	0.46
21	0.043	0.0098	0	0	0.043	0	0	0	0.87	0.039	4.4e-05	0	0	0	0	0	0	0	8	0.12	0.46
22	0.093	0.022	0	0	0.093	0	0	0	0.71	0.084	0.002	0	0	0	0	0	0.00011	0.00014	8	0.12	0.46
23	0.12	0.014	0	0	0.12	0	0	0	0.64	0.11	6.3e-05	0	0	0	0	0	5.5e-06	0	8	0.12	0.46
24	0	0	0.05	0	0	0	0	0	0	0	0	0	0.92	0.03	0	0	0	0	12	0	0.41
25	0.15	0.0019	0	0	0.15	0	0	0	0.49	0.13	0	0	0	0	0	0	0.0039	0.076	8	0.12	0.46
26	0.14	0.0063	0	0	0.14	0	0	0	0.6	0.12	1.1e-06	0	0	0	0	0	0	0	8	0.12	0.46
27	0.019	0.0098	0	0	0.019	0	0	0	0.93	0.017	1.4e-05	0	0	0	0	0	0	0	8	0.12	0.46
28	0.063	0.044	0	0	0.063	0	0	0	0.75	0.057	0.0024	0	0	0	0	0	0.0032	0.021	8	0.12	0.46
29	0.00049	0.0028	0	0	0.00049	0	0	0	1	0.00044	0	0	0	0	0	0	0	0	8	0.12	0.46
30	0.00012	0.0048	0	0	0.00012	0	0	0	0.99	0.00011	0	0	0	0	0	0	0	0	8	0.12	0.46
31	0	0	1	0	0	0	0	0	6.3e-06	0	0	0	0	0	0	0	0	0	2	0.013	0.46
32	0	0	2.1e-05	0	0	0	0	0	0	0	0	0	0.96	0.036	0	0	0	0	12	0	0.41
33	0.0035	0.0031	0	0	0.0035	0	0	0	0.99	0.0032	0	0	0	0	0	0	0	0	8	0.12	0.46
34	0.0015	0.012	0	0	0.0015	0	0	0	0.98	0.0013	0	0	0	0	0	0	0	0	8	0.12	0.46
35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.013	0.46
36	1.4e-05	0.0018	0	0	1.4e-05	0	0	0	1	1.2e-05	0	0	0	0	0	0	0	0	8	0.12	0.46
37	0	0	0.041	0	0	0	0	0	0	0	0	0	0.72	0.24	0	0	0	0	12	0	0.41
38	0	0	0.0052	0	0	0	0	0	0	0	0	0	0.88	0.11	0	0	0	0	12	0	0.41
39	0.11	0.0048	0	0	0.11	0	0	0	0.67	0.1	7.1e-06	0	0	0	0	0	0	0	8	0.12	0.46
40	0	0	0	4.8e-06	0	0	0	0	0.83	0	0	0	0	0	0	0.17	0	0	8	0.12	0.46
41	0.059	0.002	0	0	0.059	0	0	0	0.83	0.053	0	0	0	0	0	0	0	0	8	0.12	0.46
42	0.078	0.0064	0	0	0.078	0	0	0	0.77	0.07	1.5e-06	0	0	0	0	0	0	0	8	0.12	0.46
43	0.053	0.22	0	0	0.053	0	0	0	0.62	0.047	0.014	0	0	0	0	0	0.00068	2.9e-05	8	0.12	0.46
44	0.15	0.095	0	0	0.15	0	0	0	0.47	0.13	0.00058	0	0	0	0	0	0.00095	1.3e-05	8	0.12	0.46
45	0	0	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0.17	0	0	8	0.12	0.46
46	0	0	6.2e-05	0	0	0.0033	0	0	0.19	0	0	0	0.81	0.00027	0	0	0	0	12	0	0.41
47	0.06	0.051	0	0	0.06	0	0	0	0.72	0.054	0.0064	0	0	0	0	0	0.0049	0.042	8	0.12	0.46
48	4.1e-05	0.0013	0	0	4.1e-05	0	0	0	1	3.7e-05	0	0	0	0	0	0	0	0	8	0.12	0.46
49	0.27	8.5e-06	0	0	0.27	0	0	0	0.23	0.24	0	0	0	0	0	0	0	0	0	0.2	0.46
50	0	0	0.02	0	0	0	0	0	0	0	0	0	0.96	0.02	0	0	0	0	12	0	0.41
51	0.089	0.011	0	0	0.089	0	0	0	0.73	0.08	0.00016	0	0	0	0	0	8.4e-06	3.3e-06	8	0.12	0.46
52	0	0	0	5.3e-05	0	0	0	0	0.83	0	0	0	0	0	0	0.17	0	0	8	0.12	0.46
53	0.28	0.019	0	0	0.28	0	0	0	0.18	0.25	0	0	0	0	0	0	1e-06	0	0	0.2	0.46
54	0.091	0.053	0	0	0.091	0	0	0	0.65	0.082	0.017	0	0	0	0	0	0.0027	0.0085	8	0.12	0.46
55	0.08	0.051	0	0	0.08	0	0	0	0.7	0.072	0.008	0	0	0	0	0	0.0011	0.0026	8	0.12	0.46
56	2.1e-06	0.016	0	0	2.1e-06	0	0	0	0.98	1.9e-06	0	0	0	0	0	0	0	0	8	0.12	0.46
57	0.055	0.025	0	0	0.055	0	0	0	0.76	0.05	0.00043	0	0	0	0	0	0.00015	0.053	8	0.12	0.46
58	0.087	0.018	0	0	0.087	0	0	0	0.73	0.078	0.00049	0	0	0	0	0	2.4e-05	1.1e-05	8	0.12	0.46
59	0.13	0.0054	0	0	0.13	0	0	0	0.61	0.12	0	0	0	0	0	0	0	0	8	0.12	0.46
60	0	0	0.025	0	0	0	0	0	0	0	0	0	0.96	0.018	0	0	0	0	12	0	0.41
