SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0.11	0.89	0	0	0	0	1	0.12	0.46
1	0.34	0.66	0	0	0	0	1	0.12	0.46
2	0	0	0	1	0	0	3	0	0.46
3	0.0031	1	0	0	0	0	1	0.12	0.46
4	0.2	0.8	0.00011	0	0	0	1	0.12	0.46
5	6.2e-06	1	0	0	0	0	1	0.12	0.46
6	0.29	0.71	0	0	0	0	1	0.12	0.46
7	0.22	0.78	0.0033	0	0	0	1	0.12	0.46
8	0.00022	1	0	0	0	0	1	0.12	0.46
9	0.13	0.87	0	0	0	0	1	0.12	0.46
10	0	0.42	0	0	0.58	0	4	0.11	0
11	0.26	0.74	0	0	0	0	1	0.12	0.46
12	0	3.4e-06	0	1	0	0	3	0	0.46
13	0.047	0.95	3.2e-06	0	0	0	1	0.12	0.46
14	0.44	0.56	0	0	0	0	1	0.12	0.46
15	0	0	0	1	0	0	3	0	0.46
16	0	0.97	0	0	0.034	0	1	0.12	0.46
17	0.17	0.83	0.00011	0	0	0	1	0.12	0.46
18	0.23	0.77	0	0	0	0	1	0.12	0.46
19	0.079	0.92	0	0	0	0	1	0.12	0.46
20	0.8	0.2	0	0	0	0	0	0.2	0.46
21	0.13	0.87	0	0	0	0	1	0.12	0.46
22	0.29	0.71	0.00014	0	0	0	1	0.12	0.46
23	0.36	0.64	0	0	0	0	1	0.12	0.46
24	0	0	0	1	0	0	3	0	0.46
25	0.44	0.48	0.075	0	0	0	1	0.12	0.46
26	0.41	0.59	0	0	0	0	1	0.12	0.46
27	0.058	0.94	0	0	0	0	1	0.12	0.46
28	0.2	0.78	0.022	0	0	0	1	0.12	0.46
29	0.0015	1	0	0	0	0	1	0.12	0.46
30	0.00038	1	0	0	0	0	1	0.12	0.46
31	0	1	0	0	0	0	1	0.12	0.46
32	0	0	0	1	0	0	3	0	0.46
33	0.011	0.99	0	0	0	0	1	0.12	0.46
34	0.0045	1	0	0	0	0	1	0.12	0.46
35	0	1	0	0	0	0	1	0.12	0.46
36	4.1e-05	1	0	0	0	0	1	0.12	0.46
37	0	0	0	1	0	0	3	0	0.46
38	0	0	0	1	0	0	3	0	0.46
39	0.33	0.67	0	0	0	0	1	0.12	0.46
40	0	0.78	0	0	0.22	5.1e-06	1	0.12	0.46
41	0.18	0.82	0	0	0	0	1	0.12	0.46
42	0.23	0.77	0	0	0	0	1	0.12	0.46
43	0.2	0.8	3.8e-05	0	0	0	1	0.12	0.46
