SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1
0	0	0.011	0	0	0	0	0	0	0.033	0.036	0	0.033	0	0	0	0	0	0.44	0.44	17	0.12	0.46
1	0	0.0052	0	0	0	0	0	0	0.11	0.12	0	0.11	0	0	0	0	0	0.33	0.33	17	0.12	0.46
2	0	0	0	1	0	0	0	0	0	0	0.00012	0	0	0	0	0	0	0	0	3	0	0.46
3	0	0.017	0	0	0	1.8e-06	0	1e-06	0.00093	0.001	0	0.00093	0	0	1.9e-06	0	0	0.49	0.49	17	0.12	0.46
4	0	0.07	2.2e-06	0	0	0.00048	0	0.00027	0.056	0.062	0	0.056	0	0	0.0029	0	0	0.38	0.38	17	0.12	0.46
5	0	1.1e-05	0	0	0	0	0	0	1.9e-06	2.1e-06	0	1.9e-06	0	0	0	0	0	0.5	0.5	17	0.12	0.46
6	0	0.15	0	0	0	0	0	0	0.077	0.085	0	0.077	0	0	0	0	0	0.31	0.31	17	0.12	0.46
7	0	0.023	0.00056	0	0	0.0026	0	0.0015	0.065	0.072	0	0.065	0	0	0.0024	0	0	0.38	0.38	17	0.12	0.46
8	0	0.00044	0	0	0	0	0	0	6.6e-05	7.3e-05	0	6.6e-05	0	0	0	0	0	0.5	0.5	17	0.12	0.46
9	0	0.0029	0	0	0	0	0	0	0.04	0.044	0	0.04	0	0	0	0	0	0.44	0.44	17	0.12	0.46
10	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.2	0.2	12	0.11	0
11	0	0.0047	0	0	0	0	0	0	0.082	0.09	0	0.082	0	0	6.9e-06	0	0	0.37	0.37	17	0.12	0.46
12	0	0	0	0.96	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	3	0	0.46
13	0	0.0099	0	0	0	9.5e-06	0	5.5e-06	0.014	0.016	0	0.014	0	0	2.3e-05	0	0	0.47	0.47	17	0.12	0.46
14	0	0.0041	0	0	0	0	0	0	0.14	0.15	0	0.14	0	0	1.3e-06	0	0	0.28	0.28	17	0.12	0.46
15	0	0	0	0.98	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	3	0	0.46
16	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0.48	0.48	17	0.12	0.46
17	0	0.42	0	0	0	0.0015	0	0.00089	0.028	0.031	0	0.028	0	0	0.051	0	0	0.22	0.22	1	0.12	0.54
18	0	0.0071	0	0	0	0	0	0	0.07	0.077	0	0.07	0	0	0	0	0	0.39	0.39	17	0.12	0.46
19	0	0.00011	0	0	0	0	0	0	0.024	0.027	0	0.024	0	0	0	0	0	0.46	0.46	17	0.12	0.46
20	0	0.00041	0	0	0	0	0	0	0.25	0.28	0	0.25	0	0	0	0	0	0.1	0.1	9	0.2	0.46
21	0	0.0099	0	0	0	0	0	0	0.04	0.044	0	0.04	0	0	0	0	0	0.43	0.43	17	0.12	0.46
22	0	0.022	9.7e-06	0	0	0.00025	0	0.00015	0.087	0.096	0	0.087	0	0	0.00094	0	0	0.35	0.35	17	0.12	0.46
23	0	0.014	0	0	0	2e-06	0	1.2e-06	0.11	0.12	0	0.11	0	0	0.00014	0	0	0.32	0.32	17	0.12	0.46
24	0	0	0	0.98	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	3	0	0.46
25	0	0.002	0.01	0	0	0.034	0	0.02	0.14	0.16	0	0.14	0	0	0.0017	0	0	0.25	0.25	17	0.12	0.46
26	0	0.0063	0	0	0	0	0	0	0.13	0.14	0	0.13	0	0	1.8e-05	0	0	0.3	0.3	17	0.12	0.46
27	0	0.0098	0	0	0	0	0	0	0.018	0.02	0	0.018	0	0	0	0	0	0.47	0.47	17	0.12	0.46
28	0	0.044	0.0031	0	0	0.017	0	0.0097	0.058	0.064	0	0.058	0	0	0.012	0	0	0.37	0.37	17	0.12	0.46
29	0	0.0029	0	0	0	0	0	0	0.00046	0.00051	0	0.00046	0	0	0	0	0	0.5	0.5	17	0.12	0.46
30	0	0.0049	0	0	0	0	0	0	0.00012	0.00013	0	0.00012	0	0	0	0	0	0.5	0.5	17	0.12	0.46
31	0	1.1e-06	0	0	0	0	0	0	0	0	1	0	0	0	0	1.6e-06	0	3.8e-06	3.8e-06	10	0.013	0.46
