k	loglikelihood	observations	parameters	BIC
1	-20232.3	18108	4	40503.8
2	-15136.2	18108	6	30331.1
3	-12197.7	18108	8	24473.9
4	-11328.1	18108	10	22754.3
5	-10892.1	18108	12	21901.9
6	-10194.9	18108	14	20527
7	-10129.9	18108	16	20416.7
8	-9495.02	18108	18	19166.5
9	-9504.55	18108	20	19205.2
10	-9111.01	18108	22	18437.7
11	-9060.68	18108	24	18356.7
12	-9192.63	18108	26	18640.2
13	-9020.2	18108	28	18314.9
14	-9080.11	18108	30	18454.3
15	-9052.73	18108	32	18419.2
16	-8977.42	18108	34	18288.2
17	-9049.24	18108	36	18451.4
18	-9013.65	18108	38	18399.9
19	-8972.98	18108	40	18338.1
20	-8972.15	18108	42	18356.1
