SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0.44	0.011	0	0	0.054	0	0.44	0.049	0	0	0	0	0	0	0	0	0.12	0.46
1	0.33	0.0052	0	0	0.17	0	0.33	0.16	0	0	0	0	0	0	0	0	0.12	0.46
2	0	0	0	0	0	0	0	0	0	0	0	0	0.00011	0	1	14	0	0.46
3	0.49	0.017	2.8e-06	0	0.0015	0	0.49	0.0014	0	0	1.9e-06	0	0	0	0	0	0.12	0.46
4	0.37	0.07	0.00076	0	0.093	1.2e-06	0.37	0.084	0	0	0.0029	1.2e-06	0	0	0	0	0.12	0.46
5	0.5	1.1e-05	0	0	3.1e-06	0	0.5	2.9e-06	0	0	0	0	0	0	0	0	0.12	0.46
6	0.3	0.15	0	0	0.13	0	0.3	0.12	0	0	0	0	0	0	0	0	0.12	0.46
7	0.38	0.023	0.0042	0	0.11	0.00029	0.38	0.098	0	0	0.0024	0.00029	0	0	0	0	0.12	0.46
8	0.5	0.00044	0	0	0.00011	0	0.5	0.0001	0	0	0	0	0	0	0	0	0.12	0.46
9	0.44	0.0029	0	0	0.066	0	0.44	0.06	0	0	0	0	0	0	0	0	0.12	0.46
10	0.2	0	0	0	0	0	0.2	0	0	0	0	0	0	0.6	0	13	0.11	0
11	0.37	0.0046	0	0	0.13	0	0.37	0.12	0	0	6.8e-06	0	0	0	0	0	0.12	0.46
12	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0.96	14	0	0.46
13	0.47	0.0099	1.6e-05	0	0.024	0	0.47	0.021	0	0	2.3e-05	0	0	0	0	0	0.12	0.46
14	0.28	0.0041	0	0	0.23	0	0.28	0.21	0	0	1.3e-06	0	0	0	0	0	0.12	0.46
15	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0.98	14	0	0.46
16	0.48	0	0	0	0	0	0.48	0	0	0	0	0	0	0.037	0	0	0.12	0.46
17	0.22	0.42	0.0025	0	0.046	0	0.22	0.042	0	0	0.051	0	0	0	0	1	0.12	0.54
18	0.39	0.0071	0	0	0.12	0	0.39	0.1	0	0	0	0	0	0	0	0	0.12	0.46
19	0.46	0.00011	0	0	0.04	0	0.46	0.037	0	0	0	0	0	0	0	0	0.12	0.46
20	0.1	0.0004	0	0	0.42	0	0.1	0.38	0	0	0	0	0	0	0	4	0.2	0.46
21	0.43	0.0098	0	0	0.066	0	0.43	0.06	0	0	0	0	0	0	0	0	0.12	0.46
22	0.35	0.022	0.0004	0	0.14	5.1e-06	0.35	0.13	0	0	0.00093	5.1e-06	0	0	0	0	0.12	0.46
23	0.32	0.014	3.2e-06	0	0.18	0	0.32	0.17	0	0	0.00014	0	0	0	0	0	0.12	0.46
24	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0.98	14	0	0.46
25	0.24	0.0019	0.054	0	0.23	0.0055	0.24	0.21	0	0	0.0016	0.0055	0	0	0	0	0.12	0.46
26	0.3	0.0063	0	0	0.21	0	0.3	0.19	0	0	1.8e-05	0	0	0	0	0	0.12	0.46
27	0.47	0.0098	0	0	0.03	0	0.47	0.027	0	0	0	0	0	0	0	0	0.12	0.46
28	0.37	0.043	0.027	0	0.096	0.0016	0.37	0.087	0	0	0.012	0.0016	0	0	0	0	0.12	0.46
29	0.5	0.0028	0	0	0.00076	0	0.5	0.00069	0	0	0	0	0	0	0	0	0.12	0.46
30	0.5	0.0049	0	0	0.00019	0	0.5	0.00017	0	0	0	0	0	0	0	0	0.12	0.46
31	3.8e-06	1.1e-06	0	0	0	0	3.8e-06	0	0	0	0	0	1	0	0	12	0.013	0.46
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0.46
33	0.49	0.0031	0	0	0.0054	0	0.49	0.0049	0	0	0	0	0	0	0	0	0.12	0.46
34	0.49	0.012	1.4e-06	0	0.0023	0	0.49	0.0021	0	0	1.3e-06	0	0	0	0	0	0.12	0.46
35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0.013	0.46
36	0.5	0.0018	0	0	2.1e-05	0	0.5	1.9e-05	0	0	0	0	0	0	0	0	0.12	0.46
37	0	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0.99	14	0	0.46
38	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	1	14	0	0.46
