SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1
0	0.1	0	0.45	0	0.45	0	0	0	0	0	0	2	0.12	0.46
1	0.33	0	0.34	0	0.34	0	0	0	0	0	0	2	0.12	0.46
2	0	0	0	0	0	0	1	0	0	0.00012	0	6	0	0.46
3	0.0029	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
4	0.19	0.00011	0.41	0	0.41	0	0	0	0	0	0	2	0.12	0.46
5	5.9e-06	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
6	0.28	0	0.36	0	0.36	0	0	0	0	0	0	2	0.12	0.46
7	0.21	0.0033	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
8	0.0002	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
9	0.12	0	0.44	0	0.44	0	0	0	0	0	0	2	0.12	0.46
10	0	0	0.21	0	0.21	0	0	0	0	0	0.59	10	0.11	0
11	0.25	0	0.37	0	0.37	0	0	0	0	0	0	2	0.12	0.46
12	0	0	0	0	0	0	0.96	0	0	0.04	0	6	0	0.46
13	0.044	3.2e-06	0.48	0	0.48	0	0	0	0	0	0	2	0.12	0.46
14	0.43	0	0.29	0	0.29	0	0	0	0	0	0	0	0.2	0.46
15	0	0	0	0	0	0	0.98	0	0	0.025	0	6	0	0.46
16	0	0	0.48	0	0.48	0	0	0	0	0	0.035	2	0.12	0.46
17	0.17	0.00011	0.42	0	0.42	0	0	0	0	0	0	2	0.12	0.46
18	0.22	0	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
19	0.076	0	0.46	0	0.46	0	0	0	0	0	0	2	0.12	0.46
20	0.79	0	0.11	0	0.11	0	0	0	0	0	0	0	0.2	0.46
21	0.13	0	0.44	0	0.44	0	0	0	0	0	0	2	0.12	0.46
22	0.28	0.00014	0.36	0	0.36	0	0	0	0	0	0	2	0.12	0.46
23	0.35	0	0.33	0	0.33	0	0	0	0	0	0	0	0.2	0.46
24	0	0	0	0	0	0	0.98	0	0	0.023	0	6	0	0.46
25	0.43	0.075	0.25	0	0.25	0	0	0	0	0	0	0	0.2	0.46
26	0.4	0	0.3	0	0.3	0	0	0	0	0	0	0	0.2	0.46
27	0.056	0	0.47	0	0.47	0	0	0	0	0	0	2	0.12	0.46
28	0.19	0.021	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
29	0.0014	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
30	0.00036	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
31	0	0	4e-06	0	4e-06	0	0	0	0	1	0	9	0.013	0.46
32	0	0	0	0	0	0	1	0	0	0	0	6	0	0.46
33	0.01	0	0.49	0	0.49	0	0	0	0	0	0	2	0.12	0.46
34	0.0043	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
35	0	0	0	0	0	0	0	0	0	1	0	9	0.013	0.46
36	3.9e-05	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
37	0	0	0	0	0	0	0.99	0	0	0.0068	0	6	0	0.46
38	0	0	0	0	0	0	1	0	0	0.00065	0	6	0	0.46
39	0.32	0	0.34	0	0.34	0	0	0	0	0	0	2	0.12	0.46
40	0	0	0.39	4.2e-06	0.39	0	0	0	0	0	0.22	2	0.12	0.46
41	0.17	0	0.42	0	0.42	0	0	0	0	0	0	2	0.12	0.46
42	0.23	0	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
43	0.2	3.7e-05	0.4	0	0.4	0	0	0	0	0	0	2	0.12	0.46
44	0.47	1.4e-05	0.26	0	0.26	0	0	0	0	0	0	0	0.2	0.46
45	0	0	0.44	0	0.44	0	0	0	0	0	0.12	2	0.12	0.46
46	0	0	0.2	0	0.2	0	0.59	0	0	0.00011	0	6	0	0.46
47	0.18	0.044	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
48	0.00012	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
49	0.77	0	0.12	0	0.12	0	0	0	0	0	0	0	0.2	0.46
50	0	0	0	0	0	0	0.99	0	0	0.01	0	6	0	0.46
51	0.26	3.3e-06	0.37	0	0.37	0	0	0	0	0	0	2	0.12	0.46
52	0	0	0.45	0.00016	0.45	0	0	0	0	0	0.09	2	0.12	0.46
53	0.81	0	0.093	0	0.093	0	0	0	0	0	0	0	0.2	0.46
54	0.28	0.009	0.35	0	0.35	0	0	0	0	0	0	2	0.12	0.46
55	0.25	0.0026	0.38	0	0.38	0	0	0	0	0	0	2	0.12	0.46
56	6.1e-06	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
57	0.16	0.053	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
58	0.25	1.1e-05	0.37	0	0.37	0	0	0	0	0	0	2	0.12	0.46
59	0.39	0	0.31	0	0.31	0	0	0	0	0	0	0	0.2	0.46
60	0	0	0	0	0	0	0.99	0	0	0.014	0	6	0	0.46
61	0.16	0	0.42	0	0.42	0	0	0	0	0	0	2	0.12	0.46
62	0.083	0.0018	0.46	0	0.46	1.6e-05	0	0	0	9.1e-05	0	2	0.12	0.46
63	0.002	0.00092	0.49	0	0.49	0	0	0	0	0.011	0	2	0.12	0.46
64	4.9e-05	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
65	0.047	0	0.48	0	0.48	0	0	0	0	0	0	2	0.12	0.46
66	8.6e-05	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
67	0	0	0	0	0	3.8e-05	0.96	0	0	0.039	0	6	0	0.46
68	0.062	0	0.47	0	0.47	0	0	0	0	0	0	2	0.12	0.46
69	0.96	0	0.018	0	0.018	0	0	0	0	0	0	0	0.2	0.46
70	0.11	0.00063	0.45	0	0.45	0	0	0	0	0	0	2	0.12	0.46
71	4e-05	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
72	8.4e-05	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
73	0.36	0	0.32	0	0.32	0	0	0	0	0	0	0	0.2	0.46
74	0	0	0.41	2.2e-05	0.41	0	0	0	0	0	0.18	2	0.12	0.46
75	0.00018	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
76	0.0015	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
77	0.26	0	0.37	0	0.37	0	0	0	0	0	0	2	0.12	0.46
78	0.036	0	0.48	0	0.48	0	0	0	0	0	0	2	0.12	0.46
79	0.012	0	0.49	0	0.49	0	0	0	0	0	0	2	0.12	0.46
80	0.16	0	0.42	0	0.42	0	0	0	0	0	0	2	0.12	0.46
81	0.84	0	0.079	0	0.079	0	0	0	0	0	0	0	0.2	0.46
82	1.3e-05	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
83	0.0059	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
84	0.33	0	0.33	0	0.33	0	0	0	0	0	0	2	0.12	0.46
85	0.46	0	0.27	0	0.27	0	0	0	0	0	0	0	0.2	0.46
86	0.073	0.032	0.45	0	0.45	0	0	0	0	0	0	2	0.12	0.46
87	0	0	0	0	0	0	0.99	0	0	0.0092	0	6	0	0.46
88	0.02	2.6e-05	0.49	0	0.49	0	0	0	0	0	0	2	0.12	0.46
89	0.065	0.17	0.38	0	0.38	0	0	0	0	0	0	2	0.12	0.46
90	0.0042	1.8e-05	0.5	0	0.5	0	0	0	0	4.3e-05	0	2	0.12	0.46
91	0	0	0	0	0	0	1	0	0	0.00068	0	6	0	0.46
92	0	0	0.44	8.4e-05	0.44	0	0	0	0	0	0.13	2	0.12	0.46
93	0.00025	0	0.5	0	0.5	0	0	0	0	0	0	2	0.12	0.46
94	0	0	0	0	0	0	1	0	0	0.00018	0	6	0	0.46
95	0	0	0	0	0	0	1	0	0	0.0034	0	6	0	0.46
96	0.52	0.045	0.22	0	0.22	0	0	0	1e-05	0	0	0	0.2	0.46
97	0.17	0.041	0.39	0	0.39	0	0	0	0	0	0	2	0.12	0.46
98	0	0	0	0	0	0	0.98	0	0	0.023	0	6	0	0.46
99	0	0	0.14	0	0.14	0	0	0	0	0	0.73	10	0.11	0
100	0.64	0	0.18	0	0.18	0	0	0	0	0	0	0	0.2	0.46
101	0	0	0	0	0	0	0.97	0	0	0.028	0	6	0	0.46
