SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5	dcf6
0	0	0	1	1.1e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
1	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
2	0	0	0.99	0.0058	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
3	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
4	5.1e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
5	0.03	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
6	0	4.5e-06	0.00019	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
7	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
8	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
9	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
10	0	0	0.0012	1	3	0.073	0.22	0.11	0.15	0.23	0.23	0.29
11	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
12	0	0	1	3.8e-05	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
13	0	1	0	3.1e-05	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
14	0.21	0	0.79	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
15	0	0	0.97	0.027	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
16	0.026	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
17	0.00086	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
18	0	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
19	0	0	1	4.8e-06	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
20	0.0016	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
21	0.03	0	0.97	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
22	0.00034	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
23	0.00092	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
24	0	1	0	0	1	0.087	0.08	0.093	0.09	0.086	0.086	0.079
25	7.7e-05	0	1	0	2	0.22	0.28	0.16	0.26	0.23	0.23	0.29
