k	loglikelihood	observations	parameters	BIC
1	-11870	33145	14	23885.8
2	-10590.2	33145	21	21399
3	-10534.7	33145	28	21360.9
4	-10665.2	33145	35	21694.8
5	-10264.3	33145	42	20965.8
6	-10870.5	33145	49	22251
7	-10914.4	33145	56	22411.7
8	-1.79769e+308	33145	63	inf
9	-1.79769e+308	33145	70	inf
10	-1.79769e+308	33145	77	inf
11	-1.79769e+308	33145	84	inf
12	-1.79769e+308	33145	91	inf
13	-1.79769e+308	33145	98	inf
14	-1.79769e+308	33145	105	inf
15	-1.79769e+308	33145	112	inf
16	-1.79769e+308	33145	119	inf
17	-1.79769e+308	33145	126	inf
18	-1.79769e+308	33145	133	inf
19	-1.79769e+308	33145	140	inf
20	-1.79769e+308	33145	147	inf
