k	loglikelihood	observations	parameters	BIC
1	-70588.2	35112	12	141302
2	-36356.4	35112	18	72901.2
3	-34371.6	35112	24	68994.5
4	-33894.3	35112	30	68102.5
5	-33738.3	35112	36	67853.3
6	-33086.6	35112	42	66612.8
7	-29593.2	35112	48	59688.7
8	-27974.4	35112	54	56514
9	-26536.2	35112	60	53700.5
10	-28043.8	35112	66	56778.4
11	-26335.2	35112	72	53424
12	-26363.7	35112	78	53543.9
13	-25953.4	35112	84	52785.9
14	-24319.6	35112	90	49581.2
15	-24881.4	35112	96	50767.6
16	-25053.8	35112	102	51175.1
17	-23481.8	35112	108	48094
18	-24519.1	35112	114	50231.4
19	-22883.7	35112	120	47023.4
20	-22814	35112	126	46946.8
