SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3	dcf4	dcf5
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.11	0.029	0.064	0.016	0.026	0.051
1	0.0018	1	1.3e-06	0	0	0	0	0	0	0	0	3.4e-05	2.3e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
2	0.0073	0.98	7.4e-05	0	0	0	0	0	0	0	0	0.0093	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0.053	0	0.29	0.11	0	0
4	0.014	0.98	0.0015	0	0	0	0	0	0	0	2.4e-05	0.0049	1.6e-05	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
5	0.016	0.7	0.069	0	0	0	0	0	0	0	0	0.21	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
6	0.028	0.97	5.9e-05	0	0	0	0	0	0	0	0	0.00034	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0.18	0
8	0.12	0.83	0.044	0	0	0	0	0	0	0	0	0.0037	0	0	0	0.00088	1	0.52	0.26	0.29	0.14	0.23	0.54
9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0.54
10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.11	0.029	0.064	0.016	0.026	0.051
12	0.044	0.52	0.41	0	0	0	0	0	0	0	0	0.032	0	0	0	0.00045	1	0.52	0.26	0.29	0.14	0.23	0.54
13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0.13	0	0	0
14	0.0086	0.92	0.0058	0	0	0	0	0	0	0	0	0.034	0	0	0	0.031	1	0.52	0.26	0.29	0.14	0.23	0.54
15	0.076	0.89	0.0061	0	0	0	0	0	0	0	0	0.029	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
16	0.0017	0.99	1.4e-05	0	0	0	0	0	0	0	0	0.006	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
17	0.00019	0.97	1.6e-06	0	0	0	0	0	0	0	0	0.029	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
18	0.0013	1	1.3e-06	0	0	0	0	0	0	0	0	0.001	0	0	0	0	1	0.52	0.26	0.29	0.14	0.23	0.54
19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.11	0.029	0.064	0.016	0.026	0.051
