SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0.041	0.02	0	0	0	0	0	4e-05	0	4e-05	0.94	0	0	0	0	0	0	12	0.6	0.39	0.52	0.49
1	0	0	0.045	0.04	5.9e-05	0	1.1e-06	0	0	0.0071	0	0.0071	0.9	0.00025	0	0	0	0	0	12	0.6	0.39	0.52	0.49
2	0	0	0.058	0.19	0	0	0	0	0	0	0	0	0.75	4.7e-05	0	0.00014	0	0	0	12	0.6	0.39	0.52	0.49
3	0	0	0.0047	0	0	0	0	0	0	0	0	0	1	0.00013	0	0	0	0	0	12	0.6	0.39	0.52	0.49
4	0	0	0.055	0	0	0	0	0	0	0	0	0	0.95	0.00014	0	0	0	0	0	12	0.6	0.39	0.52	0.49
5	0	0	0.0011	0.069	0	0	0	0	0	0	0	0	0.072	0	0	0.86	0	0	0	15	0.47	0.22	0.46	0.38
6	0	0	0.0077	0.018	0	0	0	0	0	0	0	0	0.97	2.6e-05	0	0	0	0	0	12	0.6	0.39	0.52	0.49
7	0	0	0.13	0.014	0	0	0	0	0	0	0	0	0.85	1.6e-05	0	0	0	0	0	12	0.6	0.39	0.52	0.49
8	0	0	0.053	0.028	0	0	0	0	0	0	0	0	0.92	0.0015	0	0	0	0	0	12	0.6	0.39	0.52	0.49
9	0	0	0	0	0	0	0	0	0.00093	0	0	0	0	0	1	0	0	0	0	14	0.18	0.17	0.43	0.054
10	0	0	0.0004	0.78	0	0	0	0	0	0	0	0	0.22	0	0	0	0	0	0	3	0.6	0.35	0.46	0.44
11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9.1e-05	0	0	0	0	7	0.4	0.22	0.27	0.27
12	0	0	0.21	0.00023	0	0	1.7e-06	0	0	3e-05	0	3e-05	0.66	0.13	0	0	0	0	0	12	0.6	0.39	0.52	0.49
13	0	0	0.0058	0.47	0	0	0	0	0	0	0	0	0.52	0	0	0.00088	0	0	0	12	0.6	0.39	0.52	0.49
14	0	0	0.031	0.025	0	0	0	0	0	0	0	0	0.94	4e-06	0	0	0	0	0	12	0.6	0.39	0.52	0.49
15	0	0	0.047	0.11	0	0	0	0	0	0	0	0	0.85	0.00044	0	0.00019	0	0	0	12	0.6	0.39	0.52	0.49
16	0	0	0.0079	0.00058	0	0	0	0	0	0	0	0	0.99	0.00051	0	0	0	0	0	12	0.6	0.39	0.52	0.49
17	0	0	0.0024	0.72	0.026	0	0.035	1.7e-05	0	0.00046	0	0.00046	0.22	9.3e-06	0	0.00061	0	0	0	3	0.6	0.35	0.46	0.44
18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0.044	0.043	0.053	0.054
19	0	0	0.091	0.05	0	0	1.4e-05	0	0	0.18	0	0.18	0.5	5.1e-05	0	7.8e-06	0	0	0	12	0.6	0.39	0.52	0.49
20	0	0	0.17	0.00065	0	0	0	0	0	0.0014	0	0.0014	0.82	0.013	0	0	0	0	0	12	0.6	0.39	0.52	0.49
21	0	0	0.09	0.00027	0	0	0	0	0	2.2e-05	0	2.2e-05	0.88	0.028	0	0	0	0	0	12	0.6	0.39	0.52	0.49
22	0	0	0.12	2.3e-06	0	0	0	0	0	0	0	0	0.63	0.25	0	0	0	0	0	12	0.6	0.39	0.52	0.49
23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0.4	0.22	0.27	0.27
24	0	0	0.015	0.023	0	0	0	0	0	0.00011	0	0.00011	0.96	0	0	0	0	0	0	12	0.6	0.39	0.52	0.49
25	0	0	0.038	0.024	0.0019	0	0.00022	0	0	0.00018	0	0.00018	0.92	0.012	0	0	0	0	0	12	0.6	0.39	0.52	0.49
26	0	0	0.023	0.15	0	0	9.3e-06	0	0	4.6e-06	0	4.6e-06	0.83	0	0	0	0	0	0	12	0.6	0.39	0.52	0.49
27	0	0	0.071	4.6e-05	0	0	0	0	0	0.0016	0	0.0016	0.92	0.0014	0	0	0	0	0	12	0.6	0.39	0.52	0.49
28	0	0	0.45	3e-06	0	0	0	0	0	0.00027	0	0.00027	0.54	0.015	0	0	0	0	0	12	0.6	0.39	0.52	0.49
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0.18	0.17	0.43	0.054
30	0	0	0.00026	0.82	0.00087	0	0.019	0	0	0	0	0	0.16	0	0	2.6e-06	0	0	0	3	0.6	0.35	0.46	0.44
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0.13	0	0
32	0	0	0.17	0.012	0	0	0	0	0	0.008	0	0.008	0.8	1.2e-05	0	0	0	0	0	12	0.6	0.39	0.52	0.49
33	0	0	0.4	0.0012	0	0	0	0	0	0.048	0	0.048	0.51	0.00019	0	0	0	0	0	12	0.6	0.39	0.52	0.49
34	0	0	0.075	0.15	0	0	0	0	0	2.4e-05	0	2.4e-05	0.77	0	0	0	0	0	0	12	0.6	0.39	0.52	0.49
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0.13	0	0
36	0	0	6.2e-06	0.03	2.1e-05	0	0.059	8e-05	0	0	0	0	0.0016	0	0	0.91	0	0	0	15	0.47	0.22	0.46	0.38
37	0	0	0.049	0.016	0.00022	0	6.3e-05	0	0	0.0075	0	0.0075	0.92	0.0038	0	0	0	0	0	12	0.6	0.39	0.52	0.49
38	0	0	0.35	0.0019	0	0	0	0	0	0.017	0	0.017	0.54	0.077	0	0	0	0	0	12	0.6	0.39	0.52	0.49
39	0	0	0.026	0.013	5.7e-05	0	0.00021	0	0	5.2e-05	0	5.2e-05	0.96	0.0011	0	0	0	0	0	12	0.6	0.39	0.52	0.49
40	0	0	0.4	0.0029	0	0	0	0	0	0.0036	0	0.0036	0.59	0.00094	0	0	0	0	0	12	0.6	0.39	0.52	0.49
41	0	0	0.025	0.044	1.9e-05	0	0	0	0	0.00045	0	0.00045	0.93	4.3e-05	0	0	0	0	0	12	0.6	0.39	0.52	0.49
42	0	0	0.38	1.1e-05	0	0	0	0	0	0.0043	0	0.0043	0.61	3.2e-05	0	0	0	0	0	12	0.6	0.39	0.52	0.49
43	0	0	0.029	0.17	0	0	0	0	0	0.00014	0	0.00014	0.8	0	0	0	0	0	0	12	0.6	0.39	0.52	0.49
44	0	0	0.12	0.22	4.3e-06	0	5.6e-05	0	0	0.014	0	0.014	0.63	0.00015	0	0.00031	0	0	0	12	0.6	0.39	0.52	0.49
45	0	0	0.0047	0.16	0	0	3.4e-05	0	0	5.3e-05	0	5.3e-05	0.83	0	0	0	0	0	0	12	0.6	0.39	0.52	0.49
46	0	0	0.27	0.0086	1.4e-05	0	1.2e-06	0	0	0.02	0	0.02	0.64	0.042	0	0	0	0	0	12	0.6	0.39	0.52	0.49
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0.13	0	0
48	0	0	0.22	0.1	0	0	0	0	0	0.031	0	0.031	0.62	2.2e-05	0	0	0	0	0	12	0.6	0.39	0.52	0.49
49	0	0	0.24	0.035	2.2e-05	0	1.2e-05	0	0	0.025	0	0.025	0.67	0.01	0	4.3e-06	0	0	0	12	0.6	0.39	0.52	0.49
50	0	0	0.027	0.046	0.014	0	0.00082	0	0	0.0002	0	0.0002	0.89	0.017	0	0	0	0	0	12	0.6	0.39	0.52	0.49
51	0	0	0.16	0.0027	0	0	0	0	0	0.00071	0	0.00071	0.83	0.0034	0	0	0	0	0	12	0.6	0.39	0.52	0.49
52	0	0	0.12	0.13	2e-06	0	0.00014	0	0	0.011	0	0.011	0.72	0.00012	0	0.00046	0	0	0	12	0.6	0.39	0.52	0.49
